Period,Account,Account(T),Amount,Supplier,,,,,
202409,1800,Training Fees,570,Durham County Council,,,,,
202409,2002,Reactive Maintenance,745.09,Graham Facilities Management,,,,,
202409,4010,Publications and Multi Media,606.6,Engagement Purchases,,,,,
202409,4010,Publications and Multi Media,3740,Engagement Purchases,,,,,
202409,4011,Communications purchases,4915,Better Times Ltd,,,,,
202409,4011,Communications purchases,4805,Better Times Ltd,,,,,
202409,4011,Communications purchases,5400,Better Times Ltd,,,,,
202409,4011,Communications purchases,5452.5,Better Times Ltd,,,,,
202409,4703,Consultants Fees,1600,Urwin Services,,,,,
202409,4723,Complaints review,705,Complaints Review,,,,,
202409,4872,Room hire,1950,Minhoco 70 Ltd T/A Redworth Hall Hotel,,,,,
202409,5101,Community Safety and Prevention,31176.67,Martin Gray Football Academy Ltd,,,,,
202409,5101,Community Safety and Prevention,20833.33,One Small Thing,,,,,
202409,5101,Community Safety and Prevention,15000,Durham & D'ton Fire & Rescue,,,,,
202409,5101,Community Safety and Prevention,15900,Creative Youth Opportunities CIC,,,,,
202409,5101,Community Safety and Prevention,13606,Durham & D'ton Fire & Rescue,,,,,
202409,5101,Community Safety and Prevention,1624.18,Portable Appliance Safety Services Ltd,,,,,
202409,5106,Victim Services,10937.75,Tees Valley Inclusion Project CIC,,,,,
202409,5106,Victim Services,5500,Tees Valley Inclusion Project CIC,,,,,
202409,5106,Victim Services,26333.33,NHS England,,,,,
202409,5106,Victim Services,62800,NHS England,,,,,
202409,5106,Victim Services,129680,NHS England,,,,,
202409,5106,Victim Services,5625,Modern Slavery Network,,,,,
202409,5109,PCC Priorities,1679.16,The Stationery Office Limited,,,,,
202409,5109,PCC Priorities,3540,Durham Agency Against Crime,,,,,
202409,5109,PCC Priorities,700,Finley Leisure Ltd T/A ROF 59,,,,,
202409,5109,PCC Priorities,2055,Turtle Engineering Ltd,,,,,
202409,5114,Reducing Reoffending,98300,Darlington Borough Council,,,,,
,,,,,,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,,,,,,
202409,8001,Land and buildings additions in year,1191.24,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,1047.28,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,9576.69,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,1765.8,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,729.8,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,2669.35,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,519,Storage Equipment Safety Services Ltd,,,,,
202409,8001,Land and buildings additions in year,612.75,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,961.08,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,741.33,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,775.38,Aero Healthcare Ltd,,,,,
202409,8001,Land and buildings additions in year,995,Coxhoe Service and Supply,,,,,
202409,8001,Land and buildings additions in year,2043,CDS Security Ltd,,,,,
202409,8001,Land and buildings additions in year,645.32,Currys Group Ltd T/A Currys Business,,,,,
202409,8001,Land and buildings additions in year,580,CDS Security Ltd,,,,,
202409,8001,Land and buildings additions in year,678.6,KeyTracker Ltd,,,,,
202409,8001,Land and buildings additions in year,1625,Johnsons 1871 Ltd T/a Johnsons Laboratory Logistics,,,,,
202409,8001,Land and buildings additions in year,616,North East Fire Safety Services,,,,,
202409,8001,Land and buildings additions in year,9801.43,Graham Facilities Management,,,,,
202409,8001,Land and buildings additions in year,745,ACS Technology Group Ltd,,,,,
202409,8001,Land and buildings additions in year,2554.64,Gresham Office Furniture Ltd,,,,,
202409,8001,Land and buildings additions in year,900,Ward Hadaway,,,,,
202409,8001,Land and buildings additions in year,518.04,ACS Technology Group Ltd,,,,,
202409,8001,Land and buildings additions in year,3744,Ellis Signs Ltd,,,,,
202409,8001,Land and buildings additions in year,89404.63,Tilbury Douglas Construction Limited,,,,,
202409,8001,Land and buildings additions in year,1641,Gresham Office Furniture Ltd,,,,,
202409,8001,Land and buildings additions in year,4906.5,Kappion Limited,,,,,
202409,8001,Land and buildings additions in year,7052.63,"Shaun Stokoe, Electrical Services Ltd",,,,,
202409,8001,Land and buildings additions in year,11418.67,SSS Public Safety Ltd T/A NECSWS Public Safety,,,,,
202409,8001,Land and buildings additions in year,3634,Gresham Office Furniture Ltd,,,,,
202409,8001,Land and buildings additions in year,8708,Johnsons 1871 Ltd T/a Johnsons Laboratory Logistics,,,,,
202409,8001,Land and buildings additions in year,4192,JH Partners Consulting Engineers Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",8250,BT Global,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",6902.2,BT Global,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1184,CDS Security Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1546,boxxe,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1470,CDS Security Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",8280,Altia Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",8280,Altia Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",3886.43,GCI Network Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",604.17,GCI Network Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",604.17,GCI Network Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1449.4,Go2 Telecom Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1568.04,Insight Direct (UK) Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",44724.78,Pure Audio Visual Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",604.17,GCI Network Solutions Limited,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",1677.6,Insight Direct (UK) Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",5957.7,Insight Direct (UK) Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",21528,Specialist Computer Centres Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",22105.26,Softcat Ltd,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",13551.46,SSS Public Safety Ltd T/A NECSWS Public Safety,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",13551.46,SSS Public Safety Ltd T/A NECSWS Public Safety,,,,,
202409,8201,"Fixtures, fittings & equip addition in year",6783.6,Weiss Technik UK Limited,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
