Period,Account,Account(T),Amount,Supplier
202402,1800,Training Fees,728,St Johns Ambulance
202402,1800,Training Fees,650,Paladin NSAS
202402,4010,Engagement Purchases,4495,Solon Security Ltd
202402,4050,Furniture & Fittings,900,Gresham Office Furniture Ltd
202402,4303,ICT Software - Maintenance,16000,Civica UK Ltd
202402,4453,Conference Fees,991.67,"Ramside Estates Ltd., Hardwick Hall Hotel"
202402,4717,Removal fees,580,Low Fell Removals
202402,4723,Complaints review,705,Complaints Review
202402,4826,Organisation Memberships,1725,Police and Crime Commissioner Treasurers Society
202402,5075,Miscellaneous / Other Contributions,3625,Police Arboretum Memorial Trust
202402,5101,Community Safety and Prevention,24857,Durham Agency Against Crime
202402,5101,Community Safety and Prevention,141840,Durham County Council
202402,5106,Victim Services,49278,Rape & Sexual Abuse Counselling Centre
202402,5106,Victim Services,5250,Aspire Learning Support & Wellbeing CIC
202402,5106,Victim Services,40162,The Cornforth Partnership
202402,5106,Victim Services,24000,Darlington Borough Council
202402,5109,PCC Priorities,1510,Foundation for Good
202402,5109,PCC Priorities,1200,E-T-E Solutions Ltd
202402,5201,Financial Services,63000,Durham County Council
202402,5201,Financial Services,13232.5,Durham County Council
202402,5204,External Audit Fees,26286,Mazars LLP
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202402,8001,Land and buildings additions in year,6947.1,Graham Facilities Management
202402,8001,Land and buildings additions in year,10886.4,Graham Facilities Management
202402,8001,Land and buildings additions in year,1897.94,Graham Facilities Management
202402,8001,Land and buildings additions in year,603.36,Graham Facilities Management
202402,8001,Land and buildings additions in year,1182.94,247 National Ltd
202402,8001,Land and buildings additions in year,1680,North East Fire Safety Services
202402,8201,"Fixtures, fittings & equip addition in year",11163,Chubb Fire and Security Ltd
202402,8201,"Fixtures, fittings & equip addition in year",8599,Chubb Fire and Security Ltd
202402,8201,"Fixtures, fittings & equip addition in year",16708,Chubb Fire and Security Ltd
202402,8201,"Fixtures, fittings & equip addition in year",572,Darlington Borough Council
202402,8201,"Fixtures, fittings & equip addition in year",1098.28,Durham County Council (Youth Offending Service)
202402,8201,"Fixtures, fittings & equip addition in year",2658.67,Aquila Heywood
202402,8201,"Fixtures, fittings & equip addition in year",2651.7,Insight Direct (UK) Ltd
202402,8201,"Fixtures, fittings & equip addition in year",5418.16,Insight Direct (UK) Ltd
202402,8201,"Fixtures, fittings & equip addition in year",544.12,Insight Direct (UK) Ltd
202402,8201,"Fixtures, fittings & equip addition in year",2386.25,GCI Network Solutions Limited
202402,8201,"Fixtures, fittings & equip addition in year",2386.25,GCI Network Solutions Limited
202402,8201,"Fixtures, fittings & equip addition in year",782.04,GCI Network Solutions Limited
202402,8201,"Fixtures, fittings & equip addition in year",782.04,GCI Network Solutions Limited
202402,8201,"Fixtures, fittings & equip addition in year",2970,Cleartone Telecoms PLC
202402,8201,"Fixtures, fittings & equip addition in year",592.59,Standby RSG Uk Limited
202402,8201,"Fixtures, fittings & equip addition in year",162536.94,Cleveland Constabulary
