Period,Account,Account(T),Amount,Supplier
202403,4000,General Equipment,570,Workwear Express Ltd
202403,4011,Communications purchases,1185,Better Times Ltd
202403,4826,Organisation Memberships,1000,Darlington Borough Council
202403,4826,Organisation Memberships,48300,Association of Police & Crime Commissioners
202403,5101,Community Safety and Prevention,10000,Durham Community Action
202403,5101,Community Safety and Prevention,17032,Durham Agency Against Crime
202403,5101,Community Safety and Prevention,799,Event Branding UK Ltd
202403,5101,Community Safety and Prevention,42500,Tees Esk & Wear Valley NHS FT
202403,5101,Community Safety and Prevention,14535,Robiquity Limited
202403,5101,Community Safety and Prevention,14869.69,Robiquity Limited
202403,5101,Community Safety and Prevention,15000,Durham & D'ton Fire & Rescue
202403,5101,Community Safety and Prevention,8940,Durham & D'ton Fire & Rescue
202403,5101,Community Safety and Prevention,28522.5,Darlington Borough Council
202403,5101,Community Safety and Prevention,24480,Martin Gray Football Academy Ltd
202403,5101,Community Safety and Prevention,10000,Durham Agency Against Crime
202403,5106,Victim Services,40178,Rape & Sexual Abuse Counselling Centre
202403,5106,Victim Services,5625,Modern Slavery Network
202403,5106,Victim Services,10657.25,Rape & Sexual Abuse Counselling Centre
202403,5109,PCC Priorities,7500,Twinning Project
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202403,8001,Land and buildings additions in year,539.2,Maurice Daley Partnership
202403,8001,Land and buildings additions in year,595,"Shaun Stokoe, Electrical Services Ltd"
202403,8001,Land and buildings additions in year,980,Total Extraction Solutions Ltd
202403,8001,Land and buildings additions in year,16515.47,Turner & Townsend
202403,8201,"Fixtures, fittings & equip addition in year",31412.48,Softcat Ltd
202403,8201,"Fixtures, fittings & equip addition in year",17144.79,Zetron Ltd
202403,8201,"Fixtures, fittings & equip addition in year",58529.96,Softcat Ltd
202403,8201,"Fixtures, fittings & equip addition in year",2107.72,Insight Direct (UK) Ltd
202403,8201,"Fixtures, fittings & equip addition in year",8256.37,BT Global
202403,8201,"Fixtures, fittings & equip addition in year",6189,Chubb Fire and Security Ltd
202403,8201,"Fixtures, fittings & equip addition in year",6464.86,Insight Direct (UK) Ltd
202403,8201,"Fixtures, fittings & equip addition in year",21505.5,Civica UK Ltd
202403,8201,"Fixtures, fittings & equip addition in year",13500,Process Software
202403,8201,"Fixtures, fittings & equip addition in year",18000,Process Software
202403,8201,"Fixtures, fittings & equip addition in year",1435.4,Insight Direct (UK) Ltd
202403,8201,"Fixtures, fittings & equip addition in year",556,Complete Connect Ltd
202403,8201,"Fixtures, fittings & equip addition in year",735,Cleartone Telecoms PLC
202403,8201,"Fixtures, fittings & equip addition in year",500,Northern Balance Ltd
202403,8201,"Fixtures, fittings & equip addition in year",3218.2,Northern Balance Ltd
,,,,
