Period,Account,Account(T),Amount,Ap/Ar ID(T)
202412,8201,"Fixtures, fittings & equip addition in year",19498,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",9742,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",44274,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",13828,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",5339,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",5353,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",13992,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",21849,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",20349,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",13930,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",7899,CDS Security Ltd
202412,8201,"Fixtures, fittings & equip addition in year",29769.27,Insight Direct (UK) Ltd
202412,8201,"Fixtures, fittings & equip addition in year",6491.27,Gresham Office Furniture Ltd
202412,8201,"Fixtures, fittings & equip addition in year",14550,Axon Public Safety UK Ltd
202412,8201,"Fixtures, fittings & equip addition in year",14550,Axon Public Safety UK Ltd
202412,8201,"Fixtures, fittings & equip addition in year",26776.35,Police & Crime Commissioner for Northumbria
202412,8201,"Fixtures, fittings & equip addition in year",15828.4,Weiss Technik UK Limited
