Period,Account,Account(T),Amount,Supplier
202404,1800,Training Fees,1200,Compassion Training
202404,1800,Training Fees,5990,UK Mediation Ltd
202404,2002,Reactive Maintenance,517,Gresham Office Furniture Ltd
202404,4000,General Equipment,644,Solon Security Ltd
202404,4010,Engagement Purchases,1055,WHW Print Limited t/a Whites
202404,4010,Engagement Purchases,2850,Engagement Purchases
202404,4011,Communications purchases,3260.4,NLA Media Access Ltd
202404,4011,Communications purchases,5346.01,AIMEDIADATA Ltd T/A Vuelio
202404,4050,Furniture & Fittings,1040,Gresham Office Furniture Ltd
202404,4303,ICT Software - Maintenance,3000,Elected Technologies Ltd
202404,4305,IT Requests,1138,CCS Media Ltd
202404,4453,Conference Fees,728.5,Durham County Council
202404,4723,Complaints review,1525,Complaints Review
202404,4826,Organisation Memberships,5629,Supporting Justice CIC
202404,4826,Organisation Memberships,1282.61,Supporting Justice CIC
202404,5101,Community Safety and Prevention,54888,Rape & Sexual Abuse Counselling Centre
202404,5101,Community Safety and Prevention,8650,Durham Agency Against Crime
202404,5101,Community Safety and Prevention,2116.5,Selectamark Security Systems
202404,5101,Community Safety and Prevention,17032,Durham Agency Against Crime
202404,5101,Community Safety and Prevention,7250,Darlington Borough Council
202404,5101,Community Safety and Prevention,15000,Durham & D'ton Fire & Rescue
202404,5101,Community Safety and Prevention,40000,Durham County Council
202404,5101,Community Safety and Prevention,28592.25,Darlington Borough Council
202404,5101,Community Safety and Prevention,16025.83,HM Prison & Probabtion Service
202404,5101,Community Safety and Prevention,28522.5,Darlington Borough Council
202404,5101,Community Safety and Prevention,10000,Durham Agency Against Crime
202404,5101,Community Safety and Prevention,15000,Durham Agency Against Crime
202404,5101,Community Safety and Prevention,2481.15,Solon Security Ltd
202404,5101,Community Safety and Prevention,15000,Durham Agency Against Crime
202404,5101,Community Safety and Prevention,10710,Robiquity Limited
202404,5101,Community Safety and Prevention,2280,Robiquity Limited
202404,5106,Victim Services,34738.25,Harbour Support Services - Durham
202404,5106,Victim Services,5500,Tees Valley Inclusion Project CIC
202404,5106,Victim Services,88374,Changing Lives
202404,5106,Victim Services,1183.28,Durham County Council
202404,5106,Victim Services,44766.25,Rape & Sexual Abuse Counselling Centre
202404,5106,Victim Services,138953,Harbour Support Services - Durham
202404,5109,PCC Priorities,7000,Coxhoe Parish Council
202404,7006,Pension Grant,27595.34,West Yorkshire Combined Authority- West Yorkshire Police
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202404,8001,Land and buildings additions in year,24343.86,Maval Electrical Eng Co Ltd
202404,8001,Land and buildings additions in year,2446.12,Graham Facilities Management
202404,8001,Land and buildings additions in year,1368.9,Graham Facilities Management
202404,8001,Land and buildings additions in year,1391.04,Graham Facilities Management
202404,8001,Land and buildings additions in year,2300.4,Graham Facilities Management
202404,8001,Land and buildings additions in year,3991.68,Graham Facilities Management
202404,8001,Land and buildings additions in year,1360.8,Graham Facilities Management
202404,8001,Land and buildings additions in year,13991.4,Graham Facilities Management
202404,8001,Land and buildings additions in year,32387.72,Graham Facilities Management
202404,8001,Land and buildings additions in year,1016,Astral Control Services Limited
202404,8001,Land and buildings additions in year,1000,Energy Fit Ltd
202404,8001,Land and buildings additions in year,5643,Ian Carswell Associates
202404,8001,Land and buildings additions in year,16000.88,Turner & Townsend
202404,8001,Land and buildings additions in year,16000.88,Turner & Townsend
202404,8201,"Fixtures, fittings & equip addition in year",1817,Chubb Fire and Security Ltd
202404,8201,"Fixtures, fittings & equip addition in year",9599.77,Insight Direct (UK) Ltd
202404,8201,"Fixtures, fittings & equip addition in year",125729.86,Softcat Ltd
202404,8201,"Fixtures, fittings & equip addition in year",26490.86,Bruker UK Limited
202404,8201,"Fixtures, fittings & equip addition in year",72511,Softcat Ltd
202404,8201,"Fixtures, fittings & equip addition in year",44350.5,Softcat Ltd
202404,8201,"Fixtures, fittings & equip addition in year",50400,Iken Business Ltd
202404,8201,"Fixtures, fittings & equip addition in year",35640,Iken Business Ltd
202404,8201,"Fixtures, fittings & equip addition in year",14550,Axon Public Safety UK Ltd
202404,8201,"Fixtures, fittings & equip addition in year",14550,Axon Public Safety UK Ltd
202404,9040,NERSOU,84308.41,Police & Crime Commissioner for Northumbria
