Period,Account,Account(T),Amount,Supplier
202410,1800,Training Fees,10695,Institute of Directors
202410,4010,Publications and Multi Media,3480,Engagement Purchases
202410,4011,Communications purchases,2399.04,South West Durham News CIC
202410,4011,Communications purchases,4207.5,Better Times Ltd
202410,4011,Communications purchases,2399.04,South West Durham News CIC
202410,4105,Catering Hospitality,2433.48,ACS Technology Group Ltd
202410,4453,Conference Fees,728,Resolve ASB
202410,4719,Police Misconduct panels,511.56,Police Misconduct Panels
202410,4826,Organisation Memberships,1995,CoPaCC Ltd
202410,4826,Organisation Memberships,2395,Snap Surveys
202410,4868,Other Expenses,761.5,Durham County Council
202410,5101,Community Safety and Prevention,54888,Rape & Sexual Abuse Counselling Centre
202410,5101,Community Safety and Prevention,17032,Durham Agency Against Crime
202410,5101,Community Safety and Prevention,11902,Groundwork North East
202410,5101,Community Safety and Prevention,6500,Darlington Borough Council
202410,5101,Community Safety and Prevention,28592.25,Darlington Borough Council
202410,5101,Community Safety and Prevention,1540,Durham County Council
202410,5101,Community Safety and Prevention,5910,Tees Valley YMCA
202410,5101,Community Safety and Prevention,6060,Trimdon Foundry Parish Council
202410,5101,Community Safety and Prevention,15000,Durham Agency Against Crime
202410,5101,Community Safety and Prevention,29460,UTASS Ltd
202410,5101,Community Safety and Prevention,1500,North East Combined Authority
202410,5106,Victim Services,20000,Darlington Borough Council
202410,5106,Victim Services,14006,Rape & Sexual Abuse Counselling Centre
202410,5106,Victim Services,45512.5,Changing Lives
202410,5106,Victim Services,12040.5,Rape & Sexual Abuse Counselling Centre
202410,5106,Victim Services,12600,Just For Women Centre
202410,5106,Victim Services,18719.75,Rape & Sexual Abuse Counselling Centre
202410,5109,PCC Priorities,2470,Solon Security Ltd
202410,5109,PCC Priorities,702.07,Lifeline Community Action
202410,5109,PCC Priorities,7200,Darlington Borough Council
202410,5109,PCC Priorities,1099,Event Branding UK Ltd
202410,5109,PCC Priorities,797.13,Lifeline Community Action
202410,5109,PCC Priorities,681,Turtle Engineering Ltd
202410,5109,PCC Priorities,2438.4,Change Working Ltd
202410,5201,Financial Services,1030,D.C.C. Superannuation Fund
202410,5201,Financial Services,565,D.C.C. Superannuation Fund
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202410,8001,Land and buildings additions in year,910,WB Engineers Ltd
202410,8001,Land and buildings additions in year,13830,Ian Carswell Associates
202410,8001,Land and buildings additions in year,3165.76,Johnsons 1871 Ltd T/a Johnsons Laboratory Logistics
202410,8001,Land and buildings additions in year,785.75,ACS Technology Group Ltd
202410,8001,Land and buildings additions in year,5208.06,Aero Healthcare Ltd
202410,8001,Land and buildings additions in year,3159,Bulloughs Cleaning Services Ltd
202410,8001,Land and buildings additions in year,580.95,Gresham Office Furniture Ltd
202410,8001,Land and buildings additions in year,17354.4,Acrol Air Conditioning Company Limited
202410,8001,Land and buildings additions in year,1120,Astral Control Services Limited
202410,8001,Land and buildings additions in year,644,Gresham Office Furniture Ltd
202410,8001,Land and buildings additions in year,1270,Gresham Office Furniture Ltd
202410,8001,Land and buildings additions in year,4191.26,Durham County Council
202410,8001,Land and buildings additions in year,11418.67,SSS Public Safety Ltd T/A NECSWS Public Safety
202410,8001,Land and buildings additions in year,4875,Greenwell Design Limited / GDL Architecture
202410,8001,Land and buildings additions in year,2200,Greenwell Design Limited / GDL Architecture
202410,8001,Land and buildings additions in year,4192,JH Partners Consulting Engineers Ltd
202410,8101,Vehicles addition in year,4472.27,A J Engineering Services Ltd
202410,8201,"Fixtures, fittings & equip addition in year",6210,BT Global
202410,8201,"Fixtures, fittings & equip addition in year",134921,BT Global
202410,8201,"Fixtures, fittings & equip addition in year",1550,Corporate Project Solutions Ltd
202410,8201,"Fixtures, fittings & equip addition in year",67314,BT Global
202410,8201,"Fixtures, fittings & equip addition in year",21694.5,Civica UK Ltd
202410,8201,"Fixtures, fittings & equip addition in year",103918.11,Insight Direct (UK) Ltd
202410,8201,"Fixtures, fittings & equip addition in year",21789.43,Softcat Ltd
202410,8201,"Fixtures, fittings & equip addition in year",66365,EE
202410,8201,"Fixtures, fittings & equip addition in year",9798.84,Insight Direct (UK) Ltd
202410,8201,"Fixtures, fittings & equip addition in year",554.68,Phoenix Software Limited
202410,8201,"Fixtures, fittings & equip addition in year",3019.24,Probrand Limited
202410,8201,"Fixtures, fittings & equip addition in year",4937.82,Specialist Computer Centres Ltd
202410,8201,"Fixtures, fittings & equip addition in year",5937.5,Softcat Ltd
202410,8201,"Fixtures, fittings & equip addition in year",4273.87,CDS Security Ltd
202410,8201,"Fixtures, fittings & equip addition in year",2664.33,CDS Security Ltd
