Period,Account,Account(T),Amount,Supplier
202405,2100,Electricity,632.7,EDF Energy Customers Ltd
202405,4000,General Equipment,4080,Clear Channel UK Ltd
202405,4010,Engagement Purchases,1078,Solon Security Ltd
202405,4011,Communications purchases,2945,Better Times Ltd
202405,4826,Organisation Memberships,2500,Police Treatment Centres 
202405,5101,Community Safety and Prevention,14885.99,HM Prison & Probabtion Service
202405,5106,Victim Services,10937.75,Tees Valley Inclusion Project CIC
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202405,8001,Land and buildings additions in year,10627.2,Graham Facilities Management
202405,8001,Land and buildings additions in year,2477.52,Graham Facilities Management
202405,8001,Land and buildings additions in year,6292,Ellis Signs Ltd
202405,8001,Land and buildings additions in year,1699,Ellis Signs Ltd
202405,8001,Land and buildings additions in year,2320,Gresham Office Furniture Ltd
202405,8001,Land and buildings additions in year,1020,CK 21 Ltd
202405,8001,Land and buildings additions in year,9760,JH Partners Consulting Engineers Ltd
202405,8201,"Fixtures, fittings & equip addition in year",6709,Chubb Fire and Security Ltd
202405,8201,"Fixtures, fittings & equip addition in year",5916,Chubb Fire and Security Ltd
202405,8201,"Fixtures, fittings & equip addition in year",11275.4,boxxe
