Period,Account,Account(T),Amount,Supplier
202401,4010,Publications/Plan,3000,Engagement Purchases
202401,4011,Communications purchases,3455,Better Times Ltd
202401,4303,ICT Software - Maintenance,600,Dove Design
202401,4303,ICT Software - Maintenance,4125,Orcuma Ltd
202401,4303,ICT Software - Maintenance,5625,Orcuma Ltd
202401,4305,IT Requests,1968.9,Insight Direct (UK) Ltd
202401,4306,National ICT support costs,60000,Police Digital Service
202401,4703,Consultants Fees,8032.5,Robiquity Limited
202401,4825,Miscellaneous Subscriptions,2500,Association of Police & Crime Commissioners
202401,4826,Organisation Memberships,5000,Durham Pride UK
202401,4826,Organisation Memberships,5629,Supporting Justice CIC
202401,5101,Community Safety and Prevention,54888,Rape & Sexual Abuse Counselling Centre
202401,5101,Community Safety and Prevention,8000,Darlington Borough Council
202401,5101,Community Safety and Prevention,14917.5,Robiquity Limited
202401,5101,Community Safety and Prevention,50000,Durham County Council
202401,5101,Community Safety and Prevention,28592.25,Darlington Borough Council
202401,5101,Community Safety and Prevention,6000,Durham County Council
202401,5101,Community Safety and Prevention,5000,MMC Research & Marketing Ltd
202401,5101,Community Safety and Prevention,1200,Heart Remind Commuity Interest Company
202401,5101,Community Safety and Prevention,5995,Solon Security Ltd
202401,5101,Community Safety and Prevention,11841,Durham County Council
202401,5101,Community Safety and Prevention,30520,UTASS Ltd
202401,5106,Victim Services,27800,Darlington Borough Council
202401,5106,Victim Services,21000,Darlington Borough Council
202401,5106,Victim Services,10937.75,Tees Valley Inclusion Project CIC
202401,5106,Victim Services,10937.75,Tees Valley Inclusion Project CIC
202401,5106,Victim Services,9750,Lime Culture Community Interest  Company
202401,5109,PCC Priorities,5610,Paladin NSAS
202401,5109,PCC Priorities,2000,Darlington Borough Council
,,,,
Note: these purchases are for operational police fixed assets. They are included here because the PCC owns all fixed assets.,,,,
202401,8001,Land and buildings additions in year,526,Graham Facilities Management
202401,8001,Land and buildings additions in year,790.39,Graham Facilities Management
202401,8001,Land and buildings additions in year,604.8,Graham Facilities Management
202401,8001,Land and buildings additions in year,1280,Gresham Office Furniture Ltd
202401,8001,Land and buildings additions in year,23105.52,Graham Facilities Management
202401,8001,Land and buildings additions in year,847,"Shaun Stokoe, Electrical Services Ltd"
202401,8001,Land and buildings additions in year,1753.44,Graham Facilities Management
202401,8001,Land and buildings additions in year,1197,Ellis Signs Ltd
202401,8001,Land and buildings additions in year,1077,Gresham Office Furniture Ltd
202401,8001,Land and buildings additions in year,26710,Gresham Office Furniture Ltd
202401,8001,Land and buildings additions in year,795,"Shaun Stokoe, Electrical Services Ltd"
202401,8001,Land and buildings additions in year,523.1,Ian Carswell Associates
202401,8001,Land and buildings additions in year,16455.47,Turner & Townsend
202401,8201,"Fixtures, fittings & equip addition in year",9721,Chubb Fire and Security Ltd
202401,8201,"Fixtures, fittings & equip addition in year",24008,Chubb Fire and Security Ltd
202401,8201,"Fixtures, fittings & equip addition in year",3962.5,Civica UK Ltd
202401,8201,"Fixtures, fittings & equip addition in year",3231.51,Insight Direct (UK) Ltd
202401,8201,"Fixtures, fittings & equip addition in year",5373.87,Insight Direct (UK) Ltd
202401,8201,"Fixtures, fittings & equip addition in year",1361.04,Insight Direct (UK) Ltd
202401,8201,"Fixtures, fittings & equip addition in year",2300,NDI Technologies
202401,8201,"Fixtures, fittings & equip addition in year",3683,Cleartone Telecoms PLC
202401,8201,"Fixtures, fittings & equip addition in year",159729,SSS Public Safety Ltd T/A NECSWS Public Safety
202401,8201,"Fixtures, fittings & equip addition in year",58069.56,CCS Media Ltd
202401,8201,"Fixtures, fittings & equip addition in year",640.32,CCS Media Ltd
202401,8201,"Fixtures, fittings & equip addition in year",2620,Sepura Limited
202401,8201,"Fixtures, fittings & equip addition in year",1575,Sepura Limited
202401,8201,"Fixtures, fittings & equip addition in year",58963.31,Softcat Ltd
202401,8201,"Fixtures, fittings & equip addition in year",493984.32,Softcat Ltd
202401,8201,"Fixtures, fittings & equip addition in year",3450,Cleartone Telecoms PLC
202401,8201,"Fixtures, fittings & equip addition in year",7115,Gott Technical Services Ltd
,,,,
