Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Banking Charges,03/06/2024,30034917,"1,657.20 ",King and Shaxson
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,04/06/2024,30034377,"1,345.00 ",Ajet Drain Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Other Miscellaneous Expenses,06/06/2024,30034447,"1,275.00 ",NU Focus Education Community interest Company
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Insurance,06/06/2024,30034458,"52,989.98 ",Zurich Municipal Insurance Co
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions to Outside Bodies - No Service Received,06/06/2024,30034436,"25,000.00 ",Lincolnshire Community Foundation
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,06/06/2024,30034431,500.00 ,Carousel Waste & Recycling LTD
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,06/06/2024,30034438,900.00 ,Waste Away Clearance Service
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Other Communication Costs,06/06/2024,30034445,500.00 ,Lincolnshire Agricultural Society
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Performers and Entertainers Fees,06/06/2024,30034466,895.97 ,Levantes Dance Theatre Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,06/06/2024,30034470,450.00 ,Carousel Waste & Recycling LTD
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,06/06/2024,30034481,"2,940.61 ",Foundations and Buildings Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Communication Costs,06/06/2024,30034445,500.00 ,Lincolnshire Agricultural Society
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Miscellaneous Expenses,06/06/2024,30034516,"4,826.00 ",Steffco Ltd T/A Resource
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions to Outside Bodies - No Service Received,06/06/2024,30034436,"25,000.00 ",Lincolnshire Community Foundation
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,06/06/2024,30034431,500.00 ,Carousel Waste & Recycling LTD
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,06/06/2024,30034438,900.00 ,Waste Away Clearance Service
