Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Regulation,Subscriptions to Organisations and Other Bodies,02/04/2024,30032284,"5,002.64 ",District Surveyors Association Ltd t/a LABC
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,02/04/2024,30032083,"4,862.00 ",Safecontrol Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,02/04/2024,30032278,"54,790.98 ",Alliance Leisure Services Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Computer Software Purchase,02/04/2024,30032296,282.20 ,Housing Partners Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Professional Fees,02/04/2024,30032286,"1,300.00 ",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Professional Fees,02/04/2024,30032290,700.00 ,Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Professional Fees,02/04/2024,30032309,"1,250.00 ",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Building Control,Subscriptions to Organisations and Other Bodies,02/04/2024,30032284,"2,501.32 ",District Surveyors Association Ltd t/a LABC
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Pre Planning Advice Fees,02/04/2024,30032273,578.00 ,Portal Plan Quest Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Professional and Contractors Fees,02/04/2024,30032058,"35,306.25 ",Tom Fleming Creative Consultancy
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Professional and Contractors Fees,02/04/2024,30032245,"1,300.00 ",Arnold Funeral Service
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Professional Fees,02/04/2024,30032286,"1,300.00 ",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Professional Fees,02/04/2024,30032290,700.00 ,Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Professional Fees,02/04/2024,30032309,"1,250.00 ",Lincs Digital
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Computer Software Purchase,02/04/2024,30032296,282.20 ,Housing Partners Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Works to Buildings (Main Contractor),02/04/2024,30032304,"1,030.21 ",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Works to Buildings (Main Contractor),02/04/2024,30032305,"1,013.04 ",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,02/04/2024,30032265,900.00 ,Sid Dennis and Sons Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,02/04/2024,30032270,504.50 ,Calbarrie Compliance Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),02/04/2024,30032276,"6,031.45 ",Kes Building
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Regulation,Agency Staff,04/04/2024,30032392,"4,009.50 ",BRG Interim Solutions Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Other Miscellaneous Expenses,04/04/2024,30032329,"7,766.58 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Postages,04/04/2024,30032345,"18,000.00 ",Quadient UK Ltd c/o Neopost
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,PSPS Non-Base Contract Costs,04/04/2024,30032318,"28,247.05 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,PSPS Non-Base Contract Costs,04/04/2024,30032319,"27,608.00 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,PSPS Non-Base Contract Costs,04/04/2024,30032320,"34,300.00 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions - Where a Service is Received,04/04/2024,30032287,"8,687.40 ",East Midlands Community Led Housing
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions to Outside Bodies - No Service Received,04/04/2024,30032361,500.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,04/04/2024,30032327,500.00 ,Platform Housing Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Rent Payments,04/04/2024,30032331,440.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Building Control,Agency Staff,04/04/2024,30032392,"2,004.75 ",BRG Interim Solutions Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,DC Revenues & Benefits,Professional and Contractors Fees,04/04/2024,30032323,"2,000.00 ",Tameside Metropolitan Borough
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Performers and Entertainers Fees,04/04/2024,30032400,"7,617.50 ",Sand in your Eyes
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Enabling Activities Housing Development,Grants and Contributions - Where a Service is Received,04/04/2024,30032287,"2,895.80 ",East Midlands Community Led Housing
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Miscellaneous Expenses,04/04/2024,30032363,520.20 ,Haven Leisure (Skegness Holiday Park)
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions to Outside Bodies - No Service Received,04/04/2024,30032361,500.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Grants and Contributions - Where a Service is Received,04/04/2024,30032287,"2,895.80 ",East Midlands Community Led Housing
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,04/04/2024,30032327,500.00 ,Platform Housing Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Rent Payments,04/04/2024,30032331,440.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Capitalisation of Salaries,04/04/2024,30032078,"16,790.37 ",Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Fixtures And Fittings,04/04/2024,30032279,300.00 ,Neil Warrilow Painting and Decorating
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Grants and Contributions - Where a Service is Received,04/04/2024,30032287,"5,791.60 ",East Midlands Community Led Housing
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Grants and Contributions to Outside Bodies - No Service Received,04/04/2024,30032399,"38,652.00 ",Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,04/04/2024,30032113,"4,947.64 ",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,04/04/2024,30032307,"5,469.15 ",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Workshop Parts,04/04/2024,30032310,356.92 ,Chandlers (Farm Equipment) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Developments,Purchase of Buildings,05/04/2024,30032559,"311,500.00 ",Capsticks Solicitors LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Developments,Purchase of Buildings,05/04/2024,30032560,"425,205.02 ",Capsticks Solicitors LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Works to Buildings (Main Contractor),09/04/2024,30032477,"979,050.26 ",Alliance Leisure Services Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Other Employee Expenses (Non-Payroll),09/04/2024,30032439,"4,410.48 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Professional and Contractors Fees,09/04/2024,30032522,916.00 ,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions - Where a Service is Received,09/04/2024,30032413,"1,000.00 ",City of Lincoln Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,09/04/2024,30030447,215.75 ,Terryberry Reward
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,09/04/2024,30032358,575.00 ,Keystone Locks
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Other Miscellaneous Expenses,09/04/2024,30032539,"1,717.20 ",Andy Gale Housing Consultancy
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Climate Change and Environment,Professional Fees,09/04/2024,30031908,"155,248.57 ",Everwarm Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,DC Revenues & Benefits,Computer Software Licence Costs,09/04/2024,30032447,"4,500.00 ",Inform Cpi Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Other Miscellaneous Expenses,09/04/2024,30032306,"1,840.00 ",Root Studio
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Other Miscellaneous Expenses,09/04/2024,30032473,"1,334.60 ",Peterborough Films
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Performers and Entertainers Fees,09/04/2024,30032401,"6,215.00 ",Sand in your Eyes
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Performers and Entertainers Fees,09/04/2024,30032458,300.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Performers and Entertainers Fees,09/04/2024,30032459,300.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Other agencies,09/04/2024,30032362,"9,292.50 ",Kingdom Local Authority Support
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Other agencies,09/04/2024,30032424,"21,465.00 ",Kingdom Local Authority Support
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Environmental Health,Subscriptions to Organisations and Other Bodies,09/04/2024,30032094,625.00 ,Nottingham City Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Miscellaneous Expenses,09/04/2024,30032306,"1,840.00 ",Root Studio
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Miscellaneous Expenses,09/04/2024,30032402,"2,000.00 ",Newcastle Gateshead Initiative (NGI)
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Performers and Entertainers Fees,09/04/2024,30032458,300.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Performers and Entertainers Fees,09/04/2024,30032459,300.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Shared Management,09/04/2024,30032454,"19,040.82 ",Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions - Where a Service is Received,09/04/2024,30032413,"1,000.00 ",City of Lincoln Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,09/04/2024,30030447,215.75 ,Terryberry Reward
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,09/04/2024,30032358,575.00 ,Keystone Locks
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Other Miscellaneous Expenses,09/04/2024,30032539,"1,717.20 ",Andy Gale Housing Consultancy
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,External Printing and Design Costs,09/04/2024,30032505,"22,144.74 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Capitalisation of Salaries,09/04/2024,30032454,"9,841.27 ",Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Other Communication Costs,09/04/2024,30032517,300.00 ,Digicube Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Other Communication Costs,09/04/2024,30032518,300.00 ,Digicube Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,PSPS Non-Base Contract Costs,09/04/2024,30032523,"3,098.34 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Organisation Improvement & Development,Computer Software Purchase,09/04/2024,30030033,527.82 ,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Other Employee Expenses,09/04/2024,30032414,"3,154.50 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Programmed,09/04/2024,30032476,"7,430.87 ",Second Element Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Programmed,09/04/2024,30032557,"36,441.02 ",Gelder Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Responsive,09/04/2024,30032344,224.07 ,Pest Detective Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Buildings Maintenance - Responsive,09/04/2024,30032359,224.07 ,Pest Detective Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Cleaning Contract,09/04/2024,30032311,520.00 ,Easy Clean Marshchapel Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,09/04/2024,30032352,"1,936.08 ",Vending Enterprises
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,09/04/2024,30032468,"1,395.00 ",M.A.P Security Solutions Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Works to Buildings (Main Contractor),09/04/2024,30032254,"15,500.00 ",Gelder Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Public Protection,Other Miscellaneous Expenses,09/04/2024,30032428,300.00 ,BT Redcare
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),09/04/2024,30032373,"12,928.06 ",Clough Build Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),09/04/2024,30032446,"6,341.85 ",Crown Building Services
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,External Printing and Design Costs,09/04/2024,30032325,"2,152.70 ",Systematic Print Management Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Materials and Consumables,09/04/2024,30031457,"9,168.00 ",ESE Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Professional and Contractors Fees,09/04/2024,30032425,"1,180.98 ",TTC Commercial Services Ltd formerley Licence Bureau
