Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Furniture and Equipment,10/09/2024,30037527,"2,659.00",Woodlandz Furnishings GY Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions - Where a Service is Received,10/09/2024,30037475,"1,097.64",Louth Spiritual Community Centre
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions - Where a Service is Received,10/09/2024,30037551,"2,950.00",Magna Vitae
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Grants and Contributions to Outside Bodies - No Service Received,10/09/2024,30034727,"3,000.00",Endeavour
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Leisure & Culture,Buildings Maintenance - Responsive,10/09/2024,30037289,"2,444.37",Louth Old Boys Football Club
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Conference and Seminars,10/09/2024,30037443,"3,700.00",Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Conference and Seminars,10/09/2024,30037443,"3,700.00",Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Other Miscellaneous Expenses,10/09/2024,30037542,240.3,Steffco Ltd T/A Resource
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Growth Relationships & Growth Promotions,Professional Fees,10/09/2024,30037372,254.8,Freeths LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions - Where a Service is Received,10/09/2024,30037551,"2,950.00",Magna Vitae
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Healthy Living Services Manager,Grants and Contributions to Outside Bodies - No Service Received,10/09/2024,30034727,"3,000.00",Endeavour
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),10/09/2024,30037373,"1,050.00",Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),10/09/2024,30037374,"1,050.00",Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),10/09/2024,30037375,450,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),10/09/2024,30037377,"1,155.00",Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Furniture and Equipment,10/09/2024,30037525,"2,659.00",Woodlandz Furnishings GY Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Furniture and Equipment,10/09/2024,30037526,"3,184.00",Woodlandz Furnishings GY Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Furniture and Equipment,10/09/2024,30037527,"2,659.00",Woodlandz Furnishings GY Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Mobile Phones,10/09/2024,30037482,603.5,Telefonica UK Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Other Communication Costs,10/09/2024,30037404,300,Digicube Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Other Communication Costs,10/09/2024,30037405,300,Digicube Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Invest East Lindsey,Other Miscellaneous Expenses,10/09/2024,30037423,700,Neil Warrilow Painting and Decorating
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,10/09/2024,30037610,"21,220.00",Northside Truck & Van Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,10/09/2024,30037611,"21,220.00",Northside Truck & Van Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,10/09/2024,30037612,"21,220.00",Northside Truck & Van Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,10/09/2024,30037613,"21,220.00",Northside Truck & Van Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Purchase of Vehicles,10/09/2024,30037614,"21,220.00",Northside Truck & Van Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Agency Staff,10/09/2024,30037518,708,The One Group
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Legal Fees,10/09/2024,30037545,346.8,WEIGHTMANS LLP
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Lincolnshire Legal Services,10/09/2024,30037439,"13,918.11",Lincolnshire County Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Rent Payments,10/09/2024,30037490,800,Waggon and Horses
