Body Name,Body,Service Division,Expense Type,Date Paid,Transaction Ref,Invoice Amount,Supplier Name
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Chief Finance Officer,Council Tax Precept - Lincolnshire Police,02/08/2024,30037041,"1,453,162.94 ",Local Police Authority Fund Account
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Regulation,Professional Fees,06/08/2024,30036431,"1,447.44 ",Rase Veterinary Equine
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,06/08/2024,30036384,"7,017.26 ",Heritage Trust of Lincolnshire Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,06/08/2024,30036395,"7,928.00 ",Giraffe Distillers Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,06/08/2024,30036396,"50,000.00 ",Impact (Boston) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,06/08/2024,30036412,"5,005.98 ",PAB Languages Centre Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,"Purchase of Plant, Machinery and Equipment",06/08/2024,30036087,"42,872.00 ",Wainfleet All Saints Town Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036401,720.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036402,750.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036403,750.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Housing & Wellbeing,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036437,560.00 ,Fairfield Guest House
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Audit,Agency Staff,06/08/2024,30036501,"1,190.00 ",James Andrews Recruitment Solutions
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,06/08/2024,30036427,"1,963.50 ",Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,06/08/2024,30036429,"1,925.00 ",Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,06/08/2024,30036430,990.00 ,Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Development Control,Professional and Contractors Fees,06/08/2024,30036434,"2,062.50 ",Quba Solutions Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Economic Growth Service Manager (Place),Other Miscellaneous Expenses,06/08/2024,30036509,324.38 ,The Cley Hall Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Enforcement,Staff Recruitment,06/08/2024,30036419,"1,688.00 ",Stonehouse Recruitment Group
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Enforcement,Staff Recruitment,06/08/2024,30036423,"1,371.50 ",Stonehouse Recruitment Group
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Group Manager Public Protection,Professional Fees,06/08/2024,30036431,"1,447.44 ",Rase Veterinary Equine
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036401,720.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036402,750.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036403,750.00 ,Beeston Lodge Hotel
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Housing & Homelessness,Bed and Breakfast Accommodation (Homelessness Service),06/08/2024,30036437,560.00 ,Fairfield Guest House
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,External Printing and Design Costs,06/08/2024,30036469,"5,762.12 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Materials and Consumables,06/08/2024,30036470,"1,292.10 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Mobile Phones,06/08/2024,30036471,423.16 ,Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Mobile Phones,06/08/2024,30036473,"7,522.17 ",Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Information Technology,Professional and Contractors Fees,06/08/2024,30036438,533.34 ,Public Sector Partnership Services Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Agency Staff,06/08/2024,30036433,"3,899.10 ",The Workshop (Wisbech) Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,06/08/2024,30036456,480.00 ,“Personal Information Redacted”
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Neighbourhoods,Professional and Contractors Fees,06/08/2024,30036457,"1,296.00 ",Sid Dennis and Sons Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Organisation Improvement & Development,Advertising - Events,06/08/2024,30035599,256.01 ,Boston Borough Council
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,"Performance, Governance & Commissioning",Agency Staff,06/08/2024,30036415,888.00 ,The One Group
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Electricity,06/08/2024,30036440,"55,974.06 ",Total Gas and Power Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Electricity,06/08/2024,30036526,580.60 ,Total Gas and Power Limited
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Property,Professional and Contractors Fees,06/08/2024,30036391,305.00 ,Carousel Waste & Recycling LTD
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036465,260.00 ,Westone Housing Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036476,"6,262.40 ",Sibjon Builders
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036477,"11,558.35 ",Andrew Wrisdale Building Contractor
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036478,"4,834.49 ",Mark Donner Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036479,"6,452.08 ",J H Smithson and Son Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Service Manager - Affordable & Accessible Homes-Housing,Works to Buildings (Main Contractor),06/08/2024,30036480,"6,571.03 ",Sibjon Builders
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,Waste,Agency Staff,06/08/2024,30036331,"4,016.52 ",Red Rock Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Grants and Contributions to Outside Bodies - No Service Received,08/08/2024,30036517,"5,223.26 ",Europa Industries Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Growth and Development,Works to Buildings (Sub Contractors),08/08/2024,30036529,"12,012.74 ",Parochial Church Council of Old Bollingbroke Parish
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional and Contractors Fees,08/08/2024,30036614,871.50 ,The Oyster Partnership Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Professional Fees,08/08/2024,30035816,"3,300.00 ",Booths Stonemasonry and Masonry Cons
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Works to Buildings (Sub Contractors),08/08/2024,30035995,"2,703.35 ",Safelincs Ltd
East Lindsey District Council,http://statistics.data.gov.uk/id/local-authority/32UC,AD Capital - Strategic Projects,Works to Buildings (Sub Contractors),08/08/2024,30036015,344.78 ,GRS Signs Ltd
