Transaction Date,Local Authority Department,Beneficiary,Purpose of Expenditure,Amount (excluding VAT),Non Recoverable VAT,Merchant Category
 04-01-2024,oneSource Non-Shared LBH,Oracle Corporation UK Ltd,Ict Software,8747.95,0.00,COMMERCIAL SUPPLIER 
 05-01-2024,oneSource Non-Shared LBH,SSG Support Services Group,Security Services (Excluding Premises),680.64,0.00,COMMERCIAL SUPPLIER 
 11-01-2024,oneSource Non-Shared LBH,Computershare Voucher Services,Private Contractors Payment - Other,3027.44,0.00,COMMERCIAL SUPPLIER 
 19-01-2024,oneSource Non-Shared LBH,Romford Town Management Partnership Ltd,Consultancy Fees,50873.03,0.00,NON COMMERCIAL SUPPLIER 
 23-01-2024,oneSource Non-Shared LBH,Civica UK Ltd_a,Ict Maintenance And Support,5264.94,0.00,COMMERCIAL SUPPLIER 
 30-01-2024,oneSource Non-Shared LBH,Civica Election Services,Consultancy Fees,570.07,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,851.20,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,1746.37,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2927.60,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,1975.45,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,1815.48,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,1726.11,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,3764.20,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2493.95,0.00,COMMERCIAL SUPPLIER 
 03-01-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2892.04,0.00,COMMERCIAL SUPPLIER 
