Transaction Date,Local Authority Department,Beneficiary,Purpose of Expenditure,Amount (excluding VAT),Non Recoverable VAT,Merchant Category
 04-05-2023,Adults,Crystalize Care Services Ltd,Home Care - Private Contractors Payment,502.33,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Crystalize Care Services Ltd,Home Care - Private Contractors Payment,502.33,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Crystalize Care Services Ltd,Home Care - Private Contractors Payment,502.33,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Inna Care Ltd,Home Care - Private Contractors Payment,502.33,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Morepower Ltd t/a Aqs Homecare,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Passion Tree Care Services Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Passion Tree Care Services Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Passion Tree Care Services Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Passion Tree Care Services Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Passion Tree Care Services Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Inna Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Inna Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Inna Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Inna Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 09-05-2023,Adults,Cera Care Operations Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 16-05-2023,Adults,Home Support Services (Havering & Essex) Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 16-05-2023,Adults,Home Support Services (Havering & Essex) Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 26-05-2023,Adults,Prestige Care & Support Ltd,Home Care - Private Contractors Payment,502.34,0.00,COMMERCIAL SUPPLIER 
 02-05-2023,Adults,Morepower Ltd t/a Aqs Homecare,Home Care - Private Contractors Payment,502.70,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.70,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,502.70,0.00,COMMERCIAL SUPPLIER 
 16-05-2023,Adults,Home Support Services (Havering & Essex) Ltd,Home Care - Private Contractors Payment,502.70,0.00,COMMERCIAL SUPPLIER 
 04-05-2023,Adults,Fountains Care Centre - Bondcare,Nursing Homes - Private Contractors Payment,502.86,0.00,COMMERCIAL SUPPLIER 
 12-05-2023,Adults,Home Sweet Home Care Ltd,Home Care - Private Contractors Payment,503.07,0.00,COMMERCIAL SUPPLIER 
 16-05-2023,Adults,Home Support Services (Havering & Essex) Ltd,Home Care - Private Contractors Payment,503.43,0.00,COMMERCIAL SUPPLIER 
 22-05-2023,Adults,John Stanleys Care Agency Ltd,Home Care - Private Contractors Payment,503.48,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,503.79,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,503.79,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Hospiva Care & Associates Agency Ltd_a,Home Care - Private Contractors Payment,503.79,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Hospiva Care & Associates Agency Ltd_a,Home Care - Private Contractors Payment,503.79,0.00,COMMERCIAL SUPPLIER 
 03-05-2023,Adults,Lodge Group Care UK Ltd,Home Care - Private Contractors Payment,504.16,0.00,COMMERCIAL SUPPLIER 
 16-05-2023,Adults,Home Support Services (Havering & Essex) Ltd,Home Care - Private Contractors Payment,504.16,0.00,COMMERCIAL SUPPLIER 
