Transaction Date,Local Authority Department,Beneficiary,Purpose of Expenditure,Amount (excluding VAT),Non Recoverable VAT,Merchant Category
 06-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,1308.92,0.00,COMMERCIAL SUPPLIER 
 13-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,4177.25,0.00,COMMERCIAL SUPPLIER 
 13-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,1295.77,0.00,COMMERCIAL SUPPLIER 
 14-03-2024,Corporate Budgets,Penna Plc_a,Consultancy Fees,16005.00,0.00,COMMERCIAL SUPPLIER 
 20-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,4177.25,0.00,COMMERCIAL SUPPLIER 
 20-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,1282.61,0.00,COMMERCIAL SUPPLIER 
 27-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,1302.34,0.00,COMMERCIAL SUPPLIER 
 27-03-2024,Corporate Budgets,Matrix SCM Ltd,Agency Staff,4177.25,0.00,COMMERCIAL SUPPLIER 
 01-03-2024,oneSource Shared,Talent Cloud Solutions Limited,Ict Maintenance And Support,38844.00,0.00,COMMERCIAL SUPPLIER 
 01-03-2024,oneSource Shared,Talent Cloud Solutions Limited,Ict Maintenance And Support,24120.50,0.00,COMMERCIAL SUPPLIER 
 03-03-2024,oneSource Shared,Global Knowledge Network Training Limited,Ict Maintenance And Support,5482.00,0.00,COMMERCIAL SUPPLIER 
 03-03-2024,oneSource Shared,Wilkin Chapman LLP,Legal Fees,1450.00,0.00,COMMERCIAL SUPPLIER 
 03-03-2024,oneSource Shared,Wilkin Chapman LLP,Legal Fees,1195.00,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,3615.05,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2493.95,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,3764.20,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,772.19,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,708.92,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,751.33,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,880.93,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,880.92,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,3340.60,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,4537.95,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2546.00,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,2735.39,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,1740.69,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,851.20,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,851.20,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,875.16,0.00,COMMERCIAL SUPPLIER 
 06-03-2024,oneSource Shared,Matrix SCM Ltd,Agency Staff,873.73,0.00,COMMERCIAL SUPPLIER 
 07-03-2024,oneSource Shared,Posturite Ltd,Purchase - Equipment Furniture And Materials,1408.00,0.00,COMMERCIAL SUPPLIER 
 07-03-2024,oneSource Shared,Matrix SCM Ltd,Consultancy Fees,14066.50,0.00,COMMERCIAL SUPPLIER 
 07-03-2024,oneSource Shared,Matrix SCM Ltd,Consultancy Fees,11809.88,0.00,COMMERCIAL SUPPLIER 
 07-03-2024,oneSource Shared,Matrix SCM Ltd,Consultancy Fees,10225.00,0.00,COMMERCIAL SUPPLIER 
