,,,,March 2024 £500 spend data,,,,
,,,,,,,,
Payment Date,Transaction Number,Non-Recoverable VAT,Amount,Supplier,Supplier Number,Expense Type,Directorate,Service Area
05/03/2024,936830,0,805,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
05/03/2024,936831,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
05/03/2024,936832,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
05/03/2024,936833,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
14/03/2024,936834,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
14/03/2024,936835,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
21/03/2024,936836,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
26/03/2024,936837,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
26/03/2024,936838,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
28/03/2024,936839,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
18/03/2024,936840,0,925,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
14/03/2024,936841,0,1175,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
28/03/2024,936842,0,1200,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
26/03/2024,936843,0,3825,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
12/03/2024,936844,0,5025,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
18/03/2024,936845,0,6100,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
21/03/2024,936846,0,6300,2 DR JOHNSON'S BUILDINGS,10053700,Counsel Fees,Finance & Corporate,Legal and Democratic Services
18/03/2024,936826,0,800,2 DR JOHNSON'S BUILDINGS,10053700,Legal Disbursements,Finance & Corporate,Legal and Democratic Services
28/03/2024,936847,0,2815.66,22 ST PETERS ROAD HOME,8400008500,ResPlcmts-ProvPayWA,Adults & Health,BOROUGHWIDE
28/03/2024,936848,0,2815.66,22 ST PETERS ROAD HOME,8400008500,ResPlcmts-ProvPayWA,Adults & Health,BOROUGHWIDE
04/03/2024,936849,0,5631.32,22 ST PETERS ROAD HOME,8400008500,ResPlcmts-ProvPayWA,Adults & Health,BOROUGHWIDE
14/03/2024,936850,0,2081.8,24 X 7 LTD,8699200,Transport Costs Clients,Children's Services,Education Services
28/03/2024,936851,0,2479,24 X 7 LTD,8699200,Transport Costs Clients,Children's Services,Education Services
14/03/2024,936852,0,2503,24 X 7 LTD,8699200,Transport Costs Clients,Children's Services,Education Services
