,,,,May 2023 £500 spend,,,,
19/05/2023,866428,0,957.6,BEXLEY VOICE FOR SPECIAL NEEDS CHILDREN,7202500,ICT Other Expenditure,Children's Services,Education Services
19/05/2023,866429,0,5960,BEXLEY VOICE FOR SPECIAL NEEDS CHILDREN,7202500,ICT Other Expenditure,Children's Services,Education Services
05/05/2023,866430,0,54168.4,BEXLEYHEATH BUSINESS PARTNERSHIP,7212601,Bexleyheath Bus Improvt Dist,Finance & Corporate,Central Finance
02/05/2023,866431,0,20011.13,BIOGEN UK LTD,10004700,Green Waste,Place,Neighbourhoods
17/05/2023,866432,0,7060.33,BIONICAL SOLUTIONS LIMITED,8160601,Public Health Payments,Adults & Health,Health & Wellbeing
02/05/2023,866433,0,8362,BIRKBECK PRIMARY,4000004300,BirkbeckSch 33705313,Finance & Corporate,Central Finance
02/05/2023,866434,0,32347,BIRKBECK PRIMARY,4000004300,BirkbeckSch 33705313,Finance & Corporate,Central Finance
22/05/2023,866435,0,79134.73,BIRKBECK PRIMARY,4000004300,BirkbeckSch 33705313,Finance & Corporate,Central Finance
02/05/2023,866436,0,2661.16,BIRKBECK PRIMARY,4000004300,ICT Software,Children's Services,Education Services
19/05/2023,866437,0,16088.77,BIRKBECK PRIMARY SCHOOL,4500001200,VAT Reimbursement,Finance & Corporate,Central Finance
26/05/2023,866438,0,6666,BIRLING HOUSE,8400005500,ResPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866439,0,5600,BIRLING HOUSE,8400005500,ResPlcmts-ProvPayWA,Adults & Health,Bexley Care
19/05/2023,866440,0,13284.53,BISHOP RIDLEY CE PRIMARY SCHOOL,4500000800,VAT Reimbursement,Finance & Corporate,Central Finance
02/05/2023,866441,0,8112,BISHOP RIDLEY CE VA,4000000300,Bishop Ridley  Sch Bank Acc,Finance & Corporate,Central Finance
02/05/2023,866442,0,23770,BISHOP RIDLEY CE VA,4000000300,Bishop Ridley  Sch Bank Acc,Finance & Corporate,Central Finance
02/05/2023,866443,0,2020.57,BISHOP RIDLEY CE VA,4000000300,ICT Software,Children's Services,Education Services
26/05/2023,866444,0,6966.68,BISHOPS LODGE,8400005200,ResPlcmts-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866445,0,3195.48,BLOSSOM LODGE,8400001800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866446,0,5947.88,BLOSSOM LODGE,8400001800,CommServs-ProvPayWA,Adults & Health,Bexley Care
05/05/2023,866447,0,3283.28,BLUE I STUDIO LONDON LIMITED,7100000000,LBB Share NNDR Debtor,Finance & Corporate,Central Finance
26/05/2023,866448,0,10884.16,BLYTHE HOUSE,8400026600,ResPlcmts-ProvPayWA,Adults & Health,Bexley Care
03/05/2023,866449,0,5000,BNP PARIBAS REAL ESTATE,8006000,Professional Services General,Place,Housing and Strategic Planning
26/05/2023,866450,0,3173.88,BOLDSHAVES OAST,8400001500,ResPlcmts-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866451,0,8617.96,BOLDSHAVES OAST,8400001500,ResPlcmts-ProvPayWA,Adults & Health,Bexley Care
02/05/2023,866452,0,1100,BOSTALL LIBRARY COMMUNITY GROUP,8452900,Grants and Contributions,Place,Neighbourhoods
22/05/2023,866453,0,644.09,BOTTOMLINE,dd,Professional Services General,Finance & Corporate,Central Finance
05/05/2023,866454,0,233169.43,BOXWOOD LEISURE LIMITED,5432500,Private Contractors - General,Place,Neighbourhoods
26/05/2023,866455,0,240626.58,BOXWOOD LEISURE LIMITED,5432500,Private Contractors - General,Place,Neighbourhoods
24/05/2023,866456,0,577,BRAKE BROS LIMITED,5818001,Catering&Refreshments,Place,Neighbourhoods
22/05/2023,866457,0,653.53,BRAKE BROS LIMITED,5818001,Catering&Refreshments,Place,Neighbourhoods
17/05/2023,866458,0,825.2,BRAKE BROS LIMITED,5818001,Catering&Refreshments,Place,Neighbourhoods
02/05/2023,866459,0,1000,BRENDA SCANLAN CONSULTING LTD,10094400,Agency Staff,Adults & Health,ASC Non Bexley Care
02/05/2023,866460,0,2400,BRENDA SCANLAN CONSULTING LTD,10094400,Agency Staff,Adults & Health,ASC Non Bexley Care
30/05/2023,866461,0,3600,BRIDGE HOUSING SOLUTIONS,8777200,Discretionary Housing Payment,Place,Housing and Strategic Planning
12/05/2023,866462,0,506.84,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866463,0,515.04,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866464,0,515.4,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866465,0,521.36,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866466,0,523.72,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866467,0,541.08,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866468,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866469,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866470,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866471,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866472,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866473,0,548.8,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866474,0,592.44,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866475,0,592.44,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866476,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866477,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866478,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866479,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866480,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866481,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866482,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866483,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866484,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866485,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866486,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866487,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866488,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866489,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866490,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866491,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866492,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866493,0,609.56,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866494,0,619.52,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866495,0,653.76,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866496,0,670.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866497,0,670.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866498,0,670.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866499,0,670.88,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866500,0,670.88,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
19/05/2023,866501,0,670.88,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866502,0,10834.2,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866503,0,825.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866504,0,825.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayWA,Adults & Health,Bexley Care
19/05/2023,866505,0,825.32,BRIDGES HEALTH CARE,8400016800,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866506,0,5085.88,BRIDGESIDE LODGE CARE CENTRE,8400009300,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
24/05/2023,866507,0,2500,BRIGHTCORP T/A THE RETAIL GROUP,10143300,Advert Publicity and Marketing,Place,Housing and Strategic Planning
30/05/2023,866508,0,1518.54,BRITISH GAS TRADING LIMITED,508901,Electricity,Place,Housing and Strategic Planning
30/05/2023,866509,0,2247.85,BRITISH GAS TRADING LIMITED,508901,Electricity,Place,Housing and Strategic Planning
30/05/2023,866510,0,683.76,BRITISH GAS TRADING LIMITED,508901,Gas,Place,Neighbourhoods
30/05/2023,866511,0,893.2,BRITISH GAS TRADING LIMITED,508901,Gas,Adults & Health,Bexley Care
30/05/2023,866512,0,1029.07,BRITISH GAS TRADING LIMITED,508901,Gas,Finance & Corporate,Finance & Property
30/05/2023,866513,0,5280.07,BRITISH GAS TRADING LIMITED,508901,Gas,Place,Housing and Strategic Planning
30/05/2023,866514,0,6323.61,BRITISH GAS TRADING LIMITED,508901,Gas,Place,Housing and Strategic Planning
24/05/2023,866515,0,7955,BRITISH TELECOMMUNICATIONS PLC,63301,Purchase Equip Furn Materials,Place,Neighbourhoods
19/05/2023,866516,0,68464.87,BRITISH TELECOMMUNICATIONS PLC,63301,Purchase Equip Furn Materials,Place,Neighbourhoods
24/05/2023,866517,0,20980,BROADLANDS HALL,10060000,Specialist Placements Resid,Children's Services,Children Social Care & Safegua
19/05/2023,866518,0,26225,BROADLANDS HALL,10060000,Specialist Placements Resid,Children's Services,Children Social Care & Safegua
26/05/2023,866519,0,3065.54,BROOK HOUSE NURSING HOME,8400008800,ASC Interim Beds,Adults & Health,Bexley Care
26/05/2023,866520,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,ASC Interim Beds,Adults & Health,Bexley Care
26/05/2023,866521,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,ASC Interim Beds,Adults & Health,Bexley Care
26/05/2023,866522,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,ASC Interim Beds,Adults & Health,Bexley Care
26/05/2023,866523,0,2563.8,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866524,0,2563.8,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866525,0,2999.12,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866526,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866527,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866528,0,3551.08,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866529,0,3642.08,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866530,0,4049.6,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866531,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866532,0,4800,BROOK HOUSE NURSING HOME,8400008800,NurPlcmts-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866533,0,3179.08,BROOK HOUSE NURSING HOME,8400008800,ResEmRespPlcmts-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866534,0,-621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866535,0,509.17,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866536,0,512.44,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866537,0,544.04,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866538,0,563.81,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866539,0,566,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866540,0,596.58,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866541,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866542,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866543,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866544,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866545,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866546,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866547,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866548,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866549,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866550,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866551,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866552,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866553,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866554,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866555,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866556,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866557,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866558,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866559,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866560,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866561,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866562,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866563,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866564,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866565,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866566,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866567,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866568,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866569,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866570,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866571,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866572,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866573,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866574,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866575,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866576,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866577,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866578,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866579,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866580,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866581,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866582,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866583,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866584,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866585,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866586,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866587,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866588,0,609.56,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866589,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866590,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866591,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866592,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866593,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866594,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866595,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866596,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866597,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866598,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866599,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866600,0,621.46,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866601,0,626.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866602,0,639.18,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866603,0,656.96,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866604,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866605,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866606,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866607,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866608,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866609,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866610,0,683.9,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866611,0,683.9,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866612,0,692.4,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866613,0,749.98,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866614,0,918.68,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866615,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866616,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866617,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866618,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866619,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
26/05/2023,866620,0,1086.92,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayOP,Adults & Health,Bexley Care
12/05/2023,866621,0,-571.52,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866622,0,621.4,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866623,0,659.22,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866624,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866625,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866626,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866627,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866628,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866629,0,670.88,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866630,0,730.28,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866631,0,783.44,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866632,0,869.96,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
12/05/2023,866633,0,869.96,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866634,0,869.96,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866635,0,869.96,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
26/05/2023,866636,0,907.72,BROWNCROSS HEALTHCARE LIMITED,8400039700,CommServs-ProvPayWA,Adults & Health,Bexley Care
