Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,11059695,LF1,Printing/Design,P26,Economic Development & Resources,TOPLINK ENVELOPES LTD,02/10/2023,150.24
Bath and North East Somerset Council,11059695,LF5,Postages,P26,Economic Development & Resources,TOPLINK ENVELOPES LTD,02/10/2023,327.5
Bath and North East Somerset Council,81229287,LA7,Purchases for Resale,P04,Leader,TEMPLE ISLAND COLLECTIONS,02/10/2023,383.04
Bath and North East Somerset Council,81229289,LA7,Purchases for Resale,P04,Leader,KING & MCGAW LIMITED,02/10/2023,432
Bath and North East Somerset Council,11059692,KB1,Hire of Vehicles,P05,Neighbourhood Services,REFUSE VEHICLE SOLUTIONS LTD,02/10/2023,432.27
Bath and North East Somerset Council,11059660,LJ4,Contracts,P05,Neighbourhood Services,T H WHITE LTD,02/10/2023,479.66
Bath and North East Somerset Council,81229274,LA7,Purchases for Resale,P04,Leader,BRITISH FOSSILS,02/10/2023,483.75
Bath and North East Somerset Council,11059644,LK1,Fees,P05,Neighbourhood Services,FREESTYLE DESIGNS BATH LTD,02/10/2023,492.5
Bath and North East Somerset Council,11059673,LJ4,Contracts,P05,Neighbourhood Services,MELLOR COACHCRAFT,02/10/2023,495
Bath and North East Somerset Council,11059596,LJ2,Legal Fees,P29,Children and Young People & Communities,CANSFORD LABORATORIES LTD,02/10/2023,495.33
Bath and North East Somerset Council,11059591,LC1,Provisions,P28,Adult Services & Council House Building,DOLE FOODSERVICE BRISTOL,02/10/2023,532.98
Bath and North East Somerset Council,11059638,PB4,Payments to Private Contractors,P05,Neighbourhood Services,SAFETY-KLEEN UK LTD,02/10/2023,535
Bath and North East Somerset Council,11059680,LJ4,Contracts,P05,Neighbourhood Services,HAKO MACHINES LTD,02/10/2023,538.78
Bath and North East Somerset Council,11059637,LD1,Protective & Safety Clothing & PPE,P05,Neighbourhood Services,SMI GROUP LTD,02/10/2023,538.92
Bath and North East Somerset Council,11059624,LK1,Fees,P04,Leader,BRASSMILL ENTERPRISE CENTRE MGMT.CO.UK,02/10/2023,596.16
Bath and North East Somerset Council,81229381,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,500
Bath and North East Somerset Council,81229273,LA7,Purchases for Resale,P04,Leader,PHILIP BOUCHARD,02/10/2023,600
Bath and North East Somerset Council,81229382,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,500
Bath and North East Somerset Council,81229390,PG4,Support Grants,P26,Economic Development & Resources,COVID-19 BUSINESS GRANT,02/10/2023,500
