Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81175558,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,7328.10
Bath and North East Somerset Council,81175688,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,418.38
Bath and North East Somerset Council,81175688,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,418.38
Bath and North East Somerset Council,81175688,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,418.38
Bath and North East Somerset Council,81175777,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,2345.38
Bath and North East Somerset Council,81175298,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,2815.56
Bath and North East Somerset Council,81175835,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,2900.24
Bath and North East Somerset Council,81175835,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,4883.20
Bath and North East Somerset Council,81175777,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/01/2023,6341.54
Bath and North East Somerset Council,11029500,3F7,External Fees,P23,"Housing, Planning & Economic Development",BRYAN CAVE LEIGHTON PAISNER LLP,03/01/2023,72.00
Bath and North East Somerset Council,81175314,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,1847.56
Bath and North East Somerset Council,81175724,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,03/01/2023,2042.94
Bath and North East Somerset Council,81175724,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,03/01/2023,2042.94
Bath and North East Somerset Council,81175331,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,587.96
Bath and North East Somerset Council,81175651,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,2620.88
Bath and North East Somerset Council,11030222,HN1,Electricity,P29,"Children & Young People, Communities & Culture",TOTAL GAS & POWER,03/01/2023,83.42
Bath and North East Somerset Council,81175781,LM3,Residential Care,P28,Adult Services & Council House Building,AMICURA LTD,03/01/2023,608.94
Bath and North East Somerset Council,81175781,LM3,Residential Care,P28,Adult Services & Council House Building,AMICURA LTD,03/01/2023,608.94
Bath and North East Somerset Council,11030143,LK1,Fees,P04,Leader,RS SECURITY LTD,03/01/2023,88.00
Bath and North East Somerset Council,11030173,LK1,Fees,P04,Leader,RS SECURITY LTD,03/01/2023,88.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,26.10
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,145.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,203.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,203.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,304.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,304.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,304.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,406.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,406.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,464.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,507.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,507.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,507.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,507.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,609.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,710.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,710.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,710.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,710.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,725.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,812.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,913.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1015.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1015.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1015.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1218.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1319.50
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1334.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1421.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,1508.00
Bath and North East Somerset Council,81175692,LM8,Home Care,P28,Adult Services & Council House Building,AMICUS HOMECARE LTD,03/01/2023,2656.40
Bath and North East Somerset Council,81175585,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,703.50
Bath and North East Somerset Council,81175661,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,881.64
Bath and North East Somerset Council,81175433,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/01/2023,853.00
Bath and North East Somerset Council,81175410,LL8,Individualised Budget,P29,"Children & Young People, Communities & Culture",REDACTED,03/01/2023,1020.88
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,18.78
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,18.80
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.46
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.46
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.58
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.58
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.58
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,37.58
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,56.19
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,74.92
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,74.92
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,75.16
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,75.16
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,75.16
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.65
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.65
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.65
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.65
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.95
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.95
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.95
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,93.95
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,112.38
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,112.74
Bath and North East Somerset Council,81175859,LL3,Supported Living,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,112.74
Bath and North East Somerset Council,81175859,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/01/2023,112.74
