Body Name,Transaction Number,Account Code Description,Expenses Type,Service Code,Service Area Categorisation,Supplier Name,Date,Amount
Bath and North East Somerset Council,81211895,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,2345.38
Bath and North East Somerset Council,81211958,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,2900.24
Bath and North East Somerset Council,81211423,LM6,Nursing Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,2964.78
Bath and North East Somerset Council,81211982,LL3,Supported Living,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,3658.84
Bath and North East Somerset Council,81211895,LM3,Residential Care,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,6677.64
Bath and North East Somerset Council,81211982,LL3,Supported Living,P28,Adult Services & Council House Building,ACHIEVE TOGETHER LIMITED,03/07/2023,33293.19
Bath and North East Somerset Council,81211639,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/07/2023,2906.1
Bath and North East Somerset Council,81211840,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,03/07/2023,2042.94
Bath and North East Somerset Council,81211840,LM3,Residential Care,P28,Adult Services & Council House Building,ALEXANDRA HOMES (BRISTOL) LTD,03/07/2023,2042.94
Bath and North East Somerset Council,81211760,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/07/2023,2620.88
Bath and North East Somerset Council,81211911,LM6,Nursing Care,P28,Adult Services & Council House Building,ALLIANCE CARE (DALES) LIMITED RE REDACTED,03/07/2023,2351.62
Bath and North East Somerset Council,81211899,LM3,Residential Care,P28,Adult Services & Council House Building,AMICURA LTD,03/07/2023,608.94
Bath and North East Somerset Council,81211899,LM3,Residential Care,P28,Adult Services & Council House Building,AMICURA LTD,03/07/2023,608.94
Bath and North East Somerset Council,81211701,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/07/2023,703.5
Bath and North East Somerset Council,81211769,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/07/2023,881.64
Bath and North East Somerset Council,81211539,LL8,Individualised Budget,P28,Adult Services & Council House Building,REDACTED,03/07/2023,853
Bath and North East Somerset Council,81211517,LL8,Individualised Budget,P29,Children and Young People & Communities,REDACTED,03/07/2023,1020.88
Bath and North East Somerset Council,81211984,LM9,Day Care,P28,Adult Services & Council House Building,ARCH CARE SERVICES LTD,03/07/2023,21.05
