SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 FEB 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
MARSH LIMITED,16/01/2025,"£4,224.00",Other Insurance Costs
MATRIX SCM LIMITED,30/01/2025,"£48,673.69",Consultants Fees
METRO ROD LIMITED,23/01/2025,"£1,263.74",Maintenance
MITIE CARE AND CUSTODY LIMITED,01/02/2025,"£71,914.28",FME Contract 
MOUNTAIN HEALTHCARE LIMITED,01/02/2025,"£59,495.87",SARC FME Contract
NANTMOR BLINDS LIMITED,13/01/2025,£586.00,Maintenance
NANTMOR BLINDS LIMITED,24/01/2025,£511.00,Maintenance
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/01/2025,"£1,058.75",FME Contract 
NPOWER LIMITED,16/01/2025,"£7,018.13",Electricity
NPOWER LIMITED,17/02/2025,"£88,756.65",Electricity
NTA MONITOR LIMITED (INTERTEK NTA),28/01/2025,"£3,721.34",Other IT Costs
OECONNECTION,31/01/2025,"£13,380.67",Vehicles - Spares
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/01/2025,"£1,280.95",Postage Costs
PITNEY BOWES SOFTWARE EUROPE LIMITED,24/02/2025,"£1,463.05",Postage Costs
R G CARTER CAMBRIDGE LIMITED,15/01/2025,"£4,642.15",Building Works
R G CARTER CAMBRIDGE LIMITED,20/01/2025,"£61,655.79",Building Works
RICOH UK LIMITED,17/12/2024,"£21,482.85",Photocopier Machines - (Click) Charges
ROUND MIDNIGHT LIMITED (VIRTUAL DECISIONS),23/01/2025,"£27,500.00",Software Licences
RSP RAIL TRAVEL ACCOUNT,31/01/2025,£765.50,Detained Persons - Other Expenses
SBFM LIMITED,17/01/2025,"£1,595.00",Cleaning Contract 
SCOTT TAYLOR LAW LIMITED,31/01/2025,"£5,700.00",Public Liability
SERJEANT’S INN CHAMBERS,30/01/2025,"£3,500.00",Legal Services Contract
SHIRE WM TROPHIES,11/11/2024,£934.00,Presentations and Awards
