SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUN 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
AETOPIA LIMITED,01/04/2024," £2,875.00 ",Storage,,,,,,
AETOPIA LIMITED,01/06/2024," £3,450.00 ",Storage,,,,,,
AGIITO LIMITED,27/05/2024," £6,447.00 ",Hotel Accommodation,,,,,,
AGIITO LIMITED,30/05/2024, £834.70 ,Public Transport ,,,,,,
AIRMAX REMOTE LIMITED,30/04/2024," £19,735.10 ",Software - Maintenance,,,,,,
AIRWAVE SOLUTIONS LIMITED,01/03/2024," £58,816.43 ",Airwave,,,,,,
AIRWAVE SOLUTIONS LIMITED,14/03/2024," £58,203.35 ",Airwave,,,,,,
AIRWAVE SOLUTIONS LIMITED,10/04/2024," £58,816.43 ",Airwave,,,,,,
AIRWAVE SOLUTIONS LIMITED,20/05/2024," £59,034.63 ",Airwave,,,,,,
AIRWAVE SOLUTIONS LIMITED,11/06/2024," £58,685.78 ",Airwave,,,,,,
ALLSTAR BUSINESS SOLUTIONS,22/05/2024," £17,860.69 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,29/05/2024," £15,922.30 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,05/06/2024," £15,277.58 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,12/06/2024," £16,504.52 ",Vehicle Fuel,,,,,,
ALLWAG PROMOTIONS LIMITED,21/05/2024," £1,100.00 ",Promotional material,,,,,,
AMR ELECTRICAL SERVICES LIMITED,15/05/2024," £7,892.59 ",Maintenance  ,,,,,,
ANGLIAN WATER BUSINESS,11/05/2024," £5,293.37 ",Water & Sewerage,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,31/05/2024, £800.00 ,Alarm Monitoring,,,,,,
BALLICOM LIMITED,26/04/2024, £799.00 ,Hardware - purchase,,,,,,
BANNER,15/05/2024," £14,100.00 ",Hardware,,,,,,
BAYMED HEALTHCARE LIMITED,08/05/2024," £2,895.00 ",Specialist Operational Equipment,,,,,,
BOING RAPID SECURE LIMITED,07/06/2024," £1,051.80 ",Boarding Up,,,,,,
BOXXE LIMITED,21/11/2023," £21,410.94 ",Software - Maintenance,,,,,,
BUPA OCCUPATIONAL HEALTH,09/05/2024," £1,272.00 ",Occupational Health Employee Costs,,,,,,
CBRE MANAGED SERVICES LIMITED,29/04/2024," £27,881.25 ",Grounds & Caretaking Contract,,,,,,
CBRE MANAGED SERVICES LIMITED,31/05/2024," £28,476.92 ",Grounds & Caretaking Contract,,,,,,
CBRE MANAGED SERVICES LIMITED,31/05/2024," £2,645.65 ",Maintenance  ,,,,,,
CEETECH LIMITED,14/05/2024, £753.98 ,Building Works,,,,,,
CELLMARK LIMITED,29/05/2024," £9,847.55 ",Forensic Analysis,,,,,,
CELLMARK LIMITED,14/06/2024," £57,703.44 ",Forensic Analysis,,,,,,
CERTAS ENERGY,14/06/2024," £11,563.00 ",Vehicle Fuel,,,,,,
CONSTANT COOLING LIMITED,31/05/2024," £7,100.16 ",Maintenance  ,,,,,,
COOMBE HEALTH ASSOCIATES LIMITED,04/06/2024," £1,500.00 ",Forensic Analysis,,,,,,
COPYRIGHT LICENSING AGENCY LIMITED,21/05/2024," £1,622.88 ",Licence Fees,,,,,,
CSI EQUIPMENT LIMITED,13/05/2024, £568.50 ,SOC Consumables,,,,,,
DELL COMPUTER CORPORATION LIMITED,15/05/2024," £56,452.00 ",Hardware,,,,,,
DIGITAL DEVICES LIMITED,08/05/2024," £2,205.25 ",Hardware - purchase,,,,,,
DONOGHUE SOLICITORS,20/06/2024," £29,500.00 ",Public Liability,,,,,,
DREAM ON,19/05/2024, £768.90 ,Accreditation,,,,,,
E RAND & SONS LIMITED,31/05/2024," £1,160.00 ",Maintenance  ,,,,,,
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,28/05/2024," £4,671.50 ",Maintenance  ,,,,,,
EASTERN SECURITY SYSTEMS LIMITED,05/05/2024," £5,418.50 ",Maintenance  ,,,,,,
EE LIMITED,03/06/2024," £28,956.33 ",Mobile Phone Contract Cost,,,,,,
ENTERPRISE RENT-A-CAR,13/05/2024," £1,290.94 ",Hire of Vehicles,,,,,,
ENTERPRISE RENT-A-CAR,27/05/2024," £2,216.10 ",Hire of Vehicles,,,,,,
EUREST SERVICE,07/05/2024," £6,486.80 ",Contract Catering,,,,,,
FMG REPAIR SERVICES LIMITED,10/05/2024," £2,738.01 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,21/05/2024," £4,768.08 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,28/05/2024," £5,032.93 ",Vehicle Insurance,,,,,,
FORENSIC PATHOLOGY SERVICES,17/05/2024, £652.60 ,Pathologists Fees,,,,,,
FORESIGHT CLINICAL SERVICES LIMITED,05/04/2024," £3,120.00 ",Professional Fees,,,,,,
FUCHS LUBRICANTS (UK) PLC,28/05/2024," £2,205.80 ",Lubricants (Oil and Grease),,,,,,
GAMMA TELECOM LIMITED,09/05/2024," £8,152.06 ",Telephone Line Rental,,,,,,
GOODYEAR TYRES UK LIMITED,08/05/2024," £1,929.24 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,16/05/2024, £992.84 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,23/05/2024," £1,263.24 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,29/05/2024, £878.93 ,Vehicles - Tyres and Tubes,,,,,,
HIGHFIELD EVENT GROUP,03/06/2024," £1,311.25 ",Promotional material,,,,,,
HOME OFFICE,15/05/2024," £1,241,160.14 ",Home Office Systems,,,,,,
HYDRATECH ENGINEERING LIMITED,31/05/2024, £959.42 ,Specialist Operational Training Equipment,,,,,,
IMIMOBILE EUROPE LIMITED,05/05/2024," £4,540.46 ",Telephone Line Rental,,,,,,
IMIMOBILE EUROPE LIMITED,10/05/2024," £4,520.87 ",Telephone Line Rental,,,,,,
INCHCAPE IPSWICH,21/05/2024," £1,125.42 ",Vehicle Insurance,,,,,,
INCHCAPE NORWICH,01/05/2024," £2,905.69 ",Vehicle Insurance,,,,,,
INGLETON WOOD LIMITED,30/04/2024," £2,309.00 ",Maintenance  ,,,,,,
INGLETON WOOD LIMITED,31/05/2024," £1,547.00 ",Fees - Other,,,,,,
INGLETON WOOD LIMITED,31/05/2024," £1,648.00 ",Consultant Estates Fees,,,,,,
INGLETON WOOD LIMITED,31/05/2024," £1,267.50 ",Consultant Estates Fees,,,,,,
INTEGRATED WATER SERVICES LIMITED,30/04/2024," £1,372.54 ",Building Statutory - Water,,,,,,
INTEGRATED WATER SERVICES LIMITED,28/05/2024," £1,247.94 ",Building Statutory - Water,,,,,,
INTERNET INVESTIGATION SOLUTIONS LIMITED,21/05/2024," £1,572.55 ",Drug Squad Equipment,,,,,,
IPP EDUCATION LIMITED (A SUBSIDUARY OF CIPP),07/05/2024," £2,645.00 ",Training Materials and Study Costs,,,,,,
JDCC (EAST ANGLIA) LIMITED,23/05/2024, £539.98 ,Vehicle Workshop Equipment,,,,,,
JOHN GROSE GROUP LIMITED,14/05/2024," £1,736.81 ",Vehicle Repairs,,,,,,
JOHN GROSE GROUP LIMITED,22/05/2024," £1,958.53 ",Vehicle Repairs,,,,,,
JOHN GROSE GROUP LIMITED,30/05/2024," £1,609.76 ",Vehicle Repairs,,,,,,
KEY FORENSIC SERVICES LIMITED,29/05/2024," £10,910.46 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,07/06/2024," £4,536.81 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,15/06/2024," £2,945.88 ",Forensic Analysis,,,,,,
KEY FORENSIC SERVICES LIMITED,24/06/2024," £5,134.84 ",Forensic Analysis,,,,,,
L & G ENGINEERING LIMITED,18/04/2024," £1,960.00 ",Maintenance  ,,,,,,
LANGUAGELINE SOLUTIONS,31/05/2024," £17,402.98 ",Interpreters Fees,,,,,,
LASER TECH UK LIMITED,16/05/2024," £1,759.00 ",Specialist Operational Equipment,,,,,,
LOTTIES VENTURES LIMITED,03/06/2024," £1,020.00 ",Subsistence,,,,,,
LYONS DAVIDSON SOLICITORS,25/06/2024," £15,883.31 ",Vehicle Insurance,,,,,,
MASTERLORD ESTATES LIMITED,01/06/2024," £15,625.00 ",Rent,,,,,,
MITIE CARE AND CUSTODY LIMITED,01/06/2024," £71,914.28 ",FME Contract Payments,,,,,,
NANTMOR BLINDS LIMITED,10/05/2024, £892.00 ,Maintenance  ,,,,,,
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",31/05/2024," £1,058.75 ",FME Contract Payments,,,,,,
OECONNECTION,31/05/2024," £10,410.51 ",Vehicles - Spares,,,,,,
ORACLE CORPORATION UK LIMITED,20/05/2024," £220,351.61 ",Software - Maintenance,,,,,,
PROBRAND LIMITED,14/05/2024," £2,430.00 ",Stationery and Office Consumables,,,,,,
PROBRAND LIMITED,31/05/2024," £1,176.08 ","ICT Tools, Equipment and Consumables",,,,,,
PRO-TECT SAFETY SIGNS,09/05/2024," £2,383.40 ",Non IT Equipment,,,,,,
PRO-TECT SAFETY SIGNS,21/05/2024," £1,455.30 ",Non IT Equipment,,,,,,
PSL PRINT MANAGEMENT LIMITED,31/05/2024," £2,852.00 ",Printing,,,,,,
R G CARTER CAMBRIDGE LIMITED,23/05/2024," £5,803.50 ",Maintenance  ,,,,,,
