SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 MAY 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
A C LEIGH LIMITED,23/04/2024," £1,200.00 ",Access Control,,,,,,
A P T FARMING LIMITED,01/06/2024," £2,687.50 ",Service Charge,,,,,,
ABBOTT TOXICOLOGY LIMITED,19/04/2024," £7,560.00 ",Specialist Operational Equipment,,,,,,
ACUME FORENSICS LIMITED,22/01/2024," £1,200.00 ",Professional Fees,,,,,,
ACUME FORENSICS LIMITED,26/04/2024," £1,760.00 ",Professional Fees,,,,,,
AETOPIA LIMITED,08/04/2024," £3,531.23 ",Storage,,,,,,
AETOPIA LIMITED,01/05/2024," £3,450.00 ",Storage,,,,,,
AETOPIA LIMITED,03/05/2024," £5,534.25 ",Storage,,,,,,
AGIITO LIMITED,17/04/2024," £1,260.75 ",Public Transport,,,,,,
AGIITO LIMITED,27/04/2024," £5,679.37 ",Hotel Accommodation,,,,,,
AGIITO LIMITED,01/05/2024," £1,309.10 ",Public Transport,,,,,,
ALLSTAR BUSINESS SOLUTIONS,17/04/2024," £17,512.20 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,24/04/2024," £17,072.34 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,01/05/2024," £17,934.69 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,08/05/2024," £15,672.13 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,15/05/2024," £19,328.88 ",Vehicle Fuel,,,,,,
AMR ELECTRICAL SERVICES LIMITED,26/03/2024, £872.08 ,Maintenance ,,,,,,
AMR ELECTRICAL SERVICES LIMITED,19/04/2024," £1,423.89 ",Maintenance ,,,,,,
AMR MECHANICAL SERVICES LIMITED,15/04/2024," £9,012.30 ",Building Statutory,,,,,,
AMR MECHANICAL SERVICES LIMITED,19/04/2024," £4,001.55 ",Maintenance ,,,,,,
AMR MECHANICAL SERVICES LIMITED,22/04/2024," £1,022.93 ",Maintenance ,,,,,,
ANGLIA RUSKIN UNIVERSITY,15/04/2024," £15,413.50 ",DHEP Training Costs,,,,,,
ANGLIAN WATER BUSINESS,11/04/2024," £4,777.25 ",Water & Sewerage,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/05/2024, £800.00 ,Alarm Monitoring,,,,,,
BARKER STOREY MATTHEWS (BSMH LIMITED)united,03/05/2024, £595.00 ,Land and Building Disposal Costs,,,,,,
BENNEMAN LIMITED,10/05/2024, £562.00 ,Maintenance Specialist Operation Equipment,,,,,,
BOC LIMITED,30/04/2024, £597.99 ,Breath Testing Equipment,,,,,,
BOING RAPID SECURE LIMITED,05/04/2024, £512.10 ,Boarding Up costs,,,,,,
BOING RAPID SECURE LIMITED,03/05/2024, £718.00 ,Boarding Up costs,,,,,,
BRITISH TELECOMMUNICATIONS PLC,09/04/2024," £6,795.72 ",Telephone Line Rental,,,,,,
BUPA OCCUPATIONAL HEALTH,15/04/2024, £636.00 ,Occupational Health Employee Costs,,,,,,
BUPA OCCUPATIONAL HEALTH,23/04/2024, £636.00 ,Occupational Health Employee Costs,,,,,,
