SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 AUG 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
A P T FARMING LIMITED,01/09/2024," £2,687.50 ",Service Charge,,,,,,
ACS TECHNOLOGY GROUP LIMITED,12/07/2024, £524.10 ,Stationery and Office Consumables,,,,,,
AETOPIA LIMITED,01/08/2024," £10,506.08 ",Storage,,,,,,
AGIITO LIMITED,17/07/2024, £596.50 ,Public Transport,,,,,,
AGIITO LIMITED,27/07/2024," £12,521.82 ",Hotel Accommodation,,,,,,
AIRMAX REMOTE LIMITED,31/07/2024," £19,495.40 ",Software - Maintenance,,,,,,
AIRWAVE SOLUTIONS LIMITED,19/07/2024," £44,347.23 ",Airwave,,,,,,
ALLSTAR BUSINESS SOLUTIONS,24/07/2024," £21,325.72 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,31/07/2024," £17,853.75 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,07/08/2024," £17,439.28 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,14/08/2024," £18,467.26 ",Vehicle Fuel,,,,,,
AMR ELECTRICAL SERVICES LIMITED,22/07/2024," £7,678.69 ",Maintenance,,,,,,
AMR MECHANICAL SERVICES LIMITED,19/07/2024," £4,684.21 ",Maintenance,,,,,,
ANGLIAN WATER BUSINESS,11/06/2024," £6,037.89 ",Water & Sewerage,,,,,,
ANGLIAN WATER BUSINESS,11/08/2024," £8,522.96 ",Water & Sewerage,,,,,,
APEX SIGNS AND ENGRAVING LIMITED,31/07/2024," £3,363.50 ",PFI - Improvement Works and Repairs,,,,,,
AUTOQUIP (GB) GARAGE EQUIPMENT LIMITED,31/07/2024," £4,260.00 ",Vehicle Workshop Equipment,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/07/2024, £680.50 ,Alarms Installation and Monitoring,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/08/2024," £1,766.00 ",Alarm Monitoring,,,,,,
AWM LIMITED,17/07/2024, £780.00 ,Police Vehicle Sundry Equipment,,,,,,
AXON PUBLIC SAFETY UK LIMITED,20/07/2024," £4,688.00 ",Training,,,,,,
BABERGH DISTRICT COUNCIL,11/03/2024," £24,326.25 ",Business Rates,,,,,,
BMR LIMITED,16/08/2024," £2,120.63 ",Vehicle Insurance,,,,,,
BOC LIMITED,31/07/2024, £657.24 ,Breath Testing Equipment,,,,,,
BOTT & CO SOLICITORS,28/08/2024," £2,794.01 ",Vehicle Insurance,,,,,,
CAMPING INTERNATIONAL,08/08/2024," £1,517.00 ",Police Cadet Activity Expenditure,,,,,,
