SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 JAN 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
ABBOTT TOXICOLOGY LIMITED,18/12/2024,"£7,560.00",Specialist Operational Equipment
AETOPIA LIMITED,01/01/2025,"£16,019.36",Storage
A-FORENSIC IT-SERVICE GMBH,13/01/2025,"£6,790.39",Subscriptions
AGIITO LIMITED,19/12/2024,£748.18,Public Transport
AGIITO LIMITED,27/12/2024,"£10,371.38",Hotel Accommodation
AGIITO LIMITED,31/12/2024,£576.90,Public Transport
AIRMAX REMOTE LIMITED,31/12/2024,"£19,439.00",Software - Maintenance
AIRWAVE SOLUTIONS LIMITED,12/12/2024,"£59,073.37",Airwave
ALLSTAR BUSINESS SOLUTIONS,18/12/2024,"£15,926.05",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,25/12/2024,"£14,714.09",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,01/01/2025,"£10,583.40",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,08/01/2025,"£14,701.82",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,15/01/2025,"£17,157.17",Vehicle Fuel
AMR ELECTRICAL SERVICES LIMITED,02/12/2024,"£69,200.01",Maintenance
AMR ELECTRICAL SERVICES LIMITED,09/12/2024,"£4,881.46",Maintenance
AMR ELECTRICAL SERVICES LIMITED,19/12/2024,£686.80,Maintenance
AMR MECHANICAL SERVICES LIMITED,05/12/2024,"£1,604.95",Maintenance
AVR GROUP LIMITED t/a ALERTCOM,01/01/2025,"£1,920.50",Alarms Installation and Monitoring
AWM LIMITED,30/12/2024,"£1,625.00",Specialist Operational Equipment
BOC LIMITED,31/12/2024,£719.00,Breath Testing Equipment
BOING RAPID SECURE LIMITED,06/12/2024,£766.40,Damage to Property / Boarding Up
BOING RAPID SECURE LIMITED,03/01/2025,"£1,185.80",Damage to Property / Boarding Up
BRAMLEY MEDICAL,23/01/2025,"£2,550.00",Doctors Statements
BRITISH TELECOMMUNICATIONS PLC,09/01/2025,"£5,639.71",Fixed Telephone Line Rental & Calls
CABINET OFFICE,12/12/2024,"£1,315.00",External Audit Fee
