SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 OCT 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
LAND GROUP (SUFFOLK) LIMITED,02/10/2024,"£1,244.33",Building Minor Works
LANGUAGELINE SOLUTIONS,30/09/2024,"£16,228.54",Interpreters Fees
LAST TRANSMISSIONS LIMITED,23/09/2024,£993.25,Vehicle Repairs
LIVERPOOL VICTORIA,16/10/2024,"£4,147.63",Vehicle Insurance
MARRIOTT MOTOR GROUP,04/07/2024,£778.50,Vehicle Repairs
MARRIOTT MOTOR GROUP,31/07/2024,"£1,034.95",Vehicle Repairs
MARSH LIMITED,01/10/2024,"£302,413.23",Employers Liability
MARSH LIMITED,09/10/2024,"£477,747.52",Vehicle Insurance
METRO ROD LIMITED,25/09/2024,£947.50,Maintenance
MID SUFFOLK DISTRICT COUNCIL,11/03/2024,"£3,054.63",Business Rates
MITIE CARE AND CUSTODY LIMITED,01/10/2024,"£71,914.28",FME Contract
MOBAS,05/09/2024,"£9,892.00",External Advertising
MOUNTAIN HEALTHCARE LIMITED,01/10/2024,"£59,495.87",SARC FME Contract 
NHS PROPERTY SERVICES LIMITED,23/09/2024,"£4,031.25",Rent
"NORFOLK HEALTH, WELLBEING AND FORENSIC SERVICES LIMITED",30/09/2024,"£1,196.65",General FME Contract
NPOWER LIMITED,16/09/2024,"£6,944.02",Electricity
NPOWER LIMITED,16/10/2024,"£63,795.04",Electricity
OECONNECTION,30/09/2024,"£9,386.16",Vehicles - Spares
POLCOMM TRAINING AND DEVELOPMENT  (PCTD) LIMITED,16/09/2024,"£1,600.00",External Training Course
QUADIENT UK LIMITED,30/09/2024,"£1,000.00",Postage Costs
QUADIENT UK LIMITED,05/10/2024,"£4,800.00",Postage Costs
R G CARTER CAMBRIDGE LIMITED,24/09/2024,"£4,356.00",Maintenance
R G CARTER CAMBRIDGE LIMITED,30/09/2024,"£1,397.84",Building Minor Works
R G CARTER CAMBRIDGE LIMITED,03/10/2024,"£4,963.01",Maintenance
RICOH UK LIMITED,17/09/2024,"£47,559.56",Photocopiers - Rental
RIEGL UK LIMITED,24/09/2024,£700.00,Hire of Operational Equipment
ROBERTSON AND CO.,10/10/2024,£802.80,Accident Reports
RODANTE LIMITED,23/09/2024,£640.00,Internal Training Courses
ROYAL MAIL,01/09/2024,"£1,505.00",Postage Costs
RSP RAIL TRAVEL ACCOUNT,13/09/2024,"£1,917.50",Detained Persons - Other Expenses
SBFM LIMITED,15/08/2024,"£7,063.00",Cleaning Contract
SBFM LIMITED,01/09/2024,"£57,805.68",Cleaning Contract
SIGMA SECURITY DEVICES LIMITED,25/09/2024,£620.00,Specialist Operational Equipment
SORINTEQ LIMITED,18/03/2024,"£1,298.00",External Training Course
SPORT SENSE,10/10/2024,"£1,496.95",Partnership Grants
SPRING DESIGN AND ADVERTISING LIMITED,30/09/2024,"£6,000.00",Agency / Temp Staff
STREAMLINED FORENSIC REPORTING LIMITED,03/09/2024,"£4,119.25",SFR Medical Contract
STREAMLINED FORENSIC REPORTING LIMITED,02/10/2024,"£5,717.25",SFR Medical Contract
SUFFOLK COUNTY COUNCIL,19/08/2024,"£138,258.69",Service Charge
