SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 APRIL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
AETOPIA LIMITED,01/04/2024, £575.00 ,Storage,,,,,,
AGIITO LIMITED,21/03/2024, £929.00 ,Public Transport ,,,,,,
AGIITO LIMITED,27/03/2024," £7,991.47 ",Hotel Accommodation,,,,,,
AI TRAINING SERVICES LIMITED,19/03/2024," £15,905.42 ",External Training Course,,,,,,
AI TRAINING SERVICES LIMITED,03/04/2024, £700.00 ,Licence Fees,,,,,,
AIR POWER EAST LIMITED,15/03/2024, £695.93 ,Vehicle Workshop Equipment,,,,,,
AIRMAX REMOTE LIMITED,31/03/2024," £19,141.32 ",Software - Maintenance,,,,,,
ALLEGRO CREATIVE AGENCY,15/03/2024," £1,540.00 ",Web Infrastructure,,,,,,
ALLIANCE AUTOMOTIVE UK LV LIMITED T/A MOTOFACTS,15/02/2024," £9,450.00 ",Vehicle Workshop Equipment,,,,,,
ALLSTAR BUSINESS SOLUTIONS,20/03/2024," £15,154.41 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,27/03/2024," £16,810.11 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,03/04/2024," £14,200.14 ",Vehicle Fuel,,,,,,
ALLSTAR BUSINESS SOLUTIONS,10/04/2024," £16,029.55 ",Vehicle Fuel,,,,,,
ALLWAG PROMOTIONS LIMITED,14/03/2024, £520.00 ,Promotional material,,,,,,
AMR ELECTRICAL SERVICES LIMITED,11/03/2024," £5,166.66 ",Maintenance,,,,,,
AMR ELECTRICAL SERVICES LIMITED,26/03/2024," £6,066.50 ",Building Works,,,,,,
AMR MECHANICAL SERVICES LIMITED,22/03/2024," £2,259.85 ",Maintenance,,,,,,
AMR MECHANICAL SERVICES LIMITED,28/03/2024," £5,089.00 ",Maintenance,,,,,,
ANGLIA GARAGE EQUIPMENT LIMITED,14/03/2024, £764.34 ,Vehicle Workshop Equipment,,,,,,
ANGLIA RUSKIN UNIVERSITY,26/01/2024," £16,269.75 ",DHEP Training Costs,,,,,,
ANGLIA RUSKIN UNIVERSITY,07/03/2024," £15,698.91 ",DHEP Training Costs,,,,,,
ANGLIAN WATER BUSINESS,11/03/2024," £3,672.55 ",Water & Sewerage,,,,,,
AVATU LIMITED,27/03/2024, £529.83 ,Software - Maintenance,,,,,,
AVR GROUP LIMITED t/a ALERTCOM,01/03/2024," £1,345.50 ",Alarms Installation and Monitoring,,,,,,
