SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 DEC 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
A C LEIGH LIMITED,25/11/2024,£662.83,Maintenance
ABBOTT TOXICOLOGY LIMITED,22/11/2024,"£4,892.04",Specialist Operational Equipment
ACTING OUT PRODUCTIONS LIMITED,24/11/2024,"£2,039.74",Internal Training Courses
ADAQUA LIMITED,11/11/2024,£960.00,Maintenance
AETOPIA LIMITED,04/11/2024,"£8,600.41",Storage
AETOPIA LIMITED,11/11/2024,"£9,636.00",Storage
AETOPIA LIMITED,01/12/2024,"£13,962.83",Storage
AGIITO LIMITED,19/11/2024,"£1,342.25",Public Transport
AGIITO LIMITED,27/11/2024,"£10,486.16",Hotel Accommodation
AGIITO LIMITED,28/11/2024,£842.60,Public Transport
AIRMAX REMOTE LIMITED,31/10/2024,"£19,523.60",Software - Maintenance
AIRMAX REMOTE LIMITED,30/11/2024,"£19,565.90",Software - Maintenance
AIRWAVE SOLUTIONS LIMITED,20/11/2024,"£61,866.12",Airwave
ALLSTAR BUSINESS SOLUTIONS,20/11/2024,"£15,091.38",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,27/11/2024,"£17,549.17",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,04/12/2024,"£16,951.49",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,11/12/2024,"£17,019.98",Vehicle Fuel
ALTIA SOLUTIONS LIMITED,07/11/2024,"£5,703.75",Software - purchase
AMR MECHANICAL SERVICES LIMITED,04/11/2024,"£2,163.20",Maintenance
ANGLIA RUSKIN UNIVERSITY,25/11/2024,"£15,412.51",DHEP Training Costs
ANGLIAN WATER BUSINESS,11/11/2024,"£5,509.16",Water & Sewerage
ANGLIAN WATER BUSINESS,11/12/2024,"£12,125.82",Water & Sewerage
ARMSTRONG WATSON LLP,31/08/2024,"£2,016.00",Forensic Analysis
AVIVA INSURANCE,10/12/2024,"£3,969.25",Vehicle Insurance
AVR GROUP LIMITED t/a ALERTCOM,15/11/2024,£983.75,Clothing and Uniforms
AVR GROUP LIMITED t/a ALERTCOM,01/12/2024,"£1,907.50",Alarms Installation and Monitoring
AXON PUBLIC SAFETY UK LIMITED,06/11/2024,"£6,330.50",Training Materials and Study Costs
BEDROQ LIMITED,21/11/2024,£977.25,TSU Equipment
BUNTINGS DEVELOPMENT LIMITED,20/12/2024,"£3,750.00",Service Charge
C SIGNS AND GRAPHICS LIMITED,18/11/2024,£625.00,Vehicles - Spares
CAMBRIDGE CENTRE FOR EVIDENCE BASED POLICING LIMITED,20/11/2024,"£1,350.00",External Training Course 
CAMBRIDGE CENTRE FOR EVIDENCE BASED POLICING LIMITED,29/11/2024,"£1,810.00",External Training Course
CBRE MANAGED SERVICES LIMITED,31/10/2024,"£27,881.25",Grounds & Caretaking Contract 
CBRE MANAGED SERVICES LIMITED,30/11/2024,"£35,058.75",Grounds & Caretaking Contract 
CEETECH LIMITED,13/11/2024,"£1,866.73",Building Minor Works
CEETECH LIMITED,19/11/2024,"£7,517.69",Maintenance
CELLMARK LIMITED,28/11/2024,"£10,613.25",Forensic Analysis
CELLMARK LIMITED,15/12/2024,"£10,808.90",Forensic Analysis
CERTAS ENERGY,17/12/2024,"£11,336.00",Vehicle Fuel
COLLEGE OF POLICING,20/11/2024,"£10,423.22",External Training Course 
COLLEGE OF POLICING,04/12/2024,"£9,517.00",External Training Course 
CONSTANT COOLING LIMITED,31/10/2024,"£2,091.42",Maintenance
COOKS BLINDS AND SHUTTERS LIMITED,08/11/2024,£950.00,Maintenance
CY4OR LEGAL LIMITED,27/11/2024,"£1,600.00",Legal Costs
DAISY CORPORATE SERVICES (FORMERLY ALTERNATIVE NETWORKS PLC),09/12/2024,"£46,183.00",Software - Maintenance
DEEPSTORE LIMITED,30/11/2024,"£7,008.37",Storage
DEFIB WAREHOUSE (FIRST RESCUE TRAINING AND SUPPLIES LIMITED),28/11/2024,"£1,150.00",First Aid Equipment / Consumables
DELL COMPUTER CORPORATION LIMITED,16/11/2024,"£12,572.00",Hardware
DELL COMPUTER CORPORATION LIMITED,30/11/2024,£765.00,Hardware - purchase
DELL COMPUTER CORPORATION LIMITED,04/12/2024,"£2,319.48",Hardware - purchase
DONALD'S GARAGE,25/11/2024,£604.00,Vehicles - Tyres and Tubes
E RAND & SONS LIMITED,30/11/2024,"£1,160.00",Maintenance
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,15/11/2024,"£1,317.11",Maintenance
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,30/11/2024,"£2,404.30",Building Statutory - Fire
EAST SUFFOLK COUNCIL,01/12/2024,£687.50,Service Charge
ECCO SAFETY GROUP UK LIMITED,25/11/2024,£701.22,Vehicles - Spares
EE LIMITED,19/11/2024,"£3,532.15",Mobile Phone Call and Contract Cost
ENTERPRISE RENT-A-CAR,30/09/2024,£627.44,Short Term Hire of Vehicles
EUREST SERVICE,20/11/2024,"£9,006.20",Contract Catering
EUROFINS FORENSIC SERVICES,28/10/2024,"£61,079.00",Forensic Analysis
EUROFINS FORENSIC SERVICES,27/11/2024,"£10,716.93",Forensic Analysis
EUROFINS FORENSIC SERVICES,10/12/2024,"£7,501.92",Forensic Analysis
EUROFINS FORENSIC SERVICES,28/12/2024,"£15,329.86",Forensic Analysis
FMG REPAIR SERVICES LIMITED,15/11/2024,"£3,922.75",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,26/11/2024,"£20,711.62",Vehicle Insurance
