SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 MAR 2025,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
A P T FARMING LIMITED,11/03/2025,"£1,465.62",Electricity
AETOPIA LIMITED,12/02/2025,"£10,678.36",Storage
AETOPIA LIMITED,01/03/2025,"£3,450.00",Storage
AGIITO LIMITED,19/02/2025,"£1,999.96",Public Transport 
AGIITO LIMITED,27/02/2025,"£6,083.50",Hotel Accommodation
AIRMAX REMOTE LIMITED,31/01/2025,"£19,594.10",Software - Maintenance
AIRMAX REMOTE LIMITED,28/02/2025,"£19,269.80",Software - Maintenance
ALLSTAR BUSINESS SOLUTIONS,19/02/2025,"£18,093.00",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,26/02/2025,"£16,668.87",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,12/03/2025,"£16,446.76",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,24/03/2025,"£17,066.80",Vehicle Fuel
AMR MECHANICAL SERVICES LIMITED,15/01/2025,"£2,001.72",Maintenance
AMR MECHANICAL SERVICES LIMITED,14/02/2025,"£3,150.75",Maintenance
AMR MECHANICAL SERVICES LIMITED,24/02/2025,"£8,787.15",Maintenance
ANGLIA RUSKIN UNIVERSITY,28/08/2024,"£15,117.68",DHEP Training Costs
ANGLIA RUSKIN UNIVERSITY,16/09/2024,"£4,281.33",DHEP Training Costs
ANGLIA RUSKIN UNIVERSITY,19/02/2025,"£13,414.58",DHEP Training Costs
ASDARTS INH. ANDREAS HUBER,26/02/2025,"£2,070.04",Specialist Operational Equipment
AUTOQUIP (GB) GARAGE EQUIPMENT LIMITED,05/02/2025,£573.00,Vehicle Workshop Equipment
AVOIRA LIMITED,18/02/2025,£588.35,Hardware - purchase
AVR GROUP LIMITED t/a ALERTCOM,01/03/2025,"£1,975.00",Alarms Installation and Monitoring
BERLA CORPORATION,28/03/2025,"£7,728.30",Software - purchase
BIRKETTS LLP,06/12/2024,"£5,279.59",Consultant Estates Fees
BLUE LIGHTS DIGITAL LIMITED,17/02/2025,"£1,545.00",External Training Course
BLUE LIGHTS DIGITAL LIMITED,24/02/2025,"£15,193.75",External Training Course
BOING RAPID SECURE LIMITED,07/02/2025,£572.90,Damage to Property / Boarding Up
BOORTMALT,19/02/2025,"£5,000.00",Rent
BRITISH DYSLEXIA ASSOCIATION,19/02/2025,"£10,200.00",External Training Course
CAPSTICKS SOLICITORS LLP,14/02/2024,"£2,000.00",Legal Costs
CAPSTICKS SOLICITORS LLP,27/03/2024,"£1,900.00",Legal Costs
CAPSTICKS SOLICITORS LLP,26/06/2024,£550.00,Legal Costs
CAPSTICKS SOLICITORS LLP,28/08/2024,"£2,846.52",Legal Costs
CAPSTICKS SOLICITORS LLP,29/11/2024,"£1,312.80",Legal Costs
CARMAR CONSULTANTS – THE PROFESSIONAL STANDARD LIMITED,25/03/2025,£900.00,External Training Course
CARPENTERS GROUP,10/03/2025,"£1,619.00",Vehicle Insurance
CBRE MANAGED SERVICES LIMITED,28/02/2025,"£1,885.95",Maintenance
CEETECH LIMITED,24/02/2025,"£17,050.27",Maintenance
CELLMARK LIMITED,28/02/2025,"£13,915.20",Forensic Analysis
CELLMARK LIMITED,12/03/2025,"£5,162.50",Forensic Analysis
CELLMARK LIMITED,16/03/2025,"£3,417.85",Forensic Analysis
CIVIL DEFENCE SUPPLY LIMITED,13/02/2025,"£42,831.28",Specialist Operational Equipment
CLEARTONE TELECOMS LIMITED,27/02/2025,"£14,691.00",Hardware
COLLEGE OF POLICING,08/01/2025,"£4,702.00",External Training Course
COLLEGE OF POLICING,05/02/2025,"£2,669.00",External Training Course
COLLEGE OF POLICING,11/02/2025,"£10,131.50",External Training Course
COLLEGE OF POLICING,26/02/2025,"£3,767.50",External Training Course
COMMUNICATING MATTERS - ABELS LIMITED,16/01/2025,"£48,028.50",External Training Course
CONSTANT COOLING LIMITED,12/02/2025,"£1,836.60",Maintenance
CSI EQUIPMENT LIMITED,13/02/2025,£519.00,SOC Consumables
DAVIES GROUP LIMITED,26/02/2025,"£1,750.00",Vehicle Insurance
DC SOFTWARE SERVICES LIMITED,28/02/2025,"£1,350.00",Consultants Fees
DEEPSTORE LIMITED,28/02/2025,"£6,708.90",Storage
DELL COMPUTER CORPORATION LIMITED,28/01/2025,"£6,385.50",Hardware
DEWVA,07/02/2025,"£1,920.00",Drugs Fund
DLG LEGAL SERVICES,05/03/2025,"£1,500.00",Vehicle Insurance
DONALD'S GARAGE,29/01/2025,£875.00,Vehicle Repairs
DONOGHUE SOLICITORS,13/03/2025,"£7,500.00",Public Liability
DPP LAW LIMITED,18/03/2025,"£4,250.00",Public Liability
DWP DEBT MANAGEMENT,11/03/2025,£788.00,Public Liability
E RAND & SONS LIMITED,31/01/2025,"£1,160.00",Maintenance
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,01/10/2023,"£4,134.54",Maintenance
EAST FIRE EXTINGUISHER AND ALARMS UK LIMITED,19/02/2025,"£1,291.95",Maintenance
EAST SUFFOLK COUNCIL,07/03/2025,"£10,965.00",Partnership Grants
EE LIMITED,19/02/2025,"£1,597.85",Mobile Phone Call and Contract Cost
ERNST AND YOUNG LLP,21/02/2025,"£11,175.25",External Audit Fee
ERNST AND YOUNG LLP,04/03/2025,"£11,175.25",External Audit Fee
EUROFINS FORENSIC SERVICES,28/01/2025,"£52,714.39",Forensic Analysis
EUROFINS FORENSIC SERVICES,10/02/2025,"£52,161.73",Forensic Analysis
EUROFINS FORENSIC SERVICES,25/02/2025,"£63,240.44",Forensic Analysis
EUROFINS FORENSIC SERVICES,10/03/2025,"£28,258.38",Forensic Analysis
FMG REPAIR SERVICES LIMITED,11/02/2025,"£8,752.36",Vehicle Insurance
FMG REPAIR SERVICES LIMITED,25/02/2025,"£3,945.59",Vehicle Insurance
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,05/02/2025,£650.65,Vehicle Insurance
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,13/02/2025,£527.07,Vehicles - Spares
GAMMA TELECOM LIMITED,09/01/2025,"£7,098.01",Fixed Telephone Line Rental
GAMMA TELECOM LIMITED,10/02/2025,"£7,735.89",Fixed Telephone Line Rental
GOODYEAR TYRES UK LIMITED,04/02/2025,"£2,682.97",Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,11/02/2025,£864.06,Vehicles - Tyres and Tubes
GOODYEAR TYRES UK LIMITED,18/02/2025,£697.74,Vehicles - Tyres and Tubes
