SUFFOLK CC,,,
EXPENDITURE EXCEEDING £500 NOV 2024,,,
,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description
A P T FARMING LIMITED,01/12/2024,"£2,687.50",Service Charge
A W & D HAMMOND,03/08/2022,£549.04,Vehicle Recovery Costs
A W & D HAMMOND,24/10/2024,"£1,123.99",Vehicle Repairs
ACUME FORENSICS LIMITED,25/10/2024,"£5,700.00",Professional Fees
ADAQUA LIMITED,10/09/2024,"£1,440.00",Maintenance
AETOPIA LIMITED,01/11/2024,£575.00,Storage
AETOPIA LIMITED,01/11/2024,"£2,875.00",Storage
AGIITO LIMITED,17/10/2024,"£1,910.60",Public Transport
AGIITO LIMITED,27/10/2024,"£6,985.58",Hotel Accommodation
AGIITO LIMITED,30/10/2024,"£1,089.35",Public Transport
ALLSTAR BUSINESS SOLUTIONS,23/10/2024,"£15,426.93",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,30/10/2024,"£15,483.94",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,06/11/2024,"£15,034.30",Vehicle Fuel
ALLSTAR BUSINESS SOLUTIONS,13/11/2024,"£15,629.41",Vehicle Fuel
AMR ELECTRICAL SERVICES LIMITED,28/10/2024,"£8,304.83",Maintenance
AMR MECHANICAL SERVICES LIMITED,22/07/2024,£626.00,Maintenance
ANGLIA RUSKIN UNIVERSITY,15/10/2024,"£15,117.68",DHEP Training Costs
ANGLIAN WATER BUSINESS,17/10/2024,"£9,216.73",Water & Sewerage
APT TRAINING AND CONSULTANCY LIMITED,10/10/2024,"£1,320.00",Training Materials and Study Costs
AVR GROUP LIMITED t/a ALERTCOM,01/11/2024,"£2,438.00",Alarm Monitoring
BEDROQ LIMITED,08/08/2024,"£9,757.19",TSU Equipment
BEST EVIDENCE TECHNOLOGY LIMITED,31/10/2024,"£1,540.00",External Training Course 
BIDWELLS,18/11/2024,"£3,500.00",Consultant Estates Fees
BIKE ASSIST LEGAL,27/11/2024,£918.00,Vehicle Insurance
BOC LIMITED,31/10/2024,£933.74,Breath Testing Equipment
BOING RAPID SECURE LIMITED,01/11/2024,"£1,252.90",Boarding Up
BRITISH TELECOMMUNICATIONS PLC,09/10/2024,"£5,721.91",Fixed Telephone Rental & Call costs
CARMAR CONSULTANTS – THE PROFESSIONAL STANDARD LIMITED,12/09/2024,"£14,995.00",External Training Course 
CATER CARE GROUP SERVICES LIMITED,28/10/2024,£569.02,Canteen Catering Equipment
CBRE MANAGED SERVICES LIMITED,31/10/2024,"£5,914.26",Maintenance
