SUFFOLK CC,,,,,,,,,
EXPENDITURE EXCEEDING £500 JUL 2024,,,,,,,,,
,,,,,,,,,
Supplier Name,Invoiced Fiscal Day Date,Amount Paid Excluding VAT,Subjective Description,,,,,,
EUREST SERVICE,19/06/2024," £8,730.70 ",Contract Catering,,,,,,
EUROFINS FORENSIC SERVICES,28/05/2024," £33,333.97 ",Forensic Analysis,,,,,,
EUROFINS FORENSIC SERVICES,27/06/2024," £97,751.81 ",Forensic Analysis,,,,,,
FMG REPAIR SERVICES LIMITED,05/06/2024," £3,066.92 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,13/06/2024," £1,310.40 ",Vehicle Insurance,,,,,,
FMG REPAIR SERVICES LIMITED,19/06/2024," £1,466.41 ",Vehicle Insurance,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,03/06/2024," £1,341.01 ",Vehicles - Spares,,,,,,
FORD MOTOR COMPANY LIMITED T/A PARTS PLUS,22/06/2024," £2,469.77 ",Vehicles - Spares,,,,,,
FORENSIC PATHOLOGY SERVICES,07/06/2024," £3,295.00 ",Pathologists Fees,,,,,,
FORENSIC PATHOLOGY SERVICES,21/06/2024," £3,295.00 ",Pathologists Fees,,,,,,
GAMMA TELECOM LIMITED,10/06/2024," £8,350.87 ",Fixed Telephone Line Rental,,,,,,
GLASSFIBRE FLAGPOLES LIMITED T/A HARRISON EXTERNAL DISPLAY SYSTEMS,07/06/2024, £509.95 ,Other Fittings,,,,,,
GOODYEAR TYRES UK LIMITED,05/06/2024," £2,238.37 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,11/06/2024, £982.60 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,18/06/2024, £925.52 ,Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,20/06/2024," £1,271.79 ",Vehicles - Tyres and Tubes,,,,,,
GOODYEAR TYRES UK LIMITED,25/06/2024," £2,584.40 ",Vehicles - Tyres and Tubes,,,,,,
GRESHAM OFFICE FURNITURE LIMITED,04/06/2024," £3,446.00 ","Furniture, Fixtures and Fittings",,,,,,
GRESHAM OFFICE FURNITURE LIMITED,18/06/2024," £1,778.00 ","Furniture, Fixtures and Fittings",,,,,,
