Body,Directorate,Division,Service Area,Expenditure Category,Supplier Name,Pay Date,Amount,Transaction reference,Narrative,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,"Grants, Contributions & Donations",Redacted - Personal data,45873,2515,22002875,,
St Helens BC,Place Services,"Arts, Heritage & Tourism",Arts Development & Support,"Grants, Contributions & Donations",Redacted - Personal data,45873,2000,21064781,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Agency Supply Staff,Matrix Scm Limited,Various,7403.27,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Consultancy Services,Personal Care Consultants Ltd,Various,3993.75,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,IT Software Maintenance,Tunstall Healthcare (Uk) Limited,Various,8237.4,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Prism Medical Uk Limited,Various,28862.49,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Challenge Forge Limited,Various,2964,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Minor Repairs and Maintenance,Sfh & Maintenance Ltd,Various,510,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Payments to Private Contractors,Prism Medical Uk Limited,Various,3792.25,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Newlyn Healthcare Specialist Equipment Ltd,Various,9451,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Tunstall Healthcare (Uk) Limited,Various,9376.46,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Prism Medical Uk Limited,Various,7333.81,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Direct Healthcare Group Ltd,Various,5749.9,Various,,
St Helens BC,People Services,Assistive Equipment & Technology,Assistive Equipment & Technology,Purchase of Equipment,Lisclare Ltd,Various,1536,Various,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Northern Sign Company,45870,647.5,21063034,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Northern Sign Company,45882,680,21063584,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,1st Stop Security Products Ltd,45891,460,21063802,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Minor Repairs and Maintenance,Mx Plumbing & Heating Ltd,45889,1140,21064472,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Promotions and Events,Impact Marketing & Publicity Ltd,45891,995,21066494,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,A E Holland Memorials Limited,45891,240,21066877,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,A E Holland Memorials Limited,45891,180,21066877,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Gunn Jcb Ltd,45896,3946.29,21064359,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Teleshore Uk Ltd,45877,396,21062881,,
St Helens BC,Place Services,Cemeteries & Crematorium,Cemeteries,Purchase of Equipment,Teleshore Uk Ltd,45877,67.5,21062881,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Consultancy Services,Enzygo Ltd,45898,5500,21064732,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Fixtures & Fittings,Davies & Co (Environmental) Limited,45889,3000,21064942,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Fixtures & Fittings,Davies & Co (Environmental) Limited,45889,3933,21064946,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,IT Software Maintenance,Gower Consultants Limited,45898,2268.37,21065206,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Minor Repairs and Maintenance,Facultatieve Technologies Ltd,45870,17296.34,21063452,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Minor Repairs and Maintenance,Facultatieve Technologies Ltd,45891,5634.72,21064302,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Other Hired & Contracting Services,Security Plus Limited,45898,90.75,21065933,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Impact Marketing & Publicity Ltd,45877,995,21064681,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Impact Marketing & Publicity Ltd,45881,995,21065513,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Promotions and Events,Medical Communication Services,45897,1560,21065126,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Purchase of Equipment,Pinseeker (UK) Limited,45897,2080,21065044,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Purchase of Equipment,Pinseeker (UK) Limited,45897,143,21065044,,
St Helens BC,Place Services,Cemeteries & Crematorium,Crematorium,Purchase of Equipment,Vivedia Ltd,45898,6633,21065000,,
St Helens BC,People Services,Children'S 0-19 Public Hlth Prog,Healthy Child Programme,Public Health Services,Wirral Community Nhs Ft,Various,316666.66,Various,,
St Helens BC,People Services,Children'S 0-19 Public Hlth Prog,Healthy Child Programme,Public Health Services,Mwl Teaching Hospitals Nhs Trust,Various,2305.75,Various,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45875,27.81,21061812,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45884,27.81,21063110,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45896,27.81,21064383,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45870,1990.23,21060866,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45875,1990.23,21061812,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45875,1990.23,21061833,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45882,1990.23,21062376,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45884,1990.23,21063110,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45889,1990.23,21063389,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45896,1990.23,21064383,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45889,115.88,21063389,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Leaders In Care,45897,1452.33,21064487,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Matrix Scm Limited,Various,30699.45,11120830,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Matrix Scm Limited,Various,43731.02,11114246,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Matrix Scm Limited,Various,32966.88,11114247,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Matrix Scm Limited,Various,43785.99,11118548,,
St Helens BC,People Services,Children's Social Services,Child Protection,Agency Supply Staff,Matrix Scm Limited,Various,35984.1,11112125,,
St Helens BC,People Services,Children's Social Services,Child Protection,Minor Repairs and Maintenance,Parklands Services (Nw) Limited,45870,2797.66,21063428,,
St Helens BC,People Services,Children's Social Services,Child Protection,Other Hired & Contracting Services,Edge Hill University,45896,3244.5,21064382,,
St Helens BC,People Services,Children's Social Services,Child Protection,Other Hired & Contracting Services,Wirral Borough Council,45874,20000,21048296,,
St Helens BC,People Services,Children's Social Services,Child Protection,Payments to Other Local Authorities,Liverpool City Council,45880,18508.04,21062408,,
St Helens BC,People Services,Children's Social Services,Child Protection,Staff Training Expenses - Non Payroll,Agiito Limited,45876,5.2,11116666,,
St Helens BC,People Services,Children's Social Services,Child Protection,Staff Training Expenses - Non Payroll,Agiito Limited,45876,17.6,11116666,,
St Helens BC,People Services,Children's Social Services,Child Protection,Staff Training Expenses - Non Payroll,Agiito Limited,45876,22.9,11116666,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,6.02,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,6.45,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,11.85,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,23.22,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,27.95,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,27.95,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,31.82,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,32.68,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1137.58,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1137.58,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,1485.32,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,1485.32,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,1801.16,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,1801.16,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,1801.16,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1801.16,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,1830.02,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,1830.02,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,1830.02,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,1830.02,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45884,1830.02,11114247,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45884,1830.02,11114247,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,1830.02,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,1830.02,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1830.02,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1830.02,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,1830.04,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,1830.04,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45884,1830.04,11114247,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,1830.04,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1925.13,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1991.34,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,3,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,6.88,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,7.31,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,10.75,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,13.76,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,21.53,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,22.36,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,25.37,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,27.31,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45884,36.87,11114247,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,94.6,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45870,103.2,11112125,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45884,215,11114247,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,347,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45877,741.9,11114246,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45891,1336.77,11118548,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Agency Supply Staff,Matrix Scm Limited,45898,1531.95,11120830,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,233,11117949,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,159,11121672,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,159,11118399,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,159,11118426,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,159,11121512,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,175,11118266,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,175,11121728,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,175,11118215,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,175,11121474,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,175,11121475,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,175,11121570,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,175,11117951,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,175,11121601,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,199,11118009,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,199,11121344,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,199,11121333,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,199,11118397,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,199,11121403,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45881,199,11118086,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Birthday Allowances,REDACTED - Personal data,45895,199,11121496,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Fostering - Extra Allowances,REDACTED - Personal data,Various,459730.91,11121315,723 Fostering payments,
St Helens BC,People Services,Children's Social Services,Children Looked After,"Grants, Contributions & Donations",Wigan Council,45870,6259.54,21060709,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,318,11121605,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,318,11121608,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,318,11118383,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,318,11118349,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,318,11121541,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,318,11118361,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,350,11118417,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,350,11118359,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,350,11118206,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,350,11118356,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,350,11118245,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118195,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,398,11121344,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118040,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118041,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118127,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118037,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118001,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118244,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118019,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11117940,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118443,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118444,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118069,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118070,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118071,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11117903,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,398,11118091,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,466,11117993,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,466,11118002,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,466,11118243,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,466,11118018,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,466,11117998,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,762.88,11118238,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,762.88,11118239,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45883,724,21066123,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,159,11118374,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,159,11118400,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,159,11118324,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,175,11121409,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,175,11118111,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,175,11118215,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,175,11121530,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,175,11121220,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,199,11118261,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,199,11117983,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,199,11118194,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45881,199,11118351,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,199,11121654,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,-175,11121648,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Holiday Allowances,REDACTED - Personal data,45895,-159,11121641,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Active 8 Support Services Ltd,45898,323.06,21065716,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Care Matters Limited,45898,575.36,21065184,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Choices Supported Living and Care Ltd,45882,287.68,21062727,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Continuum Support Care Services Limited,45889,517.3,21065276,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Continuum Support Care Services Limited,45881,2588.4,21065251,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065387,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065388,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065395,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065397,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065399,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065400,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,318.37,21065409,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Inspire Community Services Ltd,45898,322.71,21065403,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Salvus Support Limited,45877,287.68,21064949,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Salvus Support Limited,45877,287.68,21064964,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Salvus Support Limited,45877,287.68,21064979,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Salvus Support Limited,45880,287.68,21064976,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Solis Care Limited,45870,288,21064325,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Solis Care Limited,45891,288,21066290,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Leaving Care Allowance,Solis Care Limited,45891,288,21066514,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Callum Hurley,45876,600,21061591,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Kelsey Marron,45891,650,21064850,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Lindsay Johnson,45882,1500,21065093,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Miss Catherine Rimmer,45891,6250,21064239,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Miss Cerys Williams,45877,500,21062378,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Miss Lauren Maires,45891,650,21064836,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Miss Maham Qureshi,45882,600,21065094,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Callum Brook,45891,2883.33,21064843,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr John Mckenna,45882,1025,21064375,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr John Mckenna,45882,1250,21064301,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr John Mckenna,45897,1250,21064609,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Jonathan Taylor,45870,1250,21060820,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Mark Senior,45891,1050,21063811,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Matthew Carey,45882,850,21064147,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Samuel Larner,45897,500,21064704,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Simon Crabtree,45882,2337.5,21064177,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Simon Crabtree,45882,3800,21064832,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Simon Heaney,45870,500,21060776,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,Mr Simon Heaney,45870,3150,21062046,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,R D Livesley,45891,650,21064238,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Legal Expenses,R D Livesley,45883,850,21062586,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Other Agencies/Contractors,Alphaplus Fostering,45898,2484.34,21065260,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Other Agencies/Contractors,Alphaplus Fostering,45898,3493.2,21065266,,
St Helens BC,People Services,Children's Social Services,Children Looked After,Other Agencies/Contractors,Alphaplus Fostering,45898,3733.02,21065250,,
