Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,Shropshire Council Balance Sheet - Shropshire Council Balance Sheet,Non Revenue - Non Revenue,31/05/2023,3484885,"750,000.00",Revenue,1012967,Commercial redaction
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Services,05/06/2023,3485811,650.00,Revenue,1000359,Siemens Financial Services
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,05/06/2023,3485660,978.96,Revenue,1000926,Options Management
Shropshire,00GG,People - Early Help General,Third Party Payments - Private Contractors,05/06/2023,3483901,"24,917.75",Revenue,1001212,Autism West Midlands
Shropshire,00GG,People - Quality & Assurance: Learning & Development,Supplies & Services - Services,05/06/2023,3485277,550.00,Revenue,1001212,Autism West Midlands
Shropshire,00GG,Resources - Pension Administration Services,Supplies & Services - Services,05/06/2023,3476128,"2,100.00",Revenue,1001257,Pop Creative
Shropshire,00GG,Place - Corporate Landlord - Admin Buildings,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/06/2023,3484823,"3,765.00",Revenue,1001274,Derek Griffiths Decorating Contr Ltd
Shropshire,00GG,Place - Corporate Landlord - Admin Buildings,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/06/2023,11521397,700.00,Revenue,1001274,Derek Griffiths Decorating Contr Ltd
Shropshire,00GG,Capital - Adult Social Care Operations Capital,Non Revenue - Non Revenue,05/06/2023,3485727,"3,740.29",Capital,1001358,Clofield Ltd
Shropshire,00GG,Place - Corporate Landlord -  Economic Development,Supplies & Services - Services,05/06/2023,3485512,451.00,Revenue,1001536,Bevan Brittan Llp Client Account
Shropshire,00GG,Capital - Corporate Landlord Capital,Non Revenue - Non Revenue,05/06/2023,3485517,"2,073.50",Capital,1001536,Bevan Brittan Llp Client Account
Shropshire,00GG,People - Early Help General,Third Party Payments - Private Contractors,05/06/2023,3483920,"99,111.25",Revenue,1001740,Yss Ltd
Shropshire,00GG,People - Care Management - Social Work Teams,Transport-Related Expenditure - Public Transport,05/06/2023,3481410,13.50,Revenue,1002702,Personal redaction
Shropshire,00GG,People - Care Management - Social Work Teams,Supplies & Services - Services,05/06/2023,3481410,700.00,Revenue,1002702,Personal redaction
Shropshire,00GG,Place - Housing Options,Supplies & Services - Services,05/06/2023,3476654,"4,084.13",Revenue,1003581,Shropshire Rural Housing Association Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,05/06/2023,11521306,"1,467.90",Revenue,1003971,Care Of Excellence Ltd
Shropshire,00GG,Capital - Housing Services Capital,Non Revenue - Non Revenue,05/06/2023,3485252,"60,000.00",Capital,1004765,M W Knight & Sons Ltd
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/06/2023,3484653,595.40,Revenue,1008560,M W D Services
Shropshire,00GG,Place - Director of Place,Supplies & Services - Grants and Subscriptions,05/06/2023,3483916,"7,101.15",Revenue,1012473,West Devon Borough Council
Shropshire,00GG,Capital - Corporate Landlord Capital,Non Revenue - Non Revenue,05/06/2023,3479918,"42,670.00",Capital,1013959,The Safety Centre Ltd
Shropshire,00GG,Place - Theatre Services,Supplies & Services - Services,06/06/2023,3476895,555.00,Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,06/06/2023,11521968,"1,864.28",Revenue,1000404,Care At Home
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,06/06/2023,11521969,"5,196.40",Revenue,1000404,Care At Home
Shropshire,00GG,Corporate Budgets - Corporate Subscriptions,Supplies & Services - Grants and Subscriptions,06/06/2023,3476705,"25,000.00",Revenue,1000744,County Councils Network
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,06/06/2023,3482711,"1,236.16",Revenue,1000926,Options Management
Shropshire,00GG,Place - Housing Options,Premises-Related Expenditure - Grounds maintenance costs,06/06/2023,3486080,"74,132.00",Revenue,1002235,Taybar Security Limited
Shropshire,00GG,Place - Housing Options,Premises-Related Expenditure - Grounds maintenance costs,06/06/2023,3486100,"82,990.00",Revenue,1002235,Taybar Security Limited
Shropshire,00GG,Resources - Finance,Supplies & Services - Equipment Furniture and Materials,06/06/2023,3486234,"5,495.00",Revenue,1002717,Cipfa Business Limited
Shropshire,00GG,Resources - Finance,Supplies & Services - Equipment Furniture and Materials,06/06/2023,3486247,"4,920.00",Revenue,1002717,Cipfa Business Limited
Shropshire,00GG,Place - Highways (Operations),Third Party Payments - Private Contractors,06/06/2023,3477020,"1,056.00",Revenue,1003236,A Clayton Contracting Ltd
Shropshire,00GG,People - Looked After Children (LAC) Service,Third Party Payments - Private Contractors,06/06/2023,3486233,"1,720.00",Revenue,1003719,Newstart Networks Cic
Shropshire,00GG,People - Looked After Children (LAC) Service,Third Party Payments - Private Contractors,06/06/2023,3486252,"1,960.00",Revenue,1003719,Newstart Networks Cic
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Communications and Computing,06/06/2023,3484362,"5,938.04",Revenue,1003729,Whistl North Limited
Shropshire,00GG,Place - Leisure,Third Party Payments - Other Agencies,06/06/2023,3486047,"61,166.57",Revenue,1003743,Serco Leisure Operating Ltd
Shropshire,00GG,Place - Leisure,Third Party Payments - Other Agencies,06/06/2023,3486065,"61,166.57",Revenue,1003743,Serco Leisure Operating Ltd
Shropshire,00GG,Capital - HRA Dwellings Capital,Non Revenue - Non Revenue,06/06/2023,3485492,"682,113.82",Capital,1004162,Shropshire Towns & Rural Housing Ltd
Shropshire,00GG,Capital - HRA Dwellings Capital,Non Revenue - Non Revenue,06/06/2023,3485548,"646,474.26",Capital,1004162,Shropshire Towns & Rural Housing Ltd
Shropshire,00GG,Capital - Housing Services Capital,Non Revenue - Non Revenue,06/06/2023,3485891,"39,025.60",Capital,1004765,M W Knight & Sons Ltd
Shropshire,00GG,Capital - Housing Services Capital,Non Revenue - Non Revenue,06/06/2023,3485896,"12,272.40",Capital,1004765,M W Knight & Sons Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,06/06/2023,11521956,722.80,Revenue,1005218,La Petite Concierge
Shropshire,00GG,Place - Environment and Transport (Public Transport),Transport-Related Expenditure - Direct Transport Costs,06/06/2023,3480027,"6,494.66",Revenue,1006053,Uk Fuels Limited
Shropshire,00GG,Place - Corporate Landlord - Leisure,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,06/06/2023,3485072,"12,000.00",Revenue,1008582,Asset Surfacing & Construction Ltd
Shropshire,00GG,Place - Refugee Resettlement,Third Party Payments - Voluntary Associations,06/06/2023,3486117,"31,937.60",Revenue,1009972,Shropshire Supports Refugees
Shropshire,00GG,Resources - Legal Services – Child Care,Supplies & Services - Services,06/06/2023,3486251,"3,200.00",Revenue,1011007,Personal redaction
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,06/06/2023,3485641,832.68,Revenue,1011267,Personal redaction
Shropshire,00GG,Place - Planning Services,Income - Customer and Client Receipts,06/06/2023,3486086,924.00,Revenue,1011756,Portal Plan Quest Ltd
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,06/06/2023,3486023,759.60,Revenue,1012064,Ezy Carz Ltd
Shropshire,00GG,Place - Housing Options,Supplies & Services - Services,06/06/2023,3486076,"2,730.00",Revenue,1012682,Little Pub Company (Oswestry) Ltd  TA Railway Inn
Shropshire,00GG,Place - Housing Options,Supplies & Services - Services,06/06/2023,3486237,"10,425.00",Revenue,1012761,Personal redaction
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,06/06/2023,3470832,"1,271.99",Revenue,1012994,The Kitchen Equipment Company Limited
Shropshire,00GG,Place - Planning Services,Employees - Direct Employee Expenses,06/06/2023,3480630,"1,292.00",Revenue,1013010,Michael Davies - MPD Built Environment Consultants Limited
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,06/06/2023,11518529,734.02,Revenue,1017410,Allied Health Services Limited
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,07/06/2023,3473730,"2,214.82",Revenue,1000156,W V Howe Ltd
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,07/06/2023,11522701,518.16,Revenue,1000322,R M W Electrical Services Ltd
Shropshire,00GG,People - Learning & Skills Business Support,Third Party Payments - Other Establishments,07/06/2023,3485267,"1,320.00",Revenue,1000470,Corbet School Technology & Language Coll
Shropshire,00GG,Place - Outdoor Partnerships,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,07/06/2023,3486182,"15,374.45",Revenue,1000594,Centrewire Ltd
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,07/06/2023,3482769,"1,315.90",Revenue,1000769,The Little Food Company Limited
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,07/06/2023,3485834,"-1,159.16",Revenue,1000769,The Little Food Company Limited
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,07/06/2023,3475375,"2,460.15",Revenue,1001234,Caltel Catering Equipment Llp
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,07/06/2023,3472687,"2,139.46",Revenue,1001601,Abraxas Catering Equipment Ltd
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,07/06/2023,3475876,846.68,Revenue,1001601,Abraxas Catering Equipment Ltd
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,07/06/2023,3485928,675.50,Revenue,1001721,Ns Wheelers Ltd
Shropshire,00GG,Capital - Visitor Economy Capital,Non Revenue - Non Revenue,07/06/2023,3486432,"4,500.00",Capital,1001896,The British Museum Great Court Ltd Treasure Account
Shropshire,00GG,Capital - Visitor Economy Capital,Non Revenue - Non Revenue,07/06/2023,3486440,"2,000.00",Capital,1001896,The British Museum Great Court Ltd Treasure Account
Shropshire,00GG,Place - Highways (Operations),Supplies & Services - Grants and Subscriptions,07/06/2023,3485055,"1,500.00",Revenue,1002357,Selattyn And Gobowen Parish Council
Shropshire,00GG,Place - Highways (Operations),Supplies & Services - Grants and Subscriptions,07/06/2023,3485375,"1,500.00",Revenue,1002384,Chelmarsh Parish Council
Shropshire,00GG,Place - Highways (Operations),Supplies & Services - Grants and Subscriptions,07/06/2023,3485405,"1,500.00",Revenue,1002448,Neen Savage Parish Council
Shropshire,00GG,Place - Highways (Operations),Supplies & Services - Grants and Subscriptions,07/06/2023,3485390,750.00,Revenue,1002459,Richards Castle Parish Council
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,07/06/2023,3475076,"2,320.00",Revenue,1002696,Acme Facilities Group Ltd
Shropshire,00GG,People - Special Educational Needs & Disability,Third Party Payments - Other Establishments,07/06/2023,3477082,"6,966.67",Revenue,1002739,Bettws Lifehouse Ltd
Shropshire,00GG,People - Placements: Foster Care,Third Party Payments - Other Establishments,07/06/2023,11522060,"3,427.21",Revenue,1003706,The Children'S Family Trust
Shropshire,00GG,People - Placements: Foster Care,Third Party Payments - Other Establishments,07/06/2023,11522061,"3,427.21",Revenue,1003706,The Children'S Family Trust
Shropshire,00GG,People - Placements: Foster Care,Third Party Payments - Other Establishments,07/06/2023,11522062,856.80,Revenue,1003706,The Children'S Family Trust
Shropshire,00GG,People - Placements: Foster Care,Third Party Payments - Other Establishments,07/06/2023,11522063,"2,594.63",Revenue,1003706,The Children'S Family Trust
Shropshire,00GG,People - Placements: Foster Care,Third Party Payments - Other Establishments,07/06/2023,11522064,"3,320.10",Revenue,1003706,The Children'S Family Trust
Shropshire,00GG,People - Looked After Children (LAC) Service,Third Party Payments - Private Contractors,07/06/2023,3486446,580.00,Revenue,1003719,Newstart Networks Cic
Shropshire,00GG,People - Looked After Children (LAC) Service,Third Party Payments - Private Contractors,07/06/2023,3486454,"2,322.00",Revenue,1003719,Newstart Networks Cic
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,07/06/2023,3484343,"6,901.51",Revenue,1004060,Diamond Bus Company Ltd
Shropshire,00GG,Resources - Commissioning Development & Procurement,Employees - Direct Employee Expenses,07/06/2023,3483815,"257,158.62",Revenue,1004129,Matrix Scm Ltd
Shropshire,00GG,Place - Independent Living,Third Party Payments - Private Contractors,07/06/2023,3486340,"54,890.50",Revenue,1004162,Shropshire Towns & Rural Housing Ltd
Shropshire,00GG,Place - Independent Living,Third Party Payments - Private Contractors,07/06/2023,3486347,"6,583.32",Revenue,1004162,Shropshire Towns & Rural Housing Ltd
Shropshire,00GG,People - Care Management - Social Work Teams,Third Party Payments - Private Contractors,07/06/2023,3486358,"1,431.68",Revenue,1004568,Community Resource
Shropshire,00GG,People - Disabled Children's Team,Third Party Payments - Private Contractors,07/06/2023,11522030,"9,771.90",Revenue,1004799,Newcross Healthcare Solutions
