Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,Place - Refugee Resettlement,Supplies & Services - Services,22/12/2023,3554753,700.00,Revenue,1009315,Shropshire Council Housing Rents
Shropshire,00GG,Shropshire Council Balance Sheet - Shropshire Council Balance Sheet,Non Revenue - Non Revenue,29/12/2023,3552600,"1,750,000.00",Revenue,1012967,Commercial redaction
Shropshire,00GG,Place - Environment and Transport (Public Transport),Transport-Related Expenditure - Direct Transport Costs,04/01/2024,3549683,915.67,Revenue,1000140,Freight Transport Assn Ltd
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/01/2024,3554507,"2,130.00",Revenue,1000198,Longmynd Travel Ltd
Shropshire,00GG,People - Placements: Adoption Service,Supplies & Services - Services,04/01/2024,3544083,"1,910.00",Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,Place - Planning Services,Supplies & Services - Services,04/01/2024,3551322,493.58,Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/01/2024,11557525,"59,984.40",Revenue,1000472,Headway Shropshire
Shropshire,00GG,People - Social Care Mental Health Purchasing,Third Party Payments - Private Contractors,04/01/2024,11557526,"47,625.20",Revenue,1000472,Headway Shropshire
Shropshire,00GG,Place - Registrars and Coroners,Supplies & Services - Services,04/01/2024,3548722,"8,652.43",Revenue,1000534,Royal Shrewsbury Hospital Nhs Trust
Shropshire,00GG,People - Internal Providers - Day Services,Supplies & Services - Equipment Furniture and Materials,04/01/2024,3551021,758.70,Revenue,1000637,Wynnstay Group Plc
Shropshire,00GG,Place - Theatre Services,Supplies & Services - Equipment Furniture and Materials,04/01/2024,3548427,930.90,Revenue,1000714,Stage Electrics Partnership Ltd
Shropshire,00GG,People - Internal Providers - Nursing Services,Premises-Related Expenditure - Cleaning and domestic supplies,04/01/2024,3554962,"9,505.84",Revenue,1000763,Phs Group Plc
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/01/2024,3554865,"3,135.00",Revenue,1000766,Birch Travel Ltd
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/01/2024,3554878,600.00,Revenue,1000766,Birch Travel Ltd
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/01/2024,3554885,"3,135.00",Revenue,1000766,Birch Travel Ltd
Shropshire,00GG,People - Home to School Transport,Transport-Related Expenditure - Contract Hire and Operating Leases,04/01/2024,3554896,"1,620.00",Revenue,1000766,Birch Travel Ltd
Shropshire,00GG,Place - Highways (Operations),Non Revenue - Non Revenue,04/01/2024,3554112,"36,070.36",Revenue,1000994,SWARCO UK & Ireland Ltd
Shropshire,00GG,Place - Highways (Operations),Non Revenue - Non Revenue,04/01/2024,3554339,"24,366.15",Revenue,1000994,SWARCO UK & Ireland Ltd
Shropshire,00GG,Place - Highways (Operations),Non Revenue - Non Revenue,04/01/2024,3554481,"3,334.76",Revenue,1000994,SWARCO UK & Ireland Ltd
Shropshire,00GG,Place - Housing Options,Supplies & Services - Equipment Furniture and Materials,04/01/2024,3549015,928.33,Revenue,1001061,Dial-A-Mattress Shropshire Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/01/2024,11555711,"2,677.50",Revenue,1001105,Prestige Nursing Ltd
Shropshire,00GG,Health and Wellbeing - Shropshire Partnership,Supplies & Services - Grants and Subscriptions,04/01/2024,3548074,"17,500.00",Revenue,1001217,Citizens Advice Shropshire
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Catering,04/01/2024,11558174,"1,106.64",Revenue,1001530,Bidfood
