Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,Shropshire Council Balance Sheet - Shropshire Council Balance Sheet,Non Revenue - Non Revenue,29/09/2023,3522755," 1,000,000.00 ",Revenue,1012967,Commercial redaction
Shropshire,00GG,People - Non-Delegated Primary DSG,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,3518407," 4,220.43 ",Revenue,1000128,R G Edwards & Co Ltd
Shropshire,00GG,Place - Shire Catering,Supplies & Services - Equipment Furniture and Materials,04/10/2023,3514499, 795.64 ,Revenue,1000156,W V Howe Ltd
Shropshire,00GG,Capital - Primary School Capital,Non Revenue - Non Revenue,04/10/2023,3514351," 11,881.00 ",Capital,1000173,Ian Gibbons Building Maintenance Special
Shropshire,00GG,People - Non-Delegated Primary DSG,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,3518503, 579.87 ,Revenue,1000173,Ian Gibbons Building Maintenance Special
Shropshire,00GG,Place - Corporate Landlord -  Economic Development,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,3518514," 1,616.30 ",Revenue,1000173,Ian Gibbons Building Maintenance Special
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,11539434," 1,025.96 ",Revenue,1000173,Ian Gibbons Building Maintenance Special
Shropshire,00GG,People - Non-Delegated Primary DSG,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,11539435, 457.60 ,Revenue,1000173,Ian Gibbons Building Maintenance Special
Shropshire,00GG,People - Placements: Adoption Service,Employees - Indirect Employee Expenses,04/10/2023,3512829," 1,055.00 ",Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,People - Placements: Adoption Service,Employees - Indirect Employee Expenses,04/10/2023,3522796," 1,910.00 ",Revenue,1000228,Midland News Association Ltd
Shropshire,00GG,Place - Property Services Group,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,04/10/2023,11541621," 2,342.51 ",Revenue,1000322,R M W Electrical Services Ltd
Shropshire,00GG,Place - Housing Options,Supplies & Services - Services,04/10/2023,3518311, 550.00 ,Revenue,1000498,Glyn Upton Removals
Shropshire,00GG,People - Special Educational Needs & Disability,Supplies & Services - Equipment Furniture and Materials,04/10/2023,3514799," 1,278.00 ",Revenue,1000642,Smirthwaite Ltd
Shropshire,00GG,Place - Policy and Environment,Expenditure - Below the Line - Levies,04/10/2023,3514719," 140,948.05 ",Revenue,1000819,Environment Agency
Shropshire,00GG,Place - Corporate Landlord - Adult Services,Premises-Related Expenditure - Rents,04/10/2023,3514881," 20,000.00 ",Revenue,1000862,Ellesmere Community Nursing Home
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,04/10/2023,11539155, 652.40 ,Revenue,1000982,Allenby Douglas Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,04/10/2023,11539156, 512.60 ,Revenue,1000982,Allenby Douglas Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,04/10/2023,11539157," 1,246.55 ",Revenue,1000982,Allenby Douglas Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,04/10/2023,11539158," 1,106.89 ",Revenue,1000982,Allenby Douglas Ltd
Shropshire,00GG,People - Disabled Children's Team,Supplies & Services - Services,04/10/2023,3522713, 420.00 ,Revenue,1001133,Action For Children
Shropshire,00GG,Place - Museums & Archives,Supplies & Services - Communications and Computing,04/10/2023,3514467," 4,150.00 ",Revenue,1001412,Orangeleaf Systems Ltd
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Communications and Computing,04/10/2023,3514571," 2,795.00 ",Revenue,1001651,Ccs Media
Shropshire,00GG,Place - Museums & Archives,Supplies & Services - Equipment Furniture and Materials,04/10/2023,3516654, 744.55 ,Revenue,1002180,Earth Science International
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/10/2023,11541885, 950.80 ,Revenue,1002214,Condover College Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/10/2023,11541886," 1,080.00 ",Revenue,1002214,Condover College Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,04/10/2023,11541887," 2,498.24 ",Revenue,1002214,Condover College Ltd
