Body Name,Body Ref,Service Area Categorisation,Expense Type,Payment Date,Transaction Ref,Total Amount,Capital/Revenue,Supplier ID,Supplier Name
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,05/09/2023,3510531,"12,298.00",Revenue,1000220,Arriva Midlands Ltd
Shropshire,00GG,Place - Environment and Transport (Public Transport),Third Party Payments - Transport Operators,05/09/2023,3510540,"11,352.00",Revenue,1000220,Arriva Midlands Ltd
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,05/09/2023,11533854,"50,869.38",Revenue,1000472,Headway Shropshire
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,05/09/2023,11537178,"8,694.00",Revenue,1000472,Headway Shropshire
Shropshire,00GG,People - Social Care Community Purchasing,Third Party Payments - Private Contractors,05/09/2023,11537044,"6,860.83",Revenue,1000701,The Strettons Mayfair Trust
Shropshire,00GG,Place - Corporate Landlord - Adult Services,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/09/2023,11537259,"1,226.00",Revenue,1000797,Personal redaction
Shropshire,00GG,Place - Corporate Landlord - Children's Services,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/09/2023,11537227,614.08,Revenue,1001172,Jsl Water Systems Limited
Shropshire,00GG,Resources - Commissioning Development & Procurement,Supplies & Services - PFI and PPP Schemes,05/09/2023,3513645,"328,731.59",Revenue,1001513,Integrated Care Solutions (Shropshire)Lt
Shropshire,00GG,People - Non-Delegated Primary DSG,Premises-Related Expenditure - Repairs alterations and maintenance of buildings,05/09/2023,11537226,"6,030.00",Revenue,1001951,G I Sykes Ltd
Shropshire,00GG,Resources - Automation & Technology,Supplies & Services - Communications and Computing,05/09/2023,3513452,"4,981.55",Revenue,1002338,Purchase Power
Shropshire,00GG,Place - Highways (Operations),Third Party Payments - Private Contractors,05/09/2023,3510583,"1,320.00",Revenue,1003236,A Clayton Contracting Ltd
Shropshire,00GG,People - Social Care Hospital Interface Purchasing,Third Party Payments - Private Contractors,05/09/2023,11537175,763.09,Revenue,1003573,North Shropshire Home Care Ltd
Shropshire,00GG,Health and Wellbeing - Regulatory Services,Premises-Related Expenditure - Energy Costs,05/09/2023,11536212,52.20,Revenue,1003705,West Mercia Energy
Shropshire,00GG,People - Early Years,Premises-Related Expenditure - Energy Costs,05/09/2023,11536212,462.90,Revenue,1003705,West Mercia Energy
