Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326071,VOICES OF HOPE,03/12/2024,600.00,0.00,Independent Living,Community Care Administration,NWS Alliance Prevention
0000326075,REDACTED PERSONAL INFORMATION,03/12/2024,"3,269.23",0.00,Housing Needs,Homelessness Prevention,Rents
0000326081,REDACTED PERSONAL INFORMATION,03/12/2024,"2,800.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000326083,BACS IDS,03/12/2024,"2,000.00",0.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000326086,REDACTED PERSONAL INFORMATION,03/12/2024,"5,200.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000326087,REDACTED PERSONAL INFORMATION,03/12/2024,"4,846.00",0.00,Housing Needs,Homelessness Prevention,Rents
0000326092,JAGGARD MACLAND LLP,03/12/2024,"3,791.19",0.00,Asset Management,Riverside Extension Car Park,Management fees
0000326095,THAMESWAY CONTRACTORS LTD,03/12/2024,"9,660.00","1,610.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326096,TRACE SOLUTIONS LTD,03/12/2024,"5,321.15",886.86,Asset Management,Asset Management Admin,Computer Software
0000326097,THE OYSTER PARTNERSHIP,03/12/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000326098,JK BUILD LTD,03/12/2024,835.20,139.20,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326099,THAMESWAY CONTRACTORS LTD,03/12/2024,"2,430.00",405.00,Asset Management,Hanover House,Security services
0000326100,REDACTED PERSONAL INFORMATION,03/12/2024,"6,000.00","1,000.00",Asset Management,"3 Roundwood Ave, Stockley Park",Valuers
0000326101,THAMESWAY CONTRACTORS LTD,03/12/2024,"2,370.00",395.00,Asset Management,Oast House,Security services
0000326102,REDACTED PERSONAL INFORMATION,03/12/2024,"2,913.12",485.52,Asset Management,Elmsleigh,Consultants fees
0000326105,VIVID RESOURCING,03/12/2024,"1,771.00",295.17,Environmental Health,Environmental Health Admin,Agency Staff
0000326106,VIVID RESOURCING,03/12/2024,924.00,154.00,Environmental Health,Environmental Health Admin,Agency Staff
0000326107,PLANNING DEPARTMENT,03/12/2024,"1,207.00",0.00,Planning,Development Control,Pre-Application Advice
0000326111,KEYOSK PRODUCTS LTD,03/12/2024,"2,582.16",430.36,Depot,Grounds Maintenance,Grounds maintained noncontract
0000326112,IDOX SOFTWARE LTD,03/12/2024,"1,646.40",274.40,Financial Support,Electoral Registration,Computer Software
0000326117,REDACTED PERSONAL INFORMATION,06/12/2024,"40,104.00","6,684.00",Housing Needs,LAHF properties,Void repair work
0000326118,REDACTED PERSONAL INFORMATION,06/12/2024,"47,311.20","7,885.20",Housing Needs,LAHF properties,Void repair work
0000326119,REDACTED PERSONAL INFORMATION,06/12/2024,"9,598.87","1,599.81",Housing Needs,LAHF properties,Building Works
0000326120,CFH DOCMAIL LTD,06/12/2024,"3,806.87",634.48,Financial Support,Electoral Registration,Postage Direct charge
0000326122,REDACTED PERSONAL INFORMATION,06/12/2024,"9,600.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326123,REDACTED PERSONAL INFORMATION,06/12/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326124,REDACTED PERSONAL INFORMATION,06/12/2024,"15,972.48","2,662.08",Housing Needs,LAHF properties,Building Works
0000326125,REDACTED PERSONAL INFORMATION,06/12/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326126,REDACTED PERSONAL INFORMATION,06/12/2024,"1,550.00",258.33,Community Safety and Corporate Services,Consultants,Consultants fees
0000326128,REDACTED PERSONAL INFORMATION,06/12/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326130,REDACTED PERSONAL INFORMATION,06/12/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326131,A CUT ABOVE (SURREY) LIMITED,06/12/2024,"2,346.00",391.00,Depot,Grounds Maintenance,Operational equip mats & suppl
0000326132,REDACTED PERSONAL INFORMATION,06/12/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326133,REDACTED PERSONAL INFORMATION,06/12/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326134,SPECIALIST FLEET SERVICES LIMITED,06/12/2024,"7,984.62","1,320.69",Depot,"SAT, Refuse Collection, Car Park Administration, Street Cleaning, Grounds Maintenance",Commercial Vehicle Maintenance
0000326135,REDACTED PERSONAL INFORMATION,06/12/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326136,SPINK STEAM CLEANING LTD,06/12/2024,"1,071.00",178.50,Depot,Refuse Collection,Commercial Vehicle Maintenance
0000326137,SELLICK PARTNERSHIP LTD,06/12/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000326138,KENT COUNTY COUNCIL (KCS),06/12/2024,"55,821.80","9,092.48",Asset Management,Various - Electricty,Electricity
0000326139,KENT COUNTY COUNCIL (KCS),06/12/2024,"7,293.19","1,191.57",Asset Management,Various - Gas,Gas
0000326140,KENT COUNTY COUNCIL (KCS),06/12/2024,"2,995.73",374.88,Asset Management,Car Park Administration - Electricity,Electricity
0000326141,REDACTED PERSONAL INFORMATION,06/12/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326142,REDACTED PERSONAL INFORMATION,06/12/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326143,REDACTED PERSONAL INFORMATION,06/12/2024,"1,050.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326147,REDACTED PERSONAL INFORMATION,06/12/2024,"1,155.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326150,NETWORK MERCHANTS LIMITED,06/12/2024,"1,343.54",223.92,Car Parks,Car Park Administration,Credit Card Charges
