Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000326452,FIRST CALL CONTRACT SERVICES,17/12/2024,"1,499.52",249.92,Depot,Street Cleaning,Agency Staff
0000326458,BACS IDS,13/12/2024,"2,000.00",0.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000326462,REDACTED PERSONAL INFORMATION,13/12/2024,"12,840.00","2,140.00",Housing Needs,Vehicle purchase,Purchase
0000326463,REDACTED PERSONAL INFORMATION,13/12/2024,"4,092.30",0.00,Housing Needs,Homelessness Prevention,Rents
0000326465,REDACTED PERSONAL INFORMATION,13/12/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326467,MOLE VALLEY DISTRICT COUNCIL,24/12/2024,"4,789.66",798.28,Accounts,Accountancy,Other LA Authority MVDC
0000326469,PELICAN PROCUREMENT SERVICES,18/12/2024,611.93,18.71,Independent Living,Staines Community Centre,Food Purchases
0000326472,PELICAN PROCUREMENT SERVICES,18/12/2024,"2,860.69",15.32,Independent Living,Greeno Day Centre,Food Purchases
0000326475,PELICAN PROCUREMENT SERVICES,18/12/2024,"3,434.33",51.70,Independent Living,Meals on Wheels,Food Purchases
0000326476,SEE SERVICES,13/12/2024,"7,296.98","1,216.16",Asset Management,Planned Maintenance Programme,Responsive maintenance
0000326477,PREMIER SERVICES,13/12/2024,804.00,134.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000326478,SHURETECH LTD,13/12/2024,"1,008.00",168.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation
0000326479,SEE SERVICES,13/12/2024,"2,694.06",449.01,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326480,POWERPOINT FIRE AND SECURITY LTD,13/12/2024,"2,781.00",463.50,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326483,PREMIER SERVICES,13/12/2024,"12,406.06","2,067.68",Asset Management,Thameside House,Site Security
0000326484,SAFESITE SECURITY SOLUTIONS LTD,13/12/2024,"2,871.00",478.50,Asset Management,Ashford Hospital,Site Security
0000326485,REDACTED PERSONAL INFORMATION,13/12/2024,"1,020.00",170.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees
0000326486,DECKPRO LTD,13/12/2024,"4,148.59",691.43,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326487,DECKPRO LTD,13/12/2024,"5,761.55",960.26,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326488,REDACTED PERSONAL INFORMATION,13/12/2024,"1,800.00",300.00,Asset Management,Asset Management Admin,Consultants fees
0000326489,PARKINSON REAL ESTATE LIMITED,13/12/2024,"60,160.32","10,026.72",Asset Management,Thames Tower,Premises Letting Fees
0000326490,REDACTED PERSONAL INFORMATION,13/12/2024,"1,984.02",330.67,Asset Management,Ashford MSCP,Consultants fees
0000326491,CENTRE FOR EFFECTIVE DISPUTE RESOLUTION,13/12/2024,"2,532.00",422.00,Asset Management,Asset Management Admin,Other fees - Premises
0000326492,VIRGIN MEDIA BUSINESS,24/12/2024,"17,573.64","2,928.94",Information Technology,IT Overheads & Infrastructure,Networking
0000326493,BRAY ASSOCIATES,13/12/2024,"10,380.00","1,730.00",Depot,Staines Market,External Contracts
0000326499,REDACTED PERSONAL INFORMATION,13/12/2024,"7,191.62","1,198.60",Housing Needs,LAHF properties,Building Works
0000326504,REDACTED PERSONAL INFORMATION,13/12/2024,"2,000.00",0.00,Housing Needs,Household Support Scheme,Family Grant Exp
0000326507,VIVID RESOURCING,13/12/2024,"1,539.00",256.50,Planning,Planning Policy and Implement,Agency Staff
0000326508,SARTO THOMAS LTD,13/12/2024,"1,785.60",297.60,Planning,Planning Policy and Implement,Agency Staff
0000326509,REDACTED PERSONAL INFORMATION,13/12/2024,"2,000.00",0.00,Housing Needs,Household Support Scheme,Family Grant Exp
0000326510,REDACTED PERSONAL INFORMATION,13/12/2024,"2,000.00",0.00,Housing Needs,Household Support Scheme,Family Grant Exp
0000326511,REDACTED PERSONAL INFORMATION,13/12/2024,"2,000.00",0.00,Housing Needs,Household Support Scheme,Family Grant Exp
0000326516,SURREY RECRUITMENT SERVICES LIMITED,13/12/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000326524,PHS GROUP LTD,17/12/2024,"1,054.91",175.82,Office Services,Facilities Management,Operational Equipment Maint.
0000326525,PHS GROUP LTD,17/12/2024,949.43,158.24,Office Services,Facilities Management,Operational Equipment Maint.
0000326526,YBC CLEANING SERVICES LTD,17/12/2024,"12,197.04","2,032.84",Office Services,Fordbridge Day Centre,Contract cleaning
0000326553,GRANTS,17/12/2024,800.00,0.00,Community Safety and Corporate Services,Community Development,Neighbourhood Agenda
0000326557,PERTEMPS RECRUITMENT PARTNERSHIP LTD,17/12/2024,"2,077.92",346.32,Depot,Refuse Collection,Agency Staff
0000326558,PERTEMPS RECRUITMENT PARTNERSHIP LTD,17/12/2024,"2,539.68",423.28,Depot,Refuse Collection,Agency Staff
0000326559,SURREY RECRUITMENT SERVICES LIMITED,17/12/2024,"6,542.69","1,090.45",Depot,"Refuse Collection, Street Cleaning",Agency Staff
0000326561,REDACTED PERSONAL INFORMATION,17/12/2024,805.00,0.00,Independent Living,Fordbridge Day Centre,Tutors
0000326562,REDACTED PERSONAL INFORMATION,17/12/2024,"1,040.00",0.00,Independent Living,Staines Community Centre,Tutors
0000326565,SURREY RECRUITMENT SERVICES LIMITED,17/12/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000326566,REDACTED PERSONAL INFORMATION,17/12/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326571,REDACTED PERSONAL INFORMATION,20/12/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326572,REDACTED PERSONAL INFORMATION,20/12/2024,630.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326573,REDACTED PERSONAL INFORMATION,20/12/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326574,REDACTED PERSONAL INFORMATION,20/12/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326575,REDACTED PERSONAL INFORMATION,17/12/2024,"27,207.60","4,534.60",Housing Needs,LAHF properties,Void repair work
0000326579,THAMESWAY CONTRACTORS LTD,17/12/2024,840.00,140.00,Depot,Street Cleaning,Street Nameplates
0000326584,COTSWOLD TRAILERS LTD,17/12/2024,"9,900.00","1,650.00",Depot,Grounds Maintenance,Operational Equipment Maint.
0000326589,LOVE2SHOP,17/12/2024,"1,568.00",0.00,Planning,Planning Policy and Implement,Design Code
0000326591,REDACTED PERSONAL INFORMATION,20/12/2024,"15,300.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326595,SURREY RECRUITMENT SERVICES LIMITED,17/12/2024,"5,303.03",883.83,Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000326596,SURREY RECRUITMENT SERVICES LIMITED,17/12/2024,"5,195.71",865.95,Depot,"Refuse Collection, Street Cleaning, Grounds Maintenance",Agency Staff
0000326597,MORGAN HUNT,17/12/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff
0000326599,SEEDL GROUP LTD,17/12/2024,"5,400.00",900.00,Community Safety and Corporate Services,Share Prosperity Fund,Business Growth Plans & Innova
0000326602,PREMIER SERVICES,17/12/2024,"3,180.00",530.00,Depot,Grounds Maintenance,Security services
0000326604,PREMIER SERVICES,17/12/2024,799.80,133.30,Depot,Grounds Maintenance,Security services
0000326605,MARY GORTON DESIGN,17/12/2024,924.00,0.00,Depot,Environmental Enhancements,Site improvements
0000326625,REDACTED PERSONAL INFORMATION,17/12/2024,"2,000.00",0.00,Housing Needs,Household Support Scheme,Family Grant Exp
0000326626,WATSON FUELS,17/12/2024,"19,296.00","3,216.00",Depot,Depot Fuel & Oils,Purchases
0000326629,REDACTED PERSONAL INFORMATION,17/12/2024,"2,310.00",385.00,Planning,Development Control,Legal and Court Costs
0000326630,MARY GORTON DESIGN,17/12/2024,802.00,0.00,Environment Services,Grounds Maintenance,Grounds maintained noncontract
0000326631,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,17/12/2024,"8,280.00","1,380.00",Community Safety and Corporate Services,Spelthorne Youth Hub,Electrical Works
0000326633,REDACTED PERSONAL INFORMATION,17/12/2024,581.97,0.00,Housing Needs,Longford Village,Council tax (void property)
0000326637,SURREY RECRUITMENT SERVICES LIMITED,17/12/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff
0000326638,REDACTED PERSONAL INFORMATION,20/12/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326639,REDACTED PERSONAL INFORMATION,20/12/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326640,PLACES FOR PEOPLE LEISURE LIMITED,17/12/2024,976.16,0.00,Leisure,Sports and Active Lifestyle,Inward Investment
0000326641,J S FRUITERERS,17/12/2024,780.00,0.00,Independent Living,Meals on Wheels,Food Purchases
0000326642,REDACTED PERSONAL INFORMATION,17/12/2024,"10,698.60","1,783.10",Housing Needs,LAHF properties,Building Works
0000326644,SELLICK PARTNERSHIP LTD,17/12/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff
0000326646,SELLICK PARTNERSHIP LTD,20/12/2024,"1,817.42",302.90,Car Parks,Legal,Agency Staff
0000326647,REDACTED PERSONAL INFORMATION,20/12/2024,"1,320.00",220.00,Housing Needs,LAHF properties,Building Works
0000326648,REDACTED PERSONAL INFORMATION,20/12/2024,"12,601.67","2,100.28",Housing Needs,LAHF properties,Building Works
0000326649,REDACTED PERSONAL INFORMATION,20/12/2024,"1,350.00",225.00,Housing Needs,LAHF properties,Building Works
0000326653,SELLICK PARTNERSHIP LTD,20/12/2024,"1,938.59",323.10,Car Parks,Legal,Agency Staff
0000326654,SELLICK PARTNERSHIP LTD,20/12/2024,"2,250.14",375.02,Car Parks,Legal,Agency Staff
0000326656,REDACTED PERSONAL INFORMATION,20/12/2024,792.00,132.00,Housing Needs,Homelessness Prevention,Legal and Court Costs
0000326657,G2RECRUITMENT,20/12/2024,"1,527.76",254.63,Environmental Health,Environmental Health Admin,Agency Staff
0000326658,SURREY COUNTY COUNCIL,20/12/2024,"2,806.50",467.75,Chief Exec. Dpt,Local Land Charges,Other LA Surrey County Council
0000326663,VIVID RESOURCING,24/12/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000326664,INCA CREATIVE PRINT LTD,20/12/2024,"1,170.00",195.00,Depot,Neighbourhood Serv Mgt Support,Marketing
0000326666,VIVID RESOURCING,20/12/2024,"2,052.00",342.00,Planning,Planning Policy and Implement,Agency Staff
0000326673,REDACTED PERSONAL INFORMATION,20/12/2024,"1,300.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326675,SOFTCAT,20/12/2024,"1,620.00",270.00,Information Technology,Business Incubator,Networking
0000326684,REDACTED PERSONAL INFORMATION,20/12/2024,"2,160.00",360.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326685,REDACTED PERSONAL INFORMATION,20/12/2024,"4,860.00",810.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326686,REDACTED PERSONAL INFORMATION,20/12/2024,"28,860.00","4,810.00",Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326698,SPECIALIST FLEET SERVICES LIMITED,20/12/2024,"5,854.17",965.61,Depot,"SAT, Refuse Collection, Neighbourhood Serv Mgt Support, Street Cleaning, Grounds Maintenance",Commercial Vehicle Maintenance
0000326700,COMMUNITY FOUNDATION FOR SURREY,20/12/2024,"2,750.00",0.00,Community Safety and Corporate Services,Corporate Management,Community Plan
0000326704,AFFINITY WATER LTD,20/12/2024,"11,121.22",0.00,Asset Management,White House,Water Charges
0000326738,PHASE 3 CONSULTING LTD,20/12/2024,"1,170.00",195.00,Leisure,Human Resources,Consultants fees
0000326739,REDACTED PERSONAL INFORMATION,20/12/2024,950.00,0.00,Human Resources,General Staff Exp Unallocated,Consultants fees
0000326740,PERTEMPS RECRUITMENT PARTNERSHIP LTD,20/12/2024,"1,154.40",192.40,Depot,Refuse Collection,Agency Staff
0000326741,PLACES FOR PEOPLE LEISURE LIMITED,20/12/2024,660.00,110.00,Planning,Planning Policy and Implement,Design Code
0000326745,FIRST CALL CONTRACT SERVICES,20/12/2024,"1,499.52",249.92,Depot,Street Cleaning,Agency Staff
0000326746,REDACTED PERSONAL INFORMATION,20/12/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326747,REDACTED PERSONAL INFORMATION,20/12/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326748,REDACTED PERSONAL INFORMATION,24/12/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326749,PLACES FOR PEOPLE LEISURE LIMITED,20/12/2024,544.50,0.00,Planning,Planning Policy and Implement,Design Code
0000326753,GILLETT & JOHNSTON (CROYDON) LTD,20/12/2024,"2,820.00",470.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326755,JK BUILD LTD,20/12/2024,676.80,112.80,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326771,POWERPOINT FIRE AND SECURITY LTD,20/12/2024,994.92,165.82,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326773,POWERPOINT FIRE AND SECURITY LTD,20/12/2024,"1,034.20",172.37,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326774,THE OYSTER PARTNERSHIP,20/12/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff
0000326776,GREEN & PARTNERS LLP,20/12/2024,"6,000.00","1,000.00",Asset Management,Elmsleigh,Premises Letting Fees
0000326777,CONTACT ROLLER SHUTTERS LTD,20/12/2024,"8,150.40","1,358.40",Asset Management,Tothill Street M/s Car Park,F&F Repairs
0000326778,YBC CLEANING SERVICES LTD,20/12/2024,"1,800.00",300.00,Asset Management,Facilities Management,Window cleaning
0000326779,PRO DOOR (UK) LTD,20/12/2024,"2,031.60",338.60,Asset Management,Tothill Street M/s Car Park,F&F Purchases
0000326780,THAMESWAY CONTRACTORS LTD,20/12/2024,834.00,139.00,Asset Management,SpelthorneLeisurCenDevelopment,Other Works
0000326782,THAMESWAY CONTRACTORS LTD,20/12/2024,954.00,159.00,Asset Management,SpelthorneLeisurCenDevelopment,Other Works
0000326783,REDACTED PERSONAL INFORMATION,20/12/2024,"26,946.00","4,491.00",Asset Management,Thameside - marketing,Consultant Fees
0000326788,REDACTED PERSONAL INFORMATION,20/12/2024,"1,330.00",0.00,Independent Living,Greeno Day Centre,Tutors
0000326792,UNITY RECRUITMENT,20/12/2024,725.76,120.96,Car Parks,Car Park Administration,Agency Staff
0000326793,SARTO THOMAS LTD,20/12/2024,"1,785.60",297.60,Planning,Planning Policy and Implement,Agency Staff
0000326795,CAMBRIDGE ENV RESEARCH CONSULTANTS,20/12/2024,"3,600.00",600.00,Environmental Health,Pollution Control,Pollution Control Monitoring
0000326797,REDACTED PERSONAL INFORMATION,24/12/2024,910.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000326816,OXFORD BROOKES UNIVERSITY,24/12/2024,"4,875.00",0.00,Planning,Development Control,Professional and CPD training
0000326824,KENT COUNTY COUNCIL (KCS),24/12/2024,"41,041.24","5,942.18",Asset Management,Various - Electricty,Electricity
0000326825,KENT COUNTY COUNCIL (KCS),24/12/2024,"9,820.29","1,611.05",Asset Management,Various - Gas,Gas
0000326828,VIVID RESOURCING,24/12/2024,748.80,124.80,Environmental Health,Environmental Health Admin,Agency Staff
0000326837,RECITE ME LTD,24/12/2024,"3,420.00",570.00,Community Safety and Corporate Services,Corporate Publicity,Computer Software
0000326840,SELLICK PARTNERSHIP LTD,24/12/2024,"1,821.60",303.60,Car Parks,Legal,Agency Staff
0000326841,SELLICK PARTNERSHIP LTD,24/12/2024,"1,942.91",323.82,Car Parks,Legal,Agency Staff
0000326842,SELLICK PARTNERSHIP LTD,24/12/2024,"2,449.20",408.20,Car Parks,Legal,Agency Staff
0000326846,REID'S PLAYGROUND MAINTENANCE LTD,24/12/2024,"1,704.00",284.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326847,GM CONSTRUCTION MAINTENANCE,24/12/2024,708.00,118.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326849,GURNEY CONSULTING ENGINEERS,24/12/2024,"1,050.00",175.00,Asset Management,Planned Maintenance Programme,Programmed Maintenance
0000326854,SAFEPLAY PLAYGROUND SERVICES LTD,24/12/2024,"2,669.40",444.90,Depot,Grounds Maintenance,Playground Inspections
,,,,,,,
,CREDIT CARDS,,,,,,
,,,,,,,
,AMAZON,,-264.98,0.00,Accountancy,Long Service Awards,refund
,RYMAN 1093,,3.49,0.58,Neighbourhood Serv Mgt Support,Office Stationery,Envelopes
,TESCO STORES,,18.85,0.00,Facilities Management,Tea Trolley provisions,Milk
,SWRAILWAY TCK OFF,,14.80,0.00,Neighbourhood Serv Mgt Support,Conference expenses,Train tickets
,SWRAILWAY TCK OFF,,29.60,0.00,Neighbourhood Serv Mgt Support,Conference expenses,Train tickets
,AMAZON,,39.79,6.63,Neighbourhood Serv Mgt Support,Office Stationery,Storage boxes
,SWRAILWAY TCK OFF,,14.80,0.00,Neighbourhood Serv Mgt Support,Conference expenses,Train tickets
,SWRAILWAY TCK OFF,,14.80,0.00,Neighbourhood Serv Mgt Support,Conference expenses,Train tickets
,BP SHEPPERTON CONNECT,,16.90,0.00,Facilities Management,Tea Trolley provisions,Milk
,SWRAILWAY TCK OFF,,14.80,0.00,Neighbourhood Serv Mgt Support,Conference expenses,Train tickets
,TESCO STORES,,58.90,0.00,Facilities Management,Tea Trolley provisions,"Tea, coffee, sugar"
,AMAZON,,29.99,0.00,Car Park Administration,Uniforms,Gloves for car parks
,AMAZON,,11.74,1.96,Neighbourhood Serv Mgt Support,Office Stationery,L Plates
,TESCO STORES,,18.85,0.00,Facilities Management,Tea Trolley provisions,Milk
,SP DEFIB4LIFE LTD,,230.40,0.00,Neighbourhood Serv Mgt Support,Other Miscellaneous Expenses,Defib pads for Depot & Nursery
,ICELAND FOODS,,193.30,0.00,Greeno Day Centre,Food Purchases,Food for Greeno
,SAINSBURYS,,183.47,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,-0.79,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,TOOLSTATION UK,,27.88,4.65,Social Prescribing,Hoarding Services,Disposable gloves and coveralls
,WWW.ARGOS.CO.UK,,75.95,12.66,Staines Community Centre,Operational Equipment purchase,bookcase for Staines CC
,SAINSBURYS,,201.23,0.00,Staines Community Centre,Food Purchases, Food for Staines CC café
,SAINSBURYS,,-1.20,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,189.19,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,AMAZON,,14.98,2.50,Home Improvement Agency (HIA),Operational Equipment Maint.,Fire Brigade keys set for DFGs
,SAINSBURYS,,-2.30,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,SAINSBURYS,,215.97,0.00,Staines Community Centre,Food Purchases,Food for Staines CC café
,CANVA,,10.99,1.83,Corporate Publicity,Marketing,design software
,PHOTOBOX LTD,,50.05,8.35,Corporate Publicity,Marketing,photos
,CLR*WWW.CIEH.ORG,,99.00,0.00,CX,Other training,training
,CLR*WWW.CIEH.ORG,,85.00,0.00,CX,Other training,training
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,SUBSCRIPTION TESCO,,6.99,0.00,Corporate Management,Bank Charges,subscription
,BOOKER LTD,,306.86,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,FIRST RESCUE TRAIN,,504.00,84.00,Health and Safety at Work,Other Consumables,defib
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON,,85.75,14.29,Office Services,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON,,7.73,1.29,Office Services,Office Stationery,stationery
,AMAZON,,82.99,13.84,Office Services,Office Stationery,stationery
,AMAZON,,6.44,1.07,Office Services,Office Stationery,stationery
,AMAZON,,8.49,1.42,Office Services,Office Stationery,stationery
,AMAZON,,23.58,3.94,Office Services,Office Stationery,stationery
,AMAZON,,7.28,1.21,Office Services,Office Stationery,stationery
,AMAZON,,41.16,6.86,Office Services,Office Stationery,stationery
,AMAZON,,41.16,6.86,Office Services,Office Stationery,stationery
,AMAZON,,2.00,0.00,Office Services,Office Stationery,stationery
,AMAZON,,10.95,1.83,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON,,34.98,0.00,Office Services,Office Stationery,stationery
,AMAZON,,8.95,1.49,Office Services,Office Stationery,stationery
,AMAZON,,30.97,5.16,Office Services,Office Equipment Purchase,car parks office
,AMAZON,,11.33,1.89,Office Services,Office Stationery,stationery
,AMAZON,,33.03,5.50,Office Services,Office Stationery,stationery
,AMAZON,,12.20,1.04,Office Services,Office Stationery,stationery
,TESCO STORES,,28.20,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON,,15.74,2.63,Office Services,Office Stationery,stationery
,AMAZON,,16.24,2.71,Office Services,Office Stationery,stationery
,AMAZON,,12.24,2.04,Office Services,Office Stationery,stationery
,AMAZON,,9.80,1.63,Office Services,Office Stationery,stationery
,AMAZON,,16.24,2.71,Office Services,Office Stationery,stationery
,AMAZON,,12.26,0.00,Office Services,Office Stationery,stationery
,TESCO STORES,,16.60,0.00,Facilities Management,Tea Trolley provisions,tea trolley
,AMAZON,,20.97,3.49,Office Services,Office Stationery,stationery
,AMAZON,,42.98,7.16,Office Services,Office Stationery,stationery
,AMAZON,,18.75,0.00,Office Services,Office Stationery,stationery
,ADOBE,,88.47,0.00,IT Overheads & Infrastructure,Computer Software,creative cloud
,LENOVO UK ,,48.98,8.16,IT Overheads & Infrastructure,Computer Supplies,2 x charging adaptors
,DNH*GODADDY,,86.26,0.00,Economic Development,Marketing,M365 Essentials Spelthorne Youth Hub
,GOOGLE GSUITE_KG-ESTAT,,24.00,0.00,Asset Management Admin,Computer Software,KGEL DOMAIN
,SP DAALS.CO.UK,,119.99,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Furniture
,AMAZON,,208.94,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Fridge
,BP SHEPPERTON CONNECT,,31.45,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Sundries
,SAINSBURYS,,69.30,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Food
,WF *UK,,156.98,26.16,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Bookcase
,HOLIDAY INNS,,300.00,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Deposit ball
,WWW.CJCFURNITURE.CO.UK,,419.00,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Furniture
,AMAZON,,47.87,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,wall clock
,AMAZON,,68.87,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,"kettle, cannisters, table runner"
,"BOOTS, STAINES",,57.20,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Raffle prizes
,WWW.CJCFURNITURE.CO.UK,,-419.00,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Furniture credit
,SENA FURNITURE,,407.00,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Cabinet
,AMAZON,,251.94,0.00,Mayors and Deputy Mayors Exp,Mayor  Med Buck Allow.,Christmas trees
,TESCO STORES,,100.00,0.00,Rough Sleep Initiative,Housing First,client vouchers
,TESCO STORES,,100.00,0.00,Rough Sleep Initiative,Housing First,client vouchers
,AMAZON,,42.24,7.04,Rough Sleep Initiative,Housing First,client VT moving provisions
,AMAZON,,61.57,10.26,Rough Sleep Initiative,Housing First,client VT removal to new address
,LIDL GB,,14.22,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,food shop for client - CL
,AMAZON,,117.99,0.00,Rough Sleep Initiative,Other Miscellaneous Expenses,clothing for RS client - TS
,DEICHMANN SHOES,,22.49,3.75,Rough Sleep Initiative,Other Miscellaneous Expenses,staff outreach boots
,BRITISH GAS,,21.00,1.00,COVID ICS Step-Down Accommodat,Electricity,14 Mitchison electricity bill
,ATLAS CARS OF LONDON,,83.50,0.00,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,Taxi for stepdown client
,OVO ENERGY LTD,,49.31,2.35,COVID ICS Step-Down Accommodat,Electricity,19 Mitchison electricity bill
,OVO ENERGY LTD,,110.11,5.24,COVID ICS Step-Down Accommodat,Gas,19 Beechwood energy bill
,AMAZON,,13.99,0.00,COVID ICS Step-Down Accommodat,Personal Budgets,clothes for stepdown client
,AMAZON,,37.39,6.20,COVID ICS Step-Down Accommodat,Personal Budgets,clothes for stepdown client
,ARGOS,,18.00,6.23,COVID ICS Step-Down Accommodat,Purchase of Furniture,toaster for stepdown client
,BRITISH GAS,,114.41,4.22,COVID ICS Step-Down Accommodat,Electricity,69 Floral house electricity bill
,BRITISH GAS,,17.82,0.00,COVID ICS Step-Down Accommodat,Gas,69 Floral house energy bill
,ATLAS CARS OF LONDON,,30.00,0.00,COVID ICS Step-Down Accommodat,Other Miscellaneous Expenses,Taxi for stepdown client
,OVO ENERGY LTD,,126.17,6.01,COVID ICS Step-Down Accommodat,Electricity,13 Beechwood Court
,STAPLES,,54.12,0.00,Homelessness Prevention,Hampers,Hot chocolate sachets
,WWW.CUTPRICEWHOLESALER,,91.19,0.00,Homelessness Prevention,Hampers,christmas playing cards
,STOCKSUPPLI,,46.14,0.00,Homelessness Prevention,Hampers,Santa carrier bags
,AMAZON,,15.98,0.00,Homelessness Prevention,Hampers,Luggage tags and twist ties
,LAKELAND LTD,,21.89,3.65,Homelessness Prevention,Hampers,presentation bags
,CDS TA WILKO.COM,,-31.12,0.00,Homelessness Prevention,Hampers,refund of 8 pack porcelain mugs
,CDS TA WILKO.COM,,62.24,0.00,Homelessness Prevention,Hampers,16 pack of 4 porcelain mugs
,POUNDLAND,,26.95,0.00,Homelessness Prevention,Hampers,pocket tissues and jammy dodgers
,CDS TA WILKO.COM,,16.66,0.00,Homelessness Prevention,Hampers,3 packs of porcelain mugs
,AMAZON,,62.93,0.00,Homelessness Prevention,Hampers,7 soap bar collections
,BAKER ROSS,,155.75,0.00,Homelessness Prevention,Hampers,30 boxes wax crayons
,DUNELM SOFTFURNISHINGS,,375.00,0.00,Homelessness Prevention,Hampers,soft toys
,JOHN LEWIS,,51.50,0.00,Homelessness Prevention,Hampers,procelain mugs and stoneware mug
