Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category
0000278976,WATERLOGIC,02/02/2024,978.88,163.15,Office Services,Facilities Management,Operational Equipment Maint.
0000307596,SPECIALIST FLEET SERVICES LIMITED,02/02/2024,"8,622.47","1,412.33",Depot,"Facilities Management, Neighbourhood Serv Mgt Support, Refuse Collection, Grounds maintenance, SAT",Commercial Vehicle Maintenance
0000312524,EVERYONE ACTIVE,02/02/2024,"11,499.98","1,916.66",Leisure,Spelthorne Leisure Centre,General repairs
0000312874,MISCO COMPUTER SUPPLIES LTD,02/02/2024,960.00,160.00,Information Technology,General Harrdware & Software,Equipment
0000313003,REDACTED PERSONAL INFORMATION,06/02/2024,"1,367.00",0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor
0000313103,LAMBERT SMITH HAMPTON,13/02/2024,"13,573.94","2,262.32",Asset Management,Elmbrook House,Premises Letting Fees
0000313129,KENT COUNTY COUNCIL (KCS),02/02/2024,"4,091.11",572.82,Asset Management,Car Park Administration,Electricity
0000313274,MAYDENCROFT LTD,16/02/2024,"4,504.80",750.80,Depot,River Ash Broadwalk,Other Works
0000313291,REDACTED PERSONAL INFORMATION,13/02/2024,"2,790.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313294,REDACTED PERSONAL INFORMATION,13/02/2024,"2,790.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313295,REDACTED PERSONAL INFORMATION,13/02/2024,"2,700.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313296,REDACTED PERSONAL INFORMATION,13/02/2024,"2,790.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313297,REDACTED PERSONAL INFORMATION,13/02/2024,"2,700.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313298,REDACTED PERSONAL INFORMATION,13/02/2024,"2,790.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313339,REDACTED PERSONAL INFORMATION,02/02/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313377,REDACTED PERSONAL INFORMATION,06/02/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313384,MAYDENCROFT LTD,20/02/2024,"53,953.20","8,992.20",Depot,River Ash Broadwalk,Other Works
0000313386,REDACTED PERSONAL INFORMATION,20/02/2024,"4,620.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313389,REDACTED PERSONAL INFORMATION,02/02/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313390,REDACTED PERSONAL INFORMATION,02/02/2024,660.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313396,BIRKETTS LTD,02/02/2024,"2,100.00",350.00,Asset Management,Communications House,Legal and Court Costs
0000313401,REDACTED PERSONAL INFORMATION,06/02/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313402,REDACTED PERSONAL INFORMATION,09/02/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
0000313404,REDACTED PERSONAL INFORMATION,09/02/2024,"1,540.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation
