Transaction Number,Supplier Name,Paid Date,Total,Vat,Service Area,Service Sub Area,Merchant Category,,,,
0000321240,VIVID RESOURCING,12/07/2024,645.00,107.50,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000321242,SPALDINGS,12/07/2024,972.72,162.12,Depot,Grounds Maintenance,Operational Equipment purchase,,,,
0000321244,CENTERPRISE INTERNATIONAL LTD,12/07/2024,"1,197.84",199.64,Information Technology,IT Overheads & Infrastructure,Hardware Support,,,,
0000321245,CENTERPRISE INTERNATIONAL LTD,12/07/2024,"1,197.84",199.64,Information Technology,IT Overheads & Infrastructure,Hardware Support,,,,
0000321246,CENTERPRISE INTERNATIONAL LTD,12/07/2024,"1,197.84",199.64,Information Technology,IT Overheads & Infrastructure,Hardware Support,,,,
0000321248,FIRST CALL CONTRACT SERVICES,19/07/2024,"2,549.18",424.86,Depot,"Street Cleaning, Refuse Collection",Agency Staff,,,,
0000321253,REDACTED PERSONAL INFORMATION,12/07/2024,748.80,0.00,Independent Living,"Meals on Wheels, Fordbridge Day Centre",Food Purchases,,,,
0000321261,CORNERSTONES BARRISTERS,12/07/2024,"7,250.00","1,208.33",Planning,Development Control,Legal and Court Costs,,,,
0000321269,REDACTED PERSONAL INFORMATION,12/07/2024,"3,312.00",0.00,Planning,Development Control,Consultants fees,,,,
0000321270,REDACTED PERSONAL INFORMATION,12/07/2024,"1,579.50",0.00,Human Resources,General Staff Exp Unallocated,Medical Advisor,,,,
0000321271,RIVERSIDE TREE SPECIALISTS,12/07/2024,"2,250.00",0.00,Environmental Health,Allotments,Grounds maintained noncontract,,,,
0000321310,MORGAN HUNT,12/07/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff,,,,
0000321311,LONDON WARRANT ENFORCEMENT,12/07/2024,"1,099.61",0.00,Office Services,Office Services,Office Services,,,,
0000321329,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,12/07/2024,"13,327.20","2,221.20",Chief Exec. Dpt,Spelthorne Youth Hub,Other Government Grants,,,,
0000321330,ASHFORD YOUTH AND COMMUNITY CLUB CIC,12/07/2024,"5,276.07",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,"Networking, Kitchen & Canteen Equipment, Consultants fees",,,,
0000321331,ASHFORD YOUTH AND COMMUNITY CLUB CIC,12/07/2024,"2,653.58",0.00,Chief Exec. Dpt,Spelthorne Youth Hub,Networking,,,,
0000321332,BLUE SOLUTION COMMERCIAL CLEANING LTD,12/07/2024,768.00,128.00,Chief Exec. Dpt,Business Incubator,Contract cleaning,,,,
0000321333,LAW MORGAN LTD T/AS MORGAN LAW LTD,12/07/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff,,,,
0000321337,ESE DIRECT LIMITED,23/07/2024,910.03,0.00,Car Parks,Car Park Administration,Operational equip mats & suppl,,,,
0000321340,SELLICK PARTNERSHIP LTD,12/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000321341,SELLICK PARTNERSHIP LTD,12/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000321345,REDACTED PERSONAL INFORMATION,12/07/2024,"4,018.00",0.00,Leisure,Sports and Active Lifestyle,Other Miscellaneous Expenses,,,,
0000321346,REDACTED PERSONAL INFORMATION,12/07/2024,"2,950.00",0.00,Housing Needs,Homelessness Prevention,"Rents, Deposits",,,,
0000321348,REDACTED PERSONAL INFORMATION,12/07/2024,800.00,0.00,Housing Needs,Rough Sleep Initiative,Rents,,,,
0000321380,SELLICK PARTNERSHIP LTD,12/07/2024,"2,206.87",367.81,Car Parks,Legal,Agency Staff,,,,
0000321382,REDACTED PERSONAL INFORMATION,29/07/2024,"2,895.82",32.03,Independent Living,Greeno Day Centre,Food Purchases,,,,
0000321383,REDACTED PERSONAL INFORMATION,29/07/2024,"3,046.16",65.11,Independent Living,"Meals on Wheels, Fordbridge Day Centre",Food Purchases,,,,
0000321384,REDACTED PERSONAL INFORMATION,29/07/2024,742.74,2.76,Independent Living,Staines Community Centre,Food Purchases,,,,
0000321392,BOTTOMLINE TECHNOLOGIES,29/07/2024,903.18,150.53,Accounts,Corporate Management,Bank Charges,,,,
0000321394,SAFESITE FACILITIES LTD,12/07/2024,"3,908.52",651.42,Asset Management,Ashford Hospital,Site Security,,,,
0000321395,REDACTED PERSONAL INFORMATION,29/07/2024,"1,292.00",0.00,Car Parks,General Property Expenses,Consultants fees,,,,
0000321400,SURREY COUNTY COUNCIL,23/07/2024,"2,826.00",471.00,Chief Exec. Dpt,Local Land Charges,Other LA Surrey County Council,,,,
0000321401,ASSOCIATION OF ELECTORAL ADMINISTRATORS,16/07/2024,"3,094.80",515.80,Elections,Parliamentary Elections 2024,Other Election Costs,,,,
0000321403,IDOX SOFTWARE LTD,16/07/2024,840.00,140.00,Planning,Development Control,Computer Software,,,,
0000321404,MARY GORTON DESIGN,16/07/2024,588.00,0.00,Environment Services,Street Cleaning,Litter Bins,,,,
0000321405,NOBLE POLYTHENE LTD,16/07/2024,"3,261.96",543.66,,Grounds Maintenance,Grounds maintained noncontract,,,,
0000321408,TIAA LTD,16/07/2024,"6,204.00","1,034.00",Car Parks,Audit,External Contracts,,,,
0000321412,ASSOCIATION OF ELECTORAL ADMINISTRATORS,16/07/2024,"1,980.00",329.99,Elections,CX,Other training,,,,
0000321413,SURREY RECRUITMENT SERVICES LIMITED,16/07/2024,"10,580.04","1,763.34",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000321415,RM STONE LTD,16/07/2024,"1,500.00",250.00,Depot,Street Cleaning,Operational equip mats & suppl,,,,
0000321416,WILLMOTT DIXON CONSTRUCTION LIMITED,16/07/2024,"1,062,135.42","177,022.57",Asset Management,SpelthorneLeisurCenDevelopment,Other Works,,,,
0000321417,REDACTED PERSONAL INFORMATION,16/07/2024,621.36,0.00,Housing Needs,Rent Assure Scheme,Rents,,,,
0000321418,REDACTED PERSONAL INFORMATION,30/07/2024,"2,016.00",336.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321419,GOLF AND TURF EQUIPMENT LTD,19/07/2024,"2,820.00",470.00,Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000321421,REDACTED PERSONAL INFORMATION,30/07/2024,"1,344.00",224.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321433,REDACTED PERSONAL INFORMATION,19/07/2024,"3,780.00",630.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000321435,ACCELERATED MAILING & MARKETING,19/07/2024,"1,228.80",204.80,Office Services,Customer Services,Bureau Printing,,,,
0000321442,REDACTED PERSONAL INFORMATION,19/07/2024,"3,015.00",0.00,Housing Needs,Homes for Ukraine,"Rents, Deposits",,,,
0000321449,REDACTED PERSONAL INFORMATION,19/07/2024,"3,015.00",0.00,Housing Needs,Homelessness Prevention,Rents,,,,
0000321452,SCOTTISH AND SOUTHERN ELECTRICITY,19/07/2024,"16,044.07","2,674.01",Asset Management,Ashford Cemetry Lodge,Planning Application fees,,,,
0000321453,VIVID RESOURCING,30/07/2024,"2,070.00",345.00,Office Services,Environmental Health Admin,Agency Staff,,,,
0000321454,FIRST CALL CONTRACT SERVICES,19/07/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff,,,,
0000321455,VIVID RESOURCING,19/07/2024,750.00,125.00,Environmental Health,Environmental Health Admin,Agency Staff,,,,
0000321456,KOMPAN UK,26/07/2024,993.60,165.60,Environmental Health,Grounds Maintenance,Playground Improvements,,,,
0000321459,REDACTED PERSONAL INFORMATION,30/07/2024,700.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321460,REDACTED PERSONAL INFORMATION,30/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321461,REDACTED PERSONAL INFORMATION,30/07/2024,770.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321462,SAFESITE SECURITY SOLUTIONS LTD,19/07/2024,616.48,102.75,Asset Management,Thameside House,Site Security,,,,
0000321463,SAFESITE SECURITY SOLUTIONS LTD,19/07/2024,"2,871.00",478.50,Asset Management,Ashford Hospital,Site Security,,,,
0000321464,SAFESITE SECURITY SOLUTIONS LTD,19/07/2024,"2,966.70",494.45,Asset Management,Ashford Hospital,Site Security,,,,
0000321465,SAFESITE FACILITIES LTD,19/07/2024,"4,038.81",673.14,Asset Management,Ashford Hospital,Site Security,,,,
0000321466,SAFESITE FACILITIES LTD,19/07/2024,"4,038.81",673.14,Asset Management,Ashford Hospital,Site Security,,,,
0000321474,MORGAN HUNT,19/07/2024,"1,398.60",233.10,Office Services,Customer Services,Agency Staff,,,,
0000321475,REDACTED PERSONAL INFORMATION,19/07/2024,805.00,0.00,Family Support,Spelthorne Family Support,Clinical Suprevision,,,,
0000321476,REDACTED PERSONAL INFORMATION,19/07/2024,"1,035.00",0.00,Family Support,Spelthorne Family Support,Clinical Suprevision,,,,
0000321477,REDACTED PERSONAL INFORMATION,19/07/2024,"4,560.00",760.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000321480,FLOWBIRD SMART CITY UK LTD,19/07/2024,841.56,140.26,Car Parks,Car Park Administration,Operational Equipment Maint.,,,,
0000321482,FARID HILLEND ENGINEERING LTD,19/07/2024,"2,697.74",449.62,Depot,Refuse Collection,Commercial Vehicle Maintenance,,,,
0000321484,REDACTED PERSONAL INFORMATION,19/07/2024,"6,227.00",0.00,Housing Needs,LAHF properties,Purchase of Furniture,,,,
0000321487,REDACTED PERSONAL INFORMATION,30/07/2024,"1,680.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321488,REDACTED PERSONAL INFORMATION,26/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321490,REDACTED PERSONAL INFORMATION,26/07/2024,"1,995.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321493,REDACTED PERSONAL INFORMATION,19/07/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff,,,,
0000321496,CAPITA ONE LIMITED,23/07/2024,"90,036.00","15,006.00",Information Technology,Sharepoint redesign & Relaunch,Equipment,,,,
0000321497,ELECTION PAYMENTS,19/07/2024,520.00,0.00,Information Technology,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321499,ELECTION PAYMENTS,19/07/2024,510.00,0.00,Information Technology,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321500,ELECTION PAYMENTS,19/07/2024,510.00,0.00,Information Technology,PCC Elections May 24,Polling Staion Costs,,,,
0000321501,ELECTION PAYMENTS,19/07/2024,510.00,0.00,Information Technology,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321502,ELECTION PAYMENTS,19/07/2024,608.70,0.00,Information Technology,PCC Elections May 24,Polling Staion Costs,,,,
0000321505,ELECTION PAYMENTS,19/07/2024,"1,350.00",0.00,Information Technology,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321507,SURREY COUNTY COUNCIL,19/07/2024,538.56,0.00,Information Technology,PCC Elections May 24,Polling Staion Costs,,,,
0000321519,SAVRAN LTD,19/07/2024,"4,920.00",820.00,Community Safety and Corporate Services,CX,Other training,,,,
0000321521,BACS IDS,19/07/2024,688.66,114.78,Building Control,Building Control,BC SDB Building Notice,,,,
0000321523,ROYAL MAIL,26/07/2024,"14,972.17","2,495.36",Office Services,Postage Holding Account,Holding Account Expenditure,,,,
0000321525,REDACTED PERSONAL INFORMATION,29/07/2024,"2,918.69",57.38,Independent Living,"Meals on Wheels, Fordbridge Day Centre",Food Purchases,,,,
0000321527,ROYAL MAIL,26/07/2024,"2,041.61",339.07,Office Services,Postage Holding Account,Holding Account Expenditure,,,,
0000321529,EP TRAINING,23/07/2024,"1,195.00",170.00,Depot,Street Cleaning,Operational equip mats & suppl,,,,
0000321531,REDACTED PERSONAL INFORMATION,30/07/2024,"14,930.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321532,EP TRAINING,23/07/2024,"1,195.00",170.00,Depot,Street Cleaning,Operational equip mats & suppl,,,,
0000321535,EP TRAINING,23/07/2024,"1,195.00",170.00,Depot,Street Cleaning,Operational equip mats & suppl,,,,
0000321538,SOURCE 4 PERSONNEL SOLUTIONS,23/07/2024,"1,264.13",210.69,Depot,Refuse Collection,Agency Staff,,,,
0000321539,SELLICK PARTNERSHIP LTD,23/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000321541,REDACTED PERSONAL INFORMATION,30/07/2024,"1,700.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321543,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321544,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321545,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321546,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321548,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321549,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321550,J R B ENTERPRISE,23/07/2024,"6,034.80","1,005.80",Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000321551,REDACTED PERSONAL INFORMATION,30/07/2024,"1,450.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321552,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321553,REDACTED PERSONAL INFORMATION,30/07/2024,"1,700.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321554,REDACTED PERSONAL INFORMATION,30/07/2024,"2,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321555,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321556,REDACTED PERSONAL INFORMATION,30/07/2024,"2,250.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321557,REDACTED PERSONAL INFORMATION,30/07/2024,"1,700.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321558,REDACTED PERSONAL INFORMATION,30/07/2024,"1,450.00",0.00,Housing Needs,Longford Village,Rents,,,,
0000321559,SIREN DESIGN LIMITED,23/07/2024,948.00,158.00,Asset Management,Charter Building,Marketing,,,,
0000321560,SIREN DESIGN LIMITED,23/07/2024,660.00,110.00,Asset Management,Charter Building,Marketing,,,,
0000321562,REDACTED PERSONAL INFORMATION,30/07/2024,840.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321563,SELLICK PARTNERSHIP LTD,23/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000321566,REDACTED PERSONAL INFORMATION,26/07/2024,"4,785.00",797.50,Human Resources,Community Care Administration,Consultants fees,,,,
0000321567,TIAA LTD,23/07/2024,"1,128.00",188.00,Car Parks,Audit,External Contracts,,,,
0000321569,IDOX SOFTWARE LTD,23/07/2024,"9,268.14","1,544.69",Elections,Electoral Registration,Computer Software,,,,
0000321573,PREMIER SERVICES,23/07/2024,804.00,134.00,Asset Management,Planned Maintenance Programme,Improvements and Adaptation,,,,
0000321575,DAVID LOCK ASSOCIATES,23/07/2024,"31,950.00","5,325.00",Planning,Planning Policy and Implement,Design Code,,,,
0000321576,SPECIALIST FLEET SERVICES LIMITED,23/07/2024,"9,154.74","1,525.79",Depot,"Neighbourhood Serv Mgt Support, Street Cleaning, Refuse Collection, Grounds Maintenance, SAT",Commercial Vehicle Maintenance,,,,
0000321577,SURREY RECRUITMENT SERVICES LIMITED,23/07/2024,"9,901.52","1,650.26",Depot,"Street Cleaning, Refuse Collection, Grounds Maintenance",Agency Staff,,,,
0000321578,REDACTED PERSONAL INFORMATION,23/07/2024,"1,170.00",195.00,Leisure,Human Resources,Consultants fees,,,,
0000321579,REDACTED PERSONAL INFORMATION,23/07/2024,"1,080.00",180.00,Human Resources,General Staff Exp Unallocated,Consultants fees,,,,
0000321580,REDACTED PERSONAL INFORMATION,30/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321581,REDACTED PERSONAL INFORMATION,30/07/2024,595.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321583,REDACTED PERSONAL INFORMATION,30/07/2024,"2,850.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321584,REDACTED PERSONAL INFORMATION,30/07/2024,"3,745.00",0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321586,THE OYSTER PARTNERSHIP,23/07/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff,,,,
0000321587,THE OYSTER PARTNERSHIP,23/07/2024,"3,088.80",514.80,Asset Management,Asset Management Admin,Agency Staff,,,,
0000321588,SAFESITE SECURITY SOLUTIONS LTD,23/07/2024,"2,496.00",416.00,Asset Management,Lammas Park Sea Cadets,Security Systems,,,,
0000321589,VAIL WILLIAMS,23/07/2024,"16,200.00","2,700.00",Asset Management,LAHF properties,LAHF property expenditure,,,,
0000321591,GLOBAL ASSOCIATES,23/07/2024,"6,000.00","1,000.00",Asset Management,Planned Maintenance Programme,Programmed Maintenance,,,,
0000321592,REDACTED PERSONAL INFORMATION,23/07/2024,"3,600.00",600.00,Planning,Green Initiatives,Consultants fees,,,,
0000321599,ELECTION PAYMENTS,23/07/2024,560.00,0.00,Elections,Parliamentary Elections 2024,Polling Staion Costs,,,,
0000321604,EXPERIAN LTD,23/07/2024,"5,030.44",838.41,Office Services,Customer Services,Computer Software,,,,
0000321606,LONDON WARRANT ENFORCEMENT,23/07/2024,"1,195.01",0.00,Office Services,Office Services,Office Services,,,,
0000321607,MATTHEWS ASSOCIATES (UK) LIMITED,23/07/2024,"8,316.00","1,386.00",Planning,Economic Development,Agency Staff,,,,
0000321608,BLUE MUSHROOM LTD,23/07/2024,"2,008.80",334.80,Community Safety and Corporate Services,Staines-upon-Thames Annual Day,Rechargeable Works Expenditure,,,,
0000321618,REDACTED PERSONAL INFORMATION,23/07/2024,"24,870.00","4,145.00",Housing Needs,LAHF properties,Void repair work,,,,
0000321621,PLANNING DEPARTMENT,23/07/2024,716.00,0.00,Planning,Development Control,Pre-Application Advice,,,,
0000321622,PLANNING DEPARTMENT,23/07/2024,"1,156.00",0.00,Planning,Development Control,Planning Application fees,,,,
0000321630,PERTEMPS RECRUITMENT PARTNERSHIP LTD,26/07/2024,"2,308.80",384.80,Depot,Refuse Collection,Agency Staff,,,,
0000321631,PERTEMPS RECRUITMENT PARTNERSHIP LTD,26/07/2024,"2,308.80",384.80,Depot,Refuse Collection,Agency Staff,,,,
0000321638,SMI GROUP,30/07/2024,695.54,115.94,Depot,Grounds Maintenance,Protective clothing,,,,
0000321642,REDACTED PERSONAL INFORMATION,26/07/2024,"2,433.00",405.50,Housing Needs,Longford Village,General repairs,,,,
0000321643,REDACTED PERSONAL INFORMATION,26/07/2024,"1,026.00",171.00,Housing Needs,LAHF properties,Void repair work,,,,
0000321644,REDACTED PERSONAL INFORMATION,26/07/2024,"2,196.00",366.00,Housing Needs,Longford Village,General repairs,,,,
0000321647,ONYX PRESENTATIONS LIMITED,26/07/2024,"1,998.00",333.00,Community Safety and Corporate Services,Staines-upon-Thames Annual Day,Rechargeable Works Expenditure,,,,
0000321649,PROFESSIONAL ELECTRICAL SOLUTIONS LTD,26/07/2024,"3,954.00",659.00,Chief Exec. Dpt,Spelthorne Youth Hub,Other Government Grants,,,,
0000321664,STAINES UPON THAMES BID LTD,26/07/2024,"4,800.00",800.00,Leisure,Share Prosperity Fund,Cultural Kick Starter Elmsleig,,,,
0000321665,REDACTED PERSONAL INFORMATION,30/07/2024,"3,594.36",599.06,Housing Needs,White House,Contract cleaning,,,,
0000321666,REDACTED PERSONAL INFORMATION,30/07/2024,"2,632.92",438.82,Housing Needs,Harper House,Contract cleaning,,,,
0000321671,MORGAN HUNT,26/07/2024,"1,134.00",189.00,Office Services,Customer Services,Agency Staff,,,,
0000321672,FIRST CALL CONTRACT SERVICES,26/07/2024,"2,249.28",374.88,Depot,Street Cleaning,Agency Staff,,,,
0000321674,REDACTED PERSONAL INFORMATION,26/07/2024,"2,229.23",371.54,Housing Needs,Harper House,Responsive maintenance,,,,
0000321675,REDACTED PERSONAL INFORMATION,26/07/2024,944.80,157.47,Housing Needs,White House,Responsive maintenance,,,,
0000321676,REDACTED PERSONAL INFORMATION,26/07/2024,"1,920.35",320.06,Housing Needs,Longford Village,General repairs,,,,
0000321678,AVC WISE LTD,26/07/2024,"1,292.45",215.41,Leisure,AVC Admin Holding Acc,Holding Account Expenditure,,,,
0000321681,REDACTED PERSONAL INFORMATION,26/07/2024,"3,000.00",500.00,Housing Needs,LAHF properties,LAHF property expenditure,,,,
0000321684,REDACTED PERSONAL INFORMATION,26/07/2024,"1,850.00",0.00,Housing Needs,Homelessness Prevention,Rental Payment Support,,,,
0000321685,CUSHMAN AND WAKEFIELD,26/07/2024,"1,861.40",0.00,Asset Management,Bank Unidentified Credits,Unmatched transactions,,,,
0000321686,SECURE SITE UK LIMITED,26/07/2024,892.80,148.80,Asset Management,Oast House,Site Security,,,,
0000321692,REDACTED PERSONAL INFORMATION,26/07/2024,"1,166.00",0.00,Housing Needs,Homelessness Prevention,Rents,,,,
0000321693,REDACTED PERSONAL INFORMATION,26/07/2024,"1,550.00",0.00,Housing Needs,Homelessness Prevention,"Rent, Deposits",,,,
0000321694,THE NATIONAL LEAFLET COMPANY,26/07/2024,"5,529.22",919.24,Community Safety and Corporate Services,Corporate Publicity,Borough Newspaper & annual rep,,,,
0000321696,REDACTED PERSONAL INFORMATION,26/07/2024,"1,695.94",0.00,Housing Needs,Homelessness Prevention,Other Miscellaneous Expenses,,,,
0000321697,REDACTED PERSONAL INFORMATION,29/07/2024,"2,652.27",22.04,Independent Living,Greeno Day Centre,Food Purchases,,,,
0000321698,ELECTION PAYMENTS,26/07/2024,560.00,0.00,Elections,PCC Elections May 24,Polling Staion Costs,,,,
0000321703,REDACTED PERSONAL INFORMATION,26/07/2024,933.12,155.52,Independent Living,OPAL,Temporary Staff,,,,
0000321713,SPALDINGS,30/07/2024,723.60,120.60,Depot,Grounds Maintenance,Operational Equipment purchase,,,,
0000321715,REDACTED PERSONAL INFORMATION,30/07/2024,761.40,126.90,Independent Living,Home Improvement Agency (HIA),Operational Equipment Maint.,,,,
0000321717,THE OYSTER PARTNERSHIP,30/07/2024,"4,050.00",675.00,Asset Management,Asset Management Admin,Agency Staff,,,,
0000321718,THE OYSTER PARTNERSHIP,30/07/2024,"3,432.00",572.00,Asset Management,Asset Management Admin,Agency Staff,,,,
0000321719,WAVERLEY BOROUGH COUNCIL,30/07/2024,"2,484.61",0.00,Leisure,General Staff Exp Unallocated,Consultants fees,,,,
0000321729,SAFEPLAY PLAYGROUND SERVICES LTD,30/07/2024,831.72,138.62,Environmental Health,Grounds Maintenance,Playground Improvements,,,,
0000321737,ATTGROW LIMITED,30/07/2024,"1,065.60",177.60,Depot,Grounds Maintenance,Operational equip mats & suppl,,,,
0000321744,REDACTED PERSONAL INFORMATION,30/07/2024,"2,280.00",380.00,Housing Needs,COVID ICS Step-Down Accommodat,General repairs,,,,
0000321745,REDACTED PERSONAL INFORMATION,30/07/2024,"30,802.42",0.00,Housing Needs,White House,"External Management of T/A, Responsive maintenance, Residents Support Services",,,,
0000321746,REDACTED PERSONAL INFORMATION,30/07/2024,"30,802.42",0.00,Housing Needs,White House,"External Management of T/A, Responsive maintenance, Residents Support Services",,,,
0000321747,REDACTED PERSONAL INFORMATION,30/07/2024,"6,472.58",0.00,Housing Needs,Harper House,External Management of T/A,,,,
0000321748,REDACTED PERSONAL INFORMATION,30/07/2024,"6,472.58",0.00,Housing Needs,Harper House,"External Management of T/A, Responsive maintenance, Residents Support Services",,,,
0000321750,REDACTED PERSONAL INFORMATION,30/07/2024,"1,644.00",274.00,Asset Management,SpelthorneLeisurCenDevelopment,Consultants fees,,,,
0000321751,SELLICK PARTNERSHIP LTD,30/07/2024,"1,742.40",290.40,Car Parks,Legal,Agency Staff,,,,
0000321752,LAW MORGAN LTD T/AS MORGAN LAW LTD,30/07/2024,"3,300.00",550.00,Car Parks,Procurement,Agency Staff,,,,
0000321754,KENNY RECRUITMENT LTD,30/07/2024,"9,290.16","1,548.36",Asset Management,Asset Management Admin,Recruitment Agency Fees,,,,
0000321755,REDACTED PERSONAL INFORMATION,30/07/2024,"3,696.00",0.00,Housing Needs,Rough Sleep Initiative,Rents,,,,
0000321805,REDACTED PERSONAL INFORMATION,30/07/2024,840.00,0.00,Housing Needs,Bed and Breakfast,Bed & Breakfast Accommodation,,,,
0000321806,REDACTED PERSONAL INFORMATION,30/07/2024,"4,519.00",0.00,Housing Needs,Homelessness Prevention,Rent Deposits,,,,
0000321817,REDACTED PERSONAL INFORMATION,30/07/2024,"3,176.00",0.00,Housing Needs,Homelessness Prevention,"Rents, Deposits",,,,
0000321818,REDACTED PERSONAL INFORMATION,30/07/2024,"1,312.51",0.00,Housing Needs,Rent Assure Scheme,Deposit bond claims,,,,
0000321819,REDACTED PERSONAL INFORMATION,30/07/2024,"1,269.23",0.00,Housing Needs,Rent Assure Scheme,Deposit bond claims,,,,
0000321833,VON BRADSKY ENTERPRISES LTD,30/07/2024,"2,000.00",0.00,Planning,Planning Policy and Implement,Design Code,,,,
0000321834,REDACTED PERSONAL INFORMATION,30/07/2024,"1,100.00",0.00,Housing Needs,Homelessness Prevention,Rents,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,CREDIT CARDS,,,,,,,,,,
,,,,,,,,,,,
,TESCO STORES,,20.15,0.00,Facilities Management,Tea Trolley provisions,milk,,,,
,PROFESSIONAL TRADERS,,"2,923.20",487.20,Grounds Maintenance,Grounds maintained noncontract,Blue pebbles,,,,
,TESCO STORES,,20.15,0.00,Facilities Management,Tea Trolley provisions,milk,,,,
,SUM UP THE MILLENNIUM,,48.25,3.04,Grounds Maintenance,Grounds maintained noncontract,stationery - Walled Garden,,,,
,TESCO STORES,,18.60,0.00,Facilities Management,Tea Trolley provisions,Milk,,,,
,SCREWFIX DIRECT LTD,,220.18,36.71,Parliamentary Elections 2024,Polling Staion Costs,"Wood, screwdrivers to repair booths",,,,
,AMAZON WASTE,,2.99,0.50,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,2.99,0.50,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,2.99,0.50,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,2.99,0.50,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,47.84,8.00,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,8.97,1.50,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
,AMAZON WASTE,,17.94,3.00,Neighbourhood Serv Mgt Support,Office Stationery,Bin numbers,,,,
