EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/06/2023,1610164,CV19_20230615_133027_1,5250,REDACTED,3.00000082117097E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/06/2023,300000086912408,227,17531,CITIZENS ADVICE KNOWSLEY,3.00000021613083E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/06/2023,1595145,3372171,174.83,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4571,HOTEL EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/06/2023,1595145,3372171,91.5,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/06/2023,1595145,3372171,253.1,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,29/06/2023,300000079669720,220-127,2775,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,16/06/2023,300000074840863,FBF22319,7601,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,16/06/2023,300000074840998,FBF22320,720,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,23/06/2023,300000077429090,0518,625,KELLY LOUGHLIN PHOTOGRAPHY,3.00000021671182E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/06/2023,300000078686411,02/23,4850,KNOWSLEY CARERS CENTRE,3.00000021628792E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/06/2023,300000079018505,2045,17000,KNOWSLEY DISABILITY CONCERN,3.00000021607082E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/06/2023,300000079994000,6901714914,13.58,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/06/2023,300000071125236,27/3201,1800,MACLOGIX,3.00000021668039E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/06/2023,300000069657390,4115104,724.93,MICRO COMPUTER CONSULTANTS,3.00000021630193E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,27/06/2023,300000085405865,EP-800006,28750,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,21/06/2023,300000083846495,INV-KMBC-27,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,12/06/2023,300000080879578,INV-KMBC-26,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,21/06/2023,300000083846638,2001,1990,A1 TAXI'S,3.00000045632138E14,EDUCATION AND INCLUSION,PUBLIC TRANSPORT,3606,TAXI-FARES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,19/06/2023,300000083462948,INV-0629,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,29/06/2023,300000085851064,INV-0019,24550.25,ACORNS TO OAKS CHILDRENS CARE & SUPPORT LTD,3.00000046462088E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,29/06/2023,300000086205650,230516,2550,ACR GROUP LTD (TA ACR),3.00000037311667E14,EDUCATION AND INCLUSION,NON REVENUE CAPITAL,8111,BUILDING CONSTRUCTION/CONVERSION
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,23/06/2023,300000083117546,R31IN2/00003630,5535.67,ACTION FOR CHILDRENS SERVICES LTD,3.00000021613604E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
