EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,04/08/2023,300000088447155,INV-0000054,1325,BAXENDALE EXECUTIVE TRAVEL,3.00000078156037E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/08/2023,1646119,3383864,1598.83,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/08/2023,1626119,3378212,302.4,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/08/2023,1646119,3383864,281.82,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/08/2023,1626119,3378212,17.7,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,03/08/2023,300000087882461,222 - 127,2775,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,15/08/2023,300000097411885,DF001 - Hardship Capital Funding - Halsnead Al,5650,FRIENDS OF HALSNEAD ALLOTMENT GROUP,3.0000004792555E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/08/2023,300000093713570,11967,1287,KINGFISHER DESIGN & PRINT LTD,3.00000021613658E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/08/2023,300000094381136,6901737364,60.9,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,"PRNTG, STNRY & GEN OFFICE EXPS",4292,STATIONERY
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/08/2023,300000094100997,8739,525,PARTNERSHIP FOR LEARNING CHARITY,3.00000021670497E14,COUNCIL WIDE,CATERING,4252,REFRESHMENTS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,21/08/2023,300000097931197,KC/230818,1460,SQUARE ONE MEDIA PRODUCTION,3.00000021658425E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,04/08/2023,300000095211780,INV-KMBC-32,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,04/08/2023,300000094977027,NV-KMBC-31,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,31/08/2023,300000100483905,5011,20910.5,A1 TAXI'S,3.00000045632138E14,EDUCATION AND INCLUSION,CONTRACT HIRE AND OPERATING LEASES,3403,TRANSPORT HOME - SCHOOL CONTRACT
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,30/08/2023,300000096698615,INV-0671,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,11/08/2023,300000096698609,INV-0661,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/08/2023,300000094483097,570,29785.33,ABBEY SCHOOL LTD,3.00000024360202E14,EDUCATION AND INCLUSION,OTHER LOCAL AUTHORITIES,5067,TOP UP FUNDING
