EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/05/2023,300000075907847,43040,35,3LG PRINT LTD,3.00000021632331E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,10/05/2023,300000067024680,42963,2015,3LG PRINT LTD,3.00000021632331E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,09/05/2023,1551107,CV19_20230505_163024_3,4200,Redacted,3.0000006963304E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572127,CV19_20230519_153027_5,42000,Redacted,3.00000075166881E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/05/2023,300000065922927,224,35062,CITIZEN ADVICE KNOWSLEY,3.00000021613083E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,03/05/2023,1471103,3360843,3032.39,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/05/2023,300000063205338,2223051,3195.22,ENERGY PROJECT PLUS LTD,3.00000041642239E14,COUNCIL WIDE,SALES,9212,CONTRIBUTIONS OTHER
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,05/05/2023,300000059977478,218-075,623.4,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/05/2023,300000065498139,FBF22311,19395,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/05/2023,300000065498198,FBF22310,12834,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/05/2023,300000065498149,FBF22309,98562,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/05/2023,300000065498174,FBF22308,73603,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,09/05/2023,1551106,CV19_20230505_163024_2,63000,Redacted,3.00000069448207E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572124,CV19_20230519_153027_2,8400,Redacted,3.00000075210608E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,09/05/2023,1551105,CV19_20230505_163024_1,47250,Redacted,3.00000069448182E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572123,CV19_20230519_153027_1,7350,Redacted,3.00000075166833E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572125,CV19_20230519_153027_3,63000,Redacted,3.00000075166857E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,26/05/2023,300000065700210,11772,130,KINGFISHER DESIGN & PRINT LTD,3.00000021613658E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,12/05/2023,300000060875129,64008334,1667.7,LOCAL GOVERNMENT ASSOCIATION,3.00000021607034E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,26/05/2023,300000076947937,EP-800003,28750,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/05/2023,300000065922930,EP-800005,8219,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572128,CV19_20230519_153027_6,15750,Redacted,3.00000075210656E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,05/05/2023,300000059806335,2739,445,SHINE INTERNET LTD,3.00000032358958E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/05/2023,1572126,CV19_20230519_153027_4,7350,Redacted,3.00000075210632E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/05/2023,300000078155996,5,150000,THE BIG HELP PROJECT,3.00000021614398E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,12/05/2023,300000071496102,INV-KMBC-23,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,15/05/2023,300000071496117,INV-KMBC-25,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,15/05/2023,300000071130211,INV-KMBC-24,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,12/05/2023,300000071055530,INV-KMBC-22,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/05/2023,300000075154001,5008,13443,A1 TAXI'S,3.00000045632138E14,EDUCATION AND INCLUSION,CONTRACT HIRE AND OPERATING LEASES,3403,TRANSPORT HOME - SCHOOL CONTRACT
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,23/05/2023,300000076152636,INV-0621,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,23/05/2023,300000076152645,INV-0611,1984.5,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,04/05/2023,300000055024868,Invoice G1,11812.5,ACORN THERAPY,3.00000031051006E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,24/05/2023,300000076340647,INV-0014,20571.43,ACORNS TO OAKS CHILDRENS CARE & SUPPORT LTD,3.00000046462088E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,26/05/2023,300000076288244,R31IN2/00003552,5357.1,ACTION FOR CHILDRENS SERVICES LTD,3.00000021613604E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,26/05/2023,300000065923007,2368,480,ACTIVE TT SCHOOLING LTD,3.00000021658643E14,EDUCATION AND INCLUSION,"RENT, RATES AND WATER SERVICES",2546,SERVICE CHARGE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,24/05/2023,300000064842959,2354,480,ACTIVE TT SCHOOLING LTD,3.00000021658643E14,EDUCATION AND INCLUSION,"RENT, RATES AND WATER SERVICES",2546,SERVICE CHARGE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,16/05/2023,300000073600088,AL 0927,1600,AD ELECTRONIC SECURITY,3.0000002164817E14,EDUCATION AND INCLUSION,NON REVENUE CAPITAL,8111,BUILDING CONSTRUCTION/CONVERSION
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,19/05/2023,300000063016933,56,1992,ADOPTER FOR ADOPTION,3.00000021627367E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,11/05/2023,300000060767889,206812,497,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,11/05/2023,300000060768111,206817,426,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,05/05/2023,300000057397861,206739,1424.92,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,11/05/2023,300000060846356,206840,1521.25,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,12/05/2023,300000061116341,206907,426,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,05/05/2023,300000055025270,206670,1401,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,05/05/2023,300000056956874,206686,1809.75,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,11/05/2023,300000060767886,206811,677.85,ADOPTION MATTERS,3.00000021614812E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
