EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000128248817,DS-ASE-CN-GB-2023-25806202,-18.22,AMAZON PAYMENTS UK LTD,3.00000021652437E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,18/12/2023,1768648,CV19_20231215_160031_1,30000,REDACTED,3.00000126799733E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,1738127,3401396,85.4,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,EXPENSES,4579,CONFERENCES FEES & EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,1758119,3407860,92.7,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,1738127,3401396,31.5,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/12/2023,300000116237709,226-052,2886,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,300000116104241,226-046,2886,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,300000116104262,226-047,2886,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/12/2023,300000115854581,226-053,3900,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000122868115,RCIN70/00005001,5000,FOR HOUSING LTD,3.00000021630637E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/12/2023,300000115816039,FBF22382,1244,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,12/12/2023,300000125613757,2321447,2865,GETTY IMAGES (UK) LTD,3.00000024125721E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000121716924,35156,968,HERITAGE PRINT HOLDINGS LTD,3.00000021631989E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000121914820,35160,44,HERITAGE PRINT HOLDINGS LTD,3.00000021631989E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000121914815,35159,313,HERITAGE PRINT HOLDINGS LTD,3.00000021631989E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,13/12/2023,1766132,CV19_20231212_170029_1,4000,REDACTED,3.00000125802526E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000121703440,2311,570,REDACTED,3.00000021671182E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000122381650,12169,50,KINGFISHER DESIGN & PRINT LTD,3.00000021613658E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,18/12/2023,300000127182957,13/23,5000,KNOWSLEY CARERS CENTRE,3.00000021628792E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,15/12/2023,300000126762718,2081,5495.2,KNOWSLEY DISABILITY CONCERN,3.00000021607082E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,20/12/2023,300000121426398,2,150000,KNOWSLEY FOODBANK,3.00000115854398E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,300000120097760,6901777812,-13.58,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/12/2023,300000120097820,6901714916,13.58,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,22/12/2023,300000123056814,6901782846,56.05,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,"PRNTG, STNRY & GEN OFFICE EXPS",4292,STATIONERY
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/12/2023,300000127044776,INV-10088,5040,SOCIALSIGNIN LTD T/A ORLO,3.00000021654527E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000128372719,INV-KMBC-42,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,08/12/2023,300000122037437,HSE12-WK7,200,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000122037444,HSE12-WK9,5170,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,15/12/2023,300000122381618,HSE12-WK8,4920,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000127764382,HSE12-WK10,4949,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,01/12/2023,300000122275789,HSE12-WK4,5162.5,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,08/12/2023,300000122037437,HSE12-WK7,5095,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,19/12/2023,300000127326823,HSE12-WK5,5040,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,01/12/2023,300000122037413,HSE12-WK6,5125,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,01/12/2023,300000122025571,43253,475,3LG PRINT LTD,3.00000021632331E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000123517816,1 - EMD,636,A JOURNEY THROUGH PLAY,3.00000086912336E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000121661879,3 - KF,540,A JOURNEY THROUGH PLAY,3.00000086912336E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,"EQUIPMENT, FURNITURE AND MATERIALS",4211,PROJECT COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,13/12/2023,300000125981403,5014,61440.5,A1 TAXI'S,3.00000045632138E14,EDUCATION AND INCLUSION,CONTRACT HIRE AND OPERATING LEASES,3403,TRANSPORT HOME - SCHOOL CONTRACT
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,20/12/2023,300000128025452,INV-0724,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,08/12/2023,300000117813876,INV/AL8,7900,REDACTED,3.00000047843844E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,SERVICES,4418,COUNSEL FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486254,REDACTED,200,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000127764354,A8IN14060,4992,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5356,LIVING ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486269,REDACTED,300,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486193,REDACTED,100,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486250,REDACTED,100,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,22/12/2023,300000127764348,A8IN14059,3187.2,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5356,LIVING ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486211,REDACTED,100,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486228,REDACTED,150,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486266,REDACTED,150,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,18/12/2023,300000126486262,REDACTED,200,ACTIVE 8 SUPPORT SERVICES LTD,3.00000021631433E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5333,ADDITIONAL COSTS
