EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,29/09/2023,1655936,3389201,71.1,CLICK TRAVEL LTD,3.00000021632661E14,COUNCIL WIDE,PUBLIC TRANSPORT,3600,RAIL TRANSPORT STAFF
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,20/09/2023,300000098297784,224-062,2640,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,13/09/2023,300000097476326,FBF22347,13432,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,13/09/2023,300000097476321,FBF22346,2932.4,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/09/2023,300000095211806,71103,6875,REDACTED,3.00000022055162E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/09/2023,300000106808637,08/23,4850,KNOWSLEY CARERS CENTRE,3.00000021628792E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/09/2023,300000096353992,6901739198,-95.44,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/09/2023,300000096353938,6901737499,81.24,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,01/09/2023,300000096353954,6901737498,145.65,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,ALLOWANCES,1756,FIRST AID ALLOWANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,20/09/2023,300000104364775,100042108,4500,MERSEYTRAVEL,3.00000021629335E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4663,GRANTS - ORGANISATIONS WITH SLAS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,29/09/2023,300000107053155,EP-800009,8000,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,28/09/2023,300000106547192,INV-KMBC-36,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
