EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,02/10/2023,300000107552660,43251,50,3LG PRINT LTD,3.00000021632331E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/10/2023,300000111681978,43312,434,3LG PRINT LTD,3.00000021632331E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/10/2023,1714124,CV19_20231017_093023_6,4200,REDACTED,3.00000111198301E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/10/2023,1714120,CV19_20231017_093023_2,10500,REDACTED,3.00000111200198E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/10/2023,1714121,CV19_20231017_093023_3,57435,REDACTED,3.00000111200222E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/10/2023,300000114675862,232,18938.5,CITIZENS ADVICE KNOWSLEY,3.00000021613083E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,27/10/2023,1730125,CV19_20231026_094531_6,5250,REDACTED,3.00000113671607E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/10/2023,300000102208634,RCIN70/00004768,5000,FORHOUSING LTD,3.00000022777671E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/10/2023,300000102417427,FBF22362,1860,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/10/2023,300000102417402,FBF22359,1215,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/10/2023,1714122,CV19_20231017_093023_4,62685,REDACTED,3.00000111285861E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,05/10/2023,300000101749411,71686,2850,REDACTED,3.00000022055162E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,13/10/2023,300000107212923,71840,1900,REDACTED,3.00000022055162E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,27/10/2023,1730121,CV19_20231026_094531_2,8400,REDACTED,3.00000113671535E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/10/2023,1714119,CV19_20231017_093023_1,15750,REDACTED,3.00000111198277E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
