EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,21/07/2023,300000084782959,FBF22333,5660,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,21/07/2023,300000084782975,FBF22334,1056,FUEL BANK FOUNDATION,3.00000025283776E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,12/07/2023,300000081976151,34782,260,HERITAGE PRINT HOLDINGS LTD,3.00000021631989E14,COUNCIL WIDE,MISCELLANEOUS EXPENSES,4697,PUBLICITY AND ADVERTISING AND PUBLICATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,24/07/2023,1642133,CV19_20230724_113022_1,6000,REDACTED,3.00000092453629E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,27/07/2023,300000085850514,4116866,4595.92,MICRO COMPUTER CONSULTANTS,3.00000021630193E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,04/07/2023,300000086976955,EP-800008,8000,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,04/07/2023,300000087711415,EP-800007,8219,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/07/2023,300000080839524,2873,8500,STARFISH SEARCH LTD,3.00000077291323E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,06/07/2023,300000080839506,2872,4650,STARFISH SEARCH LTD,3.00000077291323E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,28/07/2023,300000085851221,2958,2790,STARFISH SEARCH LTD,3.00000077291323E14,COUNCIL WIDE,MISCELLANEOUS,1972,RECRUITMENT EXPENSES
