EXECUTIVE DIRECTOR,BODY,BODY NAME,DATE,TRANSACTION NUMBER,INVOICE NUMBER,AMOUNT,SUPPLIER NAME,SUPPLIER ID,SERVICE THEME,EXPENSE TYPE,EXPENSE CODE,EXPENSE CODE DESCRIPTION
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,10/01/2024,300000131450699,235,18938.5,CITIZENS ADVICE KNOWSLEY,3.00000021613083E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,17/01/2024,300000127988979,228-033,2886,FAT MEDIA LTD,3.00000021651785E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4491,COMPUTER EQUIPMENT MAINTENANCE
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,31/01/2024,300000137244931,2084,19000,KNOWSLEY DISABILITY CONCERN,3.00000021607082E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,30/01/2024,300000135545052,6901793231,34.03,LYRECO UK LTD,3.00000021629546E14,COUNCIL WIDE,COMMUNICATIONS AND COMPUTING,4490,COMPUTER EQUIPMENT
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,19/01/2024,300000127109194,I0025967,10000,MERSEYSIDE FIRE AND RESCUE AUTHORITY,3.000000216427E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHIEF EXECUTIVE),00BX,KMBC,29/01/2024,300000135953161,EP-800018,23000,PRESCOT & WHISTON COMMUNITY ADVICE CENTRE,3.00000021655782E14,COUNCIL WIDE,GRANTS AND SUBSCRIPTIONS,4661,MINOR GRANTS TO VOLUNTARY ORGANISATIONS
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,16/01/2024,300000132388940,INV-KMBC-41,1000,(THE SCHOOL EP LTD),3.00000040093338E14,EDUCATION AND INCLUSION,SERVICES,4403,CONSULTANCY FEES
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,17/01/2024,300000132870661,HSE12-WK12,5085,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,25/01/2024,300000132870667,HSE12-WK14,1644.28,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,05/01/2024,300000127764408,HSE12-WK11,5030,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,24/01/2024,300000132870664,HSE12-WK13,3275,247 SUPERVISION LTD,3.00000109139619E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,15/01/2024,300000132097073,5015,46069.5,A1 TAXI'S,3.00000045632138E14,EDUCATION AND INCLUSION,CONTRACT HIRE AND OPERATING LEASES,3403,TRANSPORT HOME - SCHOOL CONTRACT
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,16/01/2024,300000132870658,INV-0741,54453.16,AABAN PARTNERSHIP LTD,3.00000035595018E14,EARLY HELP AND CHILDREN'S SOCIAL CARE,PRIVATE,5334,PLACEMENT ALLOWANCE
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,17/01/2024,300000132870990,739,29785.33,ABBEY SCHOOL LTD,3.00000024360202E14,EDUCATION AND INCLUSION,OTHER LOCAL AUTHORITIES,5067,TOP UP FUNDING
EXECUTIVE DIRECTOR (CHILDRENS SERVICES),00BX,KMBC,17/01/2024,300000132870998,741,29785.33,ABBEY SCHOOL LTD,3.00000024360202E14,EDUCATION AND INCLUSION,OTHER LOCAL AUTHORITIES,5067,TOP UP FUNDING
