Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,03/01/2023,4750697,352030,STEEL SOCIAL WORK LTD,JLT Disbursements,126,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4750697,352030,STEEL SOCIAL WORK LTD,JLT Disbursements,2500,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4750048,352032,ALANA HUGHES,JLT Disbursements,5200,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4748132,352033,MILESTONE INFRASTRUCTURE LTD,Small Transport Schemes,514.58,Contractors,SUB-CONTRACTOR,STANDARD,8879,ZZZC-Capital
RBC Legal Entity,03/01/2023,4748132,352033,MILESTONE INFRASTRUCTURE LTD,Civil Engineering,2058.32,Street Lighting,SUB-CONTRACTOR,STANDARD,4550,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4748132,352033,MILESTONE INFRASTRUCTURE LTD,Invest to Save Street lighting,6174.96,Contractors,SUB-CONTRACTOR,STANDARD,8882,ZZZC-Capital
RBC Legal Entity,03/01/2023,4749471,352033,MILESTONE INFRASTRUCTURE LTD,Civil Engineering,37377.74,Street Lighting,SUB-CONTRACTOR,STANDARD,4550,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4750834,352034,ADVANCED BUSINESS SOFTWARE & SOLUTIONS LTD,Finance systems Re-procurement,1533.3,Staff/Consultancy,Third Party Supplier,STANDARD,8637,ZZZC-Capital
RBC Legal Entity,03/01/2023,4749907,352035,CWG GROUP LTD,Whitley Park Infant,1467.02,External Fees  Misc.,SUB-CONTRACTOR,STANDARD,8233,ZZZC-Capital
RBC Legal Entity,03/01/2023,4749457,352036,DAVIES & CO (ENVIRONMENTAL),Crematorium,2266,Plant Maintenance,INDIVIDUAL,STANDARD,4606,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,0.46,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,16.56,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,18,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,21,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,30.96,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,159.84,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,172.8,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,185.76,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,349.16,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,816.06,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,954.54,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747866,352038,WJ SOUTH LTD,Local Safety Schemes,7350,Contractors,SUB-CONTRACTOR,STANDARD,8852,ZZZC-Capital
RBC Legal Entity,03/01/2023,4751006,352040,DR GERRIE HOLLOWAY,JLT Disbursements,1037.43,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4746512,352041,JONATHAN WITHAM,Accountancy,2700,Professional Fees,INDIVIDUAL,STANDARD,2200,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4737482,352042,TPXIMPACT LTD,Future ICT operating model,5681.25,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,03/01/2023,4747840,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,207.9,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4747840,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,247.5,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4747840,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,3500,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4750045,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,12.83,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4750045,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,67.5,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4750045,352043,CLOUDLINE CONSULTANCY LTD,JLT Disbursements,2500,Misc. Legal Expenses,Third Party Supplier,STANDARD,2407,LAAA-Directorate of Resources
RBC Legal Entity,03/01/2023,4753368,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,350,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753368,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,525,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753368,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,875,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753369,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,426,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753369,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,3150,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753399,352044,SCAMMELL COMMERCIAL LTD,Fleet Management,700,Vehicle Spot Hire,Third Party Supplier,STANDARD,4552,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,03/01/2023,4753280,352045,CARE4U WE LTD,Mental Health Community Services,7680,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753281,352045,CARE4U WE LTD,LD Community Services,10283,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753282,352045,CARE4U WE LTD,LD Community Services,2180.88,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753283,352045,CARE4U WE LTD,Mental Health Community Services,1758.16,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753284,352045,CARE4U WE LTD,LD Community Services,1942.5,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753285,352045,CARE4U WE LTD,Mental Health Community Services,2789.9,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753286,352045,CARE4U WE LTD,Mental Health Community Services,2526.54,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,03/01/2023,4753287,352045,CARE4U WE LTD,LD Community Services,658.4,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
