Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,07/12/2022,4741909,350241,CREAM DESIGN LTD,Preparing for Adulthood Service,450,Advertising - General,SUPPLIER,STANDARD,5720,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746126,350242,SIMPLE RECRUITMENT SERVICES LIMITED,Hexagon Operations,603.35,Equipment Hire,Third Party Supplier,STANDARD,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747088,350243,DORMY HOUSE CARE HOME WITH NURSING,PS Acquired Nursing,3900,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747250,350243,DORMY HOUSE CARE HOME WITH NURSING,PS Acquired Nursing,4000,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747075,350245,ST MATTHEWS HEALTHCARE,Mental Health Residential,908.6,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747126,350245,ST MATTHEWS HEALTHCARE,PS Acquired Nursing,2960,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747115,350246,GRACEWELL HEALTHCARE 3 LTD,PS Acquired Nursing,3669.16,Purchased Care,Direct Payments,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747139,350248,SILVERSPRINGS RCH LTD,LD Residential,7000,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4737238,350249,AGILISYS LIMITED,Future ICT operating model,5547.73,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,07/12/2022,4737238,350249,AGILISYS LIMITED,Future ICT operating model,3768.05,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,07/12/2022,4737238,350249,AGILISYS LIMITED,Future ICT operating model,359.41,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,07/12/2022,4737239,350249,AGILISYS LIMITED,Future ICT operating model,4895.57,Other  Capitalisation,Third Party Supplier,STANDARD,8636,ZZZC-Capital
RBC Legal Entity,07/12/2022,4747073,350250,BENTLEY LODGE CARE HOME LTD,PS Acquired Nursing,3000,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747128,350251,WINDSAR CARE CENTRE LTD,PS Acquired Residential,3876,Purchased Care,Third Party Supplier,STANDARD,5772,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747195,350251,WINDSAR CARE CENTRE LTD,Mental Health Residential,2280,Purchased Care,Third Party Supplier,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747260,350251,WINDSAR CARE CENTRE LTD,Mental Health Residential,2448,Purchased Care,Third Party Supplier,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747265,350251,WINDSAR CARE CENTRE LTD,PS Acquired Nursing,3800,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747142,350252,WILLIAM MORRIS COLLEGE LIMITED,LD Residential,14822.72,Purchased Care,Third Party Supplier,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4742208,350253,BRIDGET DOLAN QC,Coroner,1125,External Legal Services,INDIVIDUAL,STANDARD,4605,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747248,350254,BRAMLEY HEALTH,LD Residential,7111.84,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747188,350255,BRAMLEY HEALTH,M&C Acquired Nursing,4704,Purchased Care,SUPPLIER,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747216,350255,BRAMLEY HEALTH,Mental Health Residential,1940.4,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747263,350257,REAL LIFE OPTIONS,LD Residential,2292,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4737623,350258,DEELAND LTD T/A SERVICEMASTER,Void Property Management,833.75,Office Cleaning,Third Party Supplier,STANDARD,5921,HAAA-Housing Revenue Account
RBC Legal Entity,07/12/2022,4737393,350259,F M CONWAY LTD,Highways and Drainage,433.09,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4737396,350259,F M CONWAY LTD,Highways and Drainage,433.09,Materials Direct,SUB-CONTRACTOR,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747185,350260,BARCLAY HOUSE,PS Acquired Nursing,9001.56,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747117,350261,SHINFIELD LODGE CARE LIMITED,Mental Health Residential,2570.4,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4737913,350262,ACCREDO SUPPORT & DEVELOPMENT LTD,Mental Health Community Services,973.52,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747246,350264,VALORUM CARE LTD,PS Acquired Nursing,3622.08,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747246,350264,VALORUM CARE LTD,PS Acquired Nursing,-719.88,Client Contrib. Residential,SUPPLIER,CREDIT,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4739443,350265,BERKSHIRE ROOMS,Bed and Breakfast,910,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746598,350265,BERKSHIRE ROOMS,Bed and Breakfast,980,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746601,350265,BERKSHIRE ROOMS,Bed and Breakfast,133,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746601,350265,BERKSHIRE ROOMS,Bed and Breakfast,532,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746606,350265,BERKSHIRE ROOMS,Bed and Breakfast,110,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746606,350265,BERKSHIRE ROOMS,Bed and Breakfast,132,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746606,350265,BERKSHIRE ROOMS,Bed and Breakfast,528,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746621,350265,BERKSHIRE ROOMS,Bed and Breakfast,520,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746621,350265,BERKSHIRE ROOMS,Bed and Breakfast,78,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746621,350265,BERKSHIRE ROOMS,Bed and Breakfast,312,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746622,350265,BERKSHIRE ROOMS,Bed and Breakfast,196,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746622,350265,BERKSHIRE ROOMS,Bed and Breakfast,784,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746623,350265,BERKSHIRE ROOMS,Bed and Breakfast,910,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746624,350265,BERKSHIRE ROOMS,Bed and Breakfast,616,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746624,350265,BERKSHIRE ROOMS,Bed and Breakfast,154,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746625,350265,BERKSHIRE ROOMS,Bed and Breakfast,133,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746625,350265,BERKSHIRE ROOMS,Bed and Breakfast,532,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4737593,350266,CERTAS ENERGY UK LTD,Corporate FM - Office Buildings,35682.5,Fuel + Oil,SUPPLIER,STANDARD,3738,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747119,350267,HEREWARDS HOUSE LTD,Mental Health Residential,1326,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4737029,350268,HOUSING GENIE LTD,Bed and Breakfast,525,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4737030,350268,HOUSING GENIE LTD,Bed and Breakfast,630,Rents,Third Party Supplier,STANDARD,5871,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4738340,350269,EDWARD ELTON,Legal Services,600,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2400,LAAA-Directorate of Resources
RBC Legal Entity,07/12/2022,4746664,350270,MMCG (2) LIMITED,Mental Health Nursing,1575,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746665,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746666,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746667,350270,MMCG (2) LIMITED,Social Support,3147.6,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746668,350270,MMCG (2) LIMITED,M&C Acquired Nursing,-3602.06,Purchased Care,Third Party Supplier,CREDIT,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746669,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746670,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746674,350270,MMCG (2) LIMITED,PS Acquired Nursing,3500,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746677,350270,MMCG (2) LIMITED,Social Support,3500,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746678,350270,MMCG (2) LIMITED,PS Acquired Nursing,3500,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746679,350270,MMCG (2) LIMITED,PS Acquired Nursing,548.4,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746687,350270,MMCG (2) LIMITED,PS Acquired Nursing,3046.72,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746689,350270,MMCG (2) LIMITED,PS Acquired Nursing,3572.04,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746692,350270,MMCG (2) LIMITED,PS Acquired Nursing,3677.12,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746694,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746695,350270,MMCG (2) LIMITED,PS Acquired Nursing,3782.16,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746696,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746697,350270,MMCG (2) LIMITED,PS Acquired Nursing,1371.68,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746698,350270,MMCG (2) LIMITED,M&C Acquired Nursing,4194,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746701,350270,MMCG (2) LIMITED,Social Support,3500,Purchased Care,Third Party Supplier,STANDARD,5790,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746702,350270,MMCG (2) LIMITED,Mental Health Nursing,1800,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746712,350270,MMCG (2) LIMITED,PS Acquired Nursing,3046.72,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746713,350270,MMCG (2) LIMITED,PS Acquired Nursing,3214.84,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746714,350270,MMCG (2) LIMITED,PS Acquired Nursing,3046.76,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746716,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746717,350270,MMCG (2) LIMITED,M&C Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746718,350270,MMCG (2) LIMITED,M&C Acquired Nursing,3782.16,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746721,350270,MMCG (2) LIMITED,PS Acquired Nursing,3500,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746723,350270,MMCG (2) LIMITED,M&C Acquired Nursing,7200,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746724,350270,MMCG (2) LIMITED,PS Acquired Nursing,971.43,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746726,350270,MMCG (2) LIMITED,Mental Health Nursing,1285.92,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746728,350270,MMCG (2) LIMITED,PS Acquired Nursing,-1140.57,Respite Care,Third Party Supplier,CREDIT,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746731,350270,MMCG (2) LIMITED,Mental Health Nursing,2138.92,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746733,350270,MMCG (2) LIMITED,PS Acquired Nursing,2097,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746736,350270,MMCG (2) LIMITED,PS Acquired Nursing,3572.04,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746737,350270,MMCG (2) LIMITED,PS Acquired Nursing,3361.92,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746738,350270,MMCG (2) LIMITED,PS Acquired Nursing,4194,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746740,350270,MMCG (2) LIMITED,Mental Health Nursing,3782.16,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746742,350270,MMCG (2) LIMITED,PS Acquired Nursing,3677.12,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746743,350270,MMCG (2) LIMITED,Mental Health Residential,3600,Purchased Care,Third Party Supplier,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746744,350270,MMCG (2) LIMITED,PS Acquired Nursing,3572.04,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746745,350270,MMCG (2) LIMITED,M&C Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746746,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746747,350270,MMCG (2) LIMITED,PS Acquired Nursing,3147.6,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746748,350270,MMCG (2) LIMITED,PS Acquired Nursing,3572.04,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746749,350270,MMCG (2) LIMITED,M&C Acquired Nursing,3782.16,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746757,350270,MMCG (2) LIMITED,PS Acquired Nursing,3572.04,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746095,350271,Z IQBAL,Housing Advice,538.5,Responsive Repairs,Landlord,STANDARD,5820,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747056,350273,MANORHEY CARE CENTRE,Mental Health Residential,3999.24,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747199,350274,THE PINES,Mental Health Residential,3731.2,Purchased Care,SUPPLIER,STANDARD,5732,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4742214,350277,CONTRACT OPTIONS LTD,Highways and Drainage,2443.57,Subcontractors Labour,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746554,350279,LAND SURVEY SOLUTIONS (MIDLANDS) LTD,Property Development,750,Surveys,Third Party Supplier,STANDARD,5995,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746554,350279,LAND SURVEY SOLUTIONS (MIDLANDS) LTD,Property Development,3225,Surveys,Third Party Supplier,STANDARD,5995,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746554,350279,LAND SURVEY SOLUTIONS (MIDLANDS) LTD,Property Development,600,Surveys,Third Party Supplier,STANDARD,5995,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4738339,350280,NEWAUTO LTD T/A MOGO,Taxi & Private Hire Licensing,686.04,Equipment Purchase & Repair,Third Party Supplier,STANDARD,4603,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747055,350282,AUTISM CARE WILTSHIRE,LD Residential,9076.92,Purchased Care,Direct Payments,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4739777,350283,CARE4U WE LTD,LD Community Services,3549.1,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4739778,350283,CARE4U WE LTD,Mental Health Community Services,1379.32,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4739779,350283,CARE4U WE LTD,LD Community Services,8295.84,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4739780,350283,CARE4U WE LTD,Mental Health Community Services,8295.84,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4737718,350287,WJ SOUTH LTD,Civil Engineering,530.33,H.M.Road Markings,SUB-CONTRACTOR,STANDARD,4550,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4737012,350288,LONDON & KENT SAFETY TRAINING AT LTD,HMO Licensing,666,Training & Development Costs,Third Party Supplier,STANDARD,4600,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4747087,350289,PARK AVENUE LTD,Mental Health Nursing,3378.28,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747144,350290,THE RIDERS,Mental Health Nursing,2380,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747146,350290,THE RIDERS,Mental Health Nursing,1920,Purchased Care,Third Party Supplier,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747147,350290,THE RIDERS,M&C Acquired Nursing,3252.96,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747208,350290,THE RIDERS,M&C Acquired Nursing,4579.2,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Performances,11955,Ticket SalesPerformances,Third Party Supplier,STANDARD,1202,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,6939.29,Professional Fees,Third Party Supplier,STANDARD,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,60,Professional Fees,Third Party Supplier,STANDARD,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-189.37,Royalties,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-10642.77,Ticket SalesPerformances,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-189,Security Charges,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-60,Hire of Function Rooms,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-340.86,Credit Card Commission,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746558,350291,SWEENEY ENTERTAINMENTS LTD,Hexagon Operations,-593,Administration Charges,Third Party Supplier,CREDIT,1200,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,07/12/2022,4746902,350292,SALVERE,LD Community Services,5972.84,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747204,350293,PLANSHORE T/A PARKVIEW NURSING HOME,PS Acquired Nursing,3600,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747266,350294,NELLSAR LTD T/A PRINCESS CHRISTIAN CARE CENTRE,M&C Acquired Nursing,8456,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4747210,350297,ABBEYFIELD DEMENTIA CARE HOME ,PS Acquired Residential,4400,Purchased Care,Direct Payments,STANDARD,5772,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746663,350298,CARE UK COMMUNITY PARTNERSHIPS LTD,M&C Acquired Nursing,836.76,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746672,350298,CARE UK COMMUNITY PARTNERSHIPS LTD,PS Acquired Nursing,836.76,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746675,350298,CARE UK COMMUNITY PARTNERSHIPS LTD,M&C Acquired Nursing,3496.46,Purchased Care,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746710,350298,CARE UK COMMUNITY PARTNERSHIPS LTD,M&C Acquired Nursing,48222.6,EMI,Third Party Supplier,STANDARD,5753,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4746753,350298,CARE UK COMMUNITY PARTNERSHIPS LTD,PS Acquired Nursing,836.76,Purchased Care,Third Party Supplier,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,07/12/2022,4738338,350301,MR JOHN FITZSIMONS,Legal Services,1500,Misc. Legal Expenses,INDIVIDUAL,STANDARD,2400,LAAA-Directorate of Resources
