Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (œ),Purpose,Supplier Type (Internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/12/2022,4745699,349681,DUNRAVEN HOUSE,Mental Health Community Services,1874.44,Purchased Care,SUPPLIER,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745700,349681,DUNRAVEN HOUSE,Mental Health Community Services,1813.97,Purchased Care,SUPPLIER,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745582,349682,RADIS COMMUNITY CARE,M&C Acquired Community Services,966.28,Purchased Care,Third Party Supplier,STANDARD,5751,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745583,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,690.2,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745584,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,828.24,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745586,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,828.24,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745589,349682,RADIS COMMUNITY CARE,M&C Acquired Community Services,631.04,Purchased Care,Third Party Supplier,STANDARD,5751,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745590,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,966.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745591,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,2484.72,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745592,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,690.2,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745593,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,2386.12,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745594,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,966.28,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745595,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,690.2,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745596,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,2218.5,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745597,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,1242.36,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745600,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,1104.32,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745602,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,1104.32,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745603,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,1656.48,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745605,349682,RADIS COMMUNITY CARE,PS Acquired Community Services,2563.6,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737109,349690,SIMONE SURVEYS LTD,Ranikhet Primary,450,External Fees  Misc.,SUB-CONTRACTOR,STANDARD,8226,ZZZC-Capital
RBC Legal Entity,01/12/2022,4745665,349692,DIMENSIONS (UK) LTD,LD Community Services,5280.32,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745666,349692,DIMENSIONS (UK) LTD,LD Community Services,5527.84,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745667,349692,DIMENSIONS (UK) LTD,LD Community Services,8368.16,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745668,349692,DIMENSIONS (UK) LTD,LD Community Services,1113.84,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745669,349692,DIMENSIONS (UK) LTD,LD Community Services,12623.52,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745672,349692,DIMENSIONS (UK) LTD,LD Community Services,6447.2,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745687,349692,DIMENSIONS (UK) LTD,LD Community Services,510.9,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745691,349692,DIMENSIONS (UK) LTD,LD Community Services,510.9,Purchased Care,Third Party Supplier,STANDARD,5741,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737669,349693,BERKSHIRE HEALTHCARE NHS TRUST,Berkshire West Public Health Hub,161416.67,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737669,349693,BERKSHIRE HEALTHCARE NHS TRUST,Berkshire West Public Health Hub,232500,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4737669,349693,BERKSHIRE HEALTHCARE NHS TRUST,Berkshire West Public Health Hub,156250,NHS Trusts,Third Party Supplier,STANDARD,2002,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4742392,349696,VOYAGE CARE,Mental Health Community Services,3037.89,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4742395,349696,VOYAGE CARE,Mental Health Community Services,-3037.89,Purchased Care,Third Party Supplier,CREDIT,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745634,349696,VOYAGE CARE,Mental Health Community Services,1367.05,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4734717,349697,FLEETWOOD GRAB SERVICES LIMITED,Highways and Drainage,1054,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734717,349697,FLEETWOOD GRAB SERVICES LIMITED,Highways and Drainage,527,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734717,349697,FLEETWOOD GRAB SERVICES LIMITED,Highways and Drainage,280,Materials Direct,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734717,349697,FLEETWOOD GRAB SERVICES LIMITED,Highways and Drainage,1180,Waste Disposal,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4734717,349697,FLEETWOOD GRAB SERVICES LIMITED,Highways and Drainage,1770,Waste Disposal,Third Party Supplier,STANDARD,4252,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4738301,349698,ROUND WAVE LTD,Cultural Services Marketing,3000,Publicity & Media Work,SUPPLIER,STANDARD,1235,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745264,349699,BEN BANKS,The Maples Resource Centre,1500,Other Office Expenses,Third Party Supplier,STANDARD,5162,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4736943,349701,GS ECOLOGY LTD,Planning,525,TPP  Contract,SUPPLIER,STANDARD,4700,KAAA-Directorate of Economic Growth and Neighbourhood Services
RBC Legal Entity,01/12/2022,4745631,349703,BROOK HOUSE RESIDENTIAL CARE HOME LTD,Mental Health Community Services,1384.28,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745610,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,1029.92,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745615,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,655.84,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745616,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,1132.68,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745617,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,1201.2,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745618,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,892.12,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745619,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,933.56,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745620,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,811.2,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745621,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,1132.68,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745635,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,865.4,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745638,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,792.76,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745649,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,557.08,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4745650,349704,CREATIVE SUPPORT LTD,Mental Health Community Services,587.2,Purchased Care,Third Party Supplier,STANDARD,5731,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739686,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,621.18,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739686,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-178.22,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739693,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,621.18,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739693,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-178.22,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739695,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,566.95,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739695,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-162.66,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739696,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,621.18,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739696,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-178.22,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
RBC Legal Entity,01/12/2022,4739698,349705,SURECARE (READING & EAST BERKSHIRE),PS Acquired Community Services,877.54,Purchased Care,Third Party Supplier,STANDARD,5771,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/12/2022,4739698,349705,SURECARE (READING & EAST BERKSHIRE),Assets _ General,-251.77,Payments in Advance,Third Party Supplier,CREDIT,9885,ZZZB-Balance Sheet
