Purchasing Organisation,Payment Date,Voucher Number (Internal Classification),Payment Number,Supplier Name,Service Area,Amount (£),Purpose,Supplier Type (internal Classification),Invoice Type (Internal Classification),Cost Centre No,Directorate
RBC Legal Entity,01/02/2023,4762680,354550,WOKINGHAM BOROUGH COUNCIL,Repairs,607.62,Minor Voids,Third Party Supplier,STANDARD,5970,HAAA-Housing Revenue Account
RBC Legal Entity,01/02/2023,4762968,354551,STROUD COURT COMMUNITY TRUST,LD Residential,-614.4,Client Contrib. Residential,SUPPLIER,CREDIT,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762968,354551,STROUD COURT COMMUNITY TRUST,LD Residential,6360.88,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762962,354552,LANDLACE CAREHOMES LTD,LD Residential,4437.12,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762852,354554,TCM PARTNERSHIP,LD Residential,-438.8,Client Contrib. Residential,SUPPLIER,CREDIT,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762852,354554,TCM PARTNERSHIP,LD Residential,8322.24,Purchased Care,SUPPLIER,STANDARD,5742,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4756107,354556,NEC SOFTWARE SOLUTIONS UK LTD,Admin Account,2376.07,Software Support,Third Party Supplier,STANDARD,5960,HAAA-Housing Revenue Account
RBC Legal Entity,01/02/2023,4762631,354557,A2 DOMINION GROUP,Charles Clore Court,3919.02,Rents,Third Party Supplier,STANDARD,5157,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762744,354558,BUPA CARE SERVICES,PS Acquired Nursing,5557,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762745,354558,BUPA CARE SERVICES,PS Acquired Nursing,5557,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762746,354558,BUPA CARE SERVICES,PS Lifelong Nursing,5557,Purchased Care,SUPPLIER,STANDARD,5783,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762748,354558,BUPA CARE SERVICES,PS Acquired Nursing,627.16,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762749,354558,BUPA CARE SERVICES,PS Acquired Nursing,5557,Purchased Care,SUPPLIER,STANDARD,5773,JAAA-Directorate of Social Care and Health Services
RBC Legal Entity,01/02/2023,4762750,354558,BUPA CARE SERVICES,Mental Health Nursing,5557,Purchased Care,SUPPLIER,STANDARD,5733,JAAA-Directorate of Social Care and Health Services
