* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Training Expenses (External),45328,501,NDORS TRAINER
Works Fees (External),45330,151808,WILLMOTT DIXON CONSTRUCTION LTD
Works Fees (External),45342,191603.11,WILLMOTT DIXON CONSTRUCTION LTD
Vehicle Purchase,45328,28181.66,WILKER UK LIMITED
Police - Other Third Party Payments,45349,3764.91,WIGAN ATHLETIC COMMUNITY TRUST
Police - Vehicle Workshop Parts,45328,765,WHITEGATE VEHICLE SOLUTIONS LTD
Hire of Transport,45351,1112.9,WHITEGATE VEHICLE SOLUTIONS LTD
Hire of Transport,45351,719.2,WHITEGATE VEHICLE SOLUTIONS LTD
Equipment General,45328,1100,WHITE RIBBON UK
PCC Commissioning - Community Liason,45328,575,WESTMINSTER INSIGHT
PCC Commissioning - Community Liason,45335,10000,WEST LANCASHIRE BOROUGH COUNCIL
Vehicle Purchase,45349,29069.63,VOLKSWAGEN GROUP UNITED KINGDOM LTD
Police - Mobile Data,45342,1776,VODAFONE LTD
Police - Mobile Data,45349,1776,VODAFONE CORPORATE LTD INACTIVE
Training Expenses (External),45328,960,NDORS TRAINER
Police - Other Investigative Expenses,45328,2232,VIDENDA IMAGERY ANALYSIS
Consultant Fees,45328,77007.5,VICTIM SUPPORT LANCASHIRE
Site Investigations,45337,1295,UNDA CONSULTING LTD
Training Expenses (External),45328,192668,UKROED LTD
Computer Maintenance,45330,7706.03,UK TELEMATICS
Computer Maintenance,45330,7706.03,UK TELEMATICS
Computer Maintenance,45337,1212.65,UK TELEMATICS
Computer Maintenance,45337,1212.65,UK TELEMATICS
Computer Maintenance,45337,1374.27,UK TELEMATICS
Computer Maintenance,45337,1374.27,UK TELEMATICS
Police - Training Expenses for DHEP ( Degree Holder Entry ),45351,90000,UCLAN - UNIVERSITY OF CENTRAL LANCASHIRE
Catering Service (External),45328,657.21,TURNER PRICE LTD
Catering Service (External),45328,615.8199999999999,TURNER PRICE LTD
Catering Service (External),45328,1256.99,TURNER PRICE LTD
Catering Service (External),45330,2699.11,TURNER PRICE LTD
Catering Service (External),45330,835.15,TURNER PRICE LTD
Catering Service (External),45330,563.1600000000001,TURNER PRICE LTD
Catering Service (External),45330,563.1600000000001,TURNER PRICE LTD
Catering Service (External),45330,1735.08,TURNER PRICE LTD
Catering Service (External),45330,1735.08,TURNER PRICE LTD
Catering Service (External),45330,1440.32,TURNER PRICE LTD
Catering Service (External),45330,835.15,TURNER PRICE LTD
Catering Service (External),45342,2546.94,TURNER PRICE LTD
Catering Service (External),45342,511.1,TURNER PRICE LTD
Catering Service (External),45342,532.69,TURNER PRICE LTD
Catering Service (External),45344,3484.61,TURNER PRICE LTD
Catering Service (External),45344,863.33,TURNER PRICE LTD
Catering Service (External),45349,1985.43,TURNER PRICE LTD
Catering Service (External),45349,593.81,TURNER PRICE LTD
Catering Service (External),45349,949.3699999999999,TURNER PRICE LTD
Catering Service (External),45351,1630.1000000000001,TURNER PRICE LTD
Catering Service (External),45351,518.8,TURNER PRICE LTD
Catering Service (External),45351,793.22,TURNER PRICE LTD
Catering Service (External),45351,867.59,TURNER PRICE LTD
Catering Service (External),45351,570.59,TURNER PRICE LTD
Clothing & Uniform,45349,1036.4,TRY & LILLY LTD
Police - Other Third Party Payments,45351,1800,TRUESPIN DIGITAL LIMITED
Vehicle Purchase,45349,27646.769999999997,TOYOTA GB PLC
Vehicle Purchase,45349,27646.769999999997,TOYOTA GB PLC
Vehicle Purchase,45349,27646.769999999997,TOYOTA GB PLC
Clothing & Uniform,45328,1095.6,TOTAL INSIGNIA LTD
Clothing & Uniform,45330,3931.25,TOTAL INSIGNIA LTD
Clothing & Uniform,45330,506.22,TOTAL INSIGNIA LTD
Police - Agents Fees,45335,2410,TLT LLP
Police - Agents Fees,45337,6565,TLT LLP
Police - Agents Fees,45337,12099.8,TLT LLP
Police - Agents Fees,45337,5840,TLT LLP
Police - Counsel Fees,45344,1750,TLT LLP
Police - Agents Fees,45344,1855,TLT LLP
Police - Agents Fees,45349,8000,TLT LLP
Works Fees (External),45351,4612,TLT LLP
Police - Legal Costs,45351,4000,TLT LLP
Works Fees (External),45351,5497,TLT LLP
Works Fees (External),45351,1554,TLT LLP
Catering Service (External),45328,679.37,TIFFIN SANDWICHES LTD
Catering Service (External),45330,787.71,TIFFIN SANDWICHES LTD
Catering Service (External),45342,718.8,TIFFIN SANDWICHES LTD
Catering Service (External),45349,1075.59,TIFFIN SANDWICHES LTD
