* Expenditure Category,* Date,TOTAL,* SUPPLIER FINAL
Training Expenses (External),45363,560,NDORS TRAINER
Training Expenses (External),45363,581,NDORS TRAINER
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Equipment General,45377,12821.810000000001,XLR8 SPORTS LTD T/A LEISURE LAKES BIKES
Photocopying,45370,57555.42999999999,XEROX (UK) LTD
PCC Commissioning - Community Liason,45358,40000,WYRE BOROUGH COUNCIL
Cleaning Materials,45365,804.44,WRENNALLS GROUP LTD
IT Consultancy,45370,26160,WPC SOFTWARE
Training Expenses (External),45370,1740,WILTSHIRE POLICE AUTHORITY
Equipment General,45372,950.3499999999999,WILLIAM MOORE & SON (PRESTON) LTD
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,49016.71,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Vehicle Purchase,45372,19203.19,WILKER UK LIMITED
Hire of Transport,45370,1122.1,WHITEGATE VEHICLE SOLUTIONS LTD
Hire of Transport,45379,672.8,WHITEGATE VEHICLE SOLUTIONS LTD
Equipment General,45379,1356.5,WEX PHOTO VIDEO
Equipment General,45379,1968.72,WEX PHOTO VIDEO
PCC Commissioning - Community Liason,45370,97757.84,WEST LANCASHIRE BOROUGH COUNCIL
Waste Collection Charges,45358,1328.3,WASTECARE LTD
Waste Collection Charges,45358,1328.3,WASTECARE LTD
Police - Vehicle Workshop Parts,45355,-3144.96,VOLVO CAR UK LTD
Police - Vehicle Workshop Parts,45355,-1365.33,VOLVO CAR UK LTD
Training Expenses (External),45356,1040,NDORS TRAINER
Training Expenses (External),45363,3645.83,VILLAGE HOTEL CLUB BLACKPOOL
Consultant Fees,45356,-77007.5,VICTIM SUPPORT LANCASHIRE
Consultant Fees,45356,2971.57,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45356,2971.57,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45356,22738.13,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45356,18284.58,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45356,198039.83,VICTIM SUPPORT LANCASHIRE
PCC Commissioning - Public Protection,45363,50301.83,VICTIM SUPPORT LANCASHIRE
Police - Scientific Support Equipment,45370,1053,VEOLIA WATER PURIFICATION SYSTEMS LTD
Police - Other Investigative Expenses,45370,550,UNIVERSITY OF LIVERPOOL
Police - Qualification Training,45379,15500,UNIVERSITY OF CAMBRIDGE
Police - Accreditation,45372,16951,UNITED KINGDOM ACCREDITATION SERVICE
Police - Accreditation,45372,33907.75,UNITED KINGDOM ACCREDITATION SERVICE
Police - Accreditation,45372,-624,UNITED KINGDOM ACCREDITATION SERVICE
Police - Accreditation,45372,4763,UNITED KINGDOM ACCREDITATION SERVICE
Training Expenses (External),45365,163954,UKROED LTD
Computer Maintenance,45365,7693.23,UK TELEMATICS
Catering Service (External),45356,660.23,TURNER PRICE LTD
Catering Service (External),45356,652.5699999999999,TURNER PRICE LTD
Catering Service (External),45358,599.5,TURNER PRICE LTD
Catering Service (External),45358,1874.42,TURNER PRICE LTD
Catering Service (External),45363,2515.29,TURNER PRICE LTD
Catering Service (External),45363,892.49,TURNER PRICE LTD
Catering Service (External),45363,648.9300000000001,TURNER PRICE LTD
Catering Service (External),45365,2016.13,TURNER PRICE LTD
Catering Service (External),45365,569.48,TURNER PRICE LTD
Catering Service (External),45365,781.85,TURNER PRICE LTD
Catering Service (External),45370,2965.96,TURNER PRICE LTD
Catering Service (External),45372,1837.7599999999998,TURNER PRICE LTD
Catering Service (External),45372,1837.7599999999998,TURNER PRICE LTD
Catering Service (External),45377,640.8,TURNER PRICE LTD
Catering Service (External),45377,640.8,TURNER PRICE LTD
Catering Service (External),45377,2321.19,TURNER PRICE LTD
Catering Service (External),45377,2321.19,TURNER PRICE LTD
Catering Service (External),45377,931.98,TURNER PRICE LTD
Catering Service (External),45377,931.98,TURNER PRICE LTD
Catering Service (External),45379,2179.99,TURNER PRICE LTD
Catering Service (External),45379,2179.99,TURNER PRICE LTD
Clothing & Uniform,45358,9400.32,TRY & LILLY LTD
Training Expenses (External),45363,600,TPB TRAINING LTD
Police - Other Third Party Payments,45379,3440,TOWERCOURT TRAINING SOLUTIONS LTD
Police - Guest Speakers,45372,1000,TONY WHITTLE QPM
Police - Guest Speakers,45379,1000,TONY WHITTLE QPM
Police - Other Third Party Payments,45363,25000,TONIC CONSULTANTS LTD
Acquisition Fees (External),45377,1125,TLT LLP
Police - Agents Fees,45379,910,TLT LLP
Catering Service (External),45356,723.4,TIFFIN SANDWICHES LTD
Catering Service (External),45363,708.07,TIFFIN SANDWICHES LTD
Catering Service (External),45377,725.06,TIFFIN SANDWICHES LTD
Catering Service (External),45379,800.06,TIFFIN SANDWICHES LTD
Catering Service (External),45379,726.64,TIFFIN SANDWICHES LTD
Equipment General,45379,1175,THOMAS JACKS LTD
Equipment General,45379,1175,THOMAS JACKS LTD
Partnership Grants,45370,3864,THE UNIVERSITY OF MANCHESTER
