1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,NOVEMBER,20/10/23,14/11/23,11 KINGS BENCH WALK,800657,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 5,850.00 "
2023/24,NOVEMBER,25/10/23,10/11/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,NOVEMBER,30/08/23,02/11/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,NOVEMBER,15/09/23,01/11/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,300.00 "
2023/24,NOVEMBER,05/10/23,01/11/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 21,400.00 "
2023/24,NOVEMBER,27/07/23,01/11/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 10,950.00 "
2023/24,NOVEMBER,30/05/23,01/11/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,450.00 "
2023/24,NOVEMBER,05/07/23,01/11/23,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 3,000.00 "
2023/24,NOVEMBER,26/10/23,01/11/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,NOVEMBER,15/11/23,27/11/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,NOVEMBER,20/11/23,27/11/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,NOVEMBER,18/10/23,02/11/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 460.00 
