1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,FEBRUARY,21/02/24,29/02/24,1 KINGS BENCH WALK CHAMBERS,825430,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,FEBRUARY,05/02/24,21/02/24,1 KINGS BENCH WALK CHAMBERS,825430,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 775.00 
2023/24,FEBRUARY,12/02/24,19/02/24,1 KINGS BENCH WALK CHAMBERS,825430,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 675.00 
2023/24,FEBRUARY,07/02/24,21/02/24,11 KINGS BENCH WALK,800657,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 960.00 
2023/24,FEBRUARY,04/12/23,15/02/24,11 KINGS BENCH WALK,800657,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 780.00 
2023/24,FEBRUARY,15/04/23,12/02/24,13 RIVERS TRUST (MUSLIM BURIAL FUND)    ,S20291310824,H0676 BUSINESS REGULATION LTS,500005 EXTERNAL CONTRACTORS,100004 LBH  / SUNDRY," £ 4,490.00 "
2023/24,FEBRUARY,06/12/23,21/02/24,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,665.00 "
2023/24,FEBRUARY,06/02/24,16/02/24,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 27,950.00 "
2023/24,FEBRUARY,07/02/24,13/02/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,FEBRUARY,05/02/24,15/02/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 800.00 
