1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,OCTOBER,11/10/23,24/10/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,075.00 "
2023/24,OCTOBER,17/10/23,24/10/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,750.00 "
2023/24,OCTOBER,19/07/23,11/10/23,1ST PLANNER,826019,F7416 CONTINGENCY,440040 CONSULTANCY FEES,CONSULTANCY / BUSINESS," £ 25,000.00 "
2023/24,OCTOBER,06/10/23,17/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 600.00 
2023/24,OCTOBER,16/10/23,23/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,OCTOBER,16/10/23,23/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,OCTOBER,09/10/23,24/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,OCTOBER,17/10/23,24/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,OCTOBER,11/09/23,16/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,OCTOBER,08/09/23,09/10/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
