1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,APRIL,27/03/23,14/04/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 3,750.00 "
2023/24,APRIL,05/04/23,14/04/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 600.00 
2023/24,APRIL,30/03/23,14/04/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,APRIL,07/03/23,13/04/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,APRIL,29/03/23,12/04/23,24HR AQUAFLOW SERVICES LIMITED,825638,J6003 ESTATES MANAGEMENT (GF),200000 REPAIRS & MAINTENANCE,INFORMATION COMMUNICATION TECHNOLOGY / NOT ELSEWHERE CLASSIFIED," £ 2,200.00 "
2023/24,APRIL,04/04/23,20/04/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 2,174.00 "
2023/24,APRIL,22/03/23,04/04/23,39 ESSEX CHAMBER,802363,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 462.50 
2023/24,APRIL,05/04/23,14/04/23,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 5,825.00 "
2023/24,APRIL,05/04/23,14/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,APRIL,05/04/23,11/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 555.00 
2023/24,APRIL,22/03/23,03/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,APRIL,21/03/23,13/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,APRIL,07/12/22,04/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,500.00 "
2023/24,APRIL,05/10/22,04/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,APRIL,01/02/23,04/04/23,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 850.00 
2023/24,APRIL,01/02/23,03/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,APRIL,08/11/22,04/04/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,075.00 "
2023/24,APRIL,06/04/23,21/04/23,4-5 GRAYS INN SQUARE TPA,812094,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 300.00 
2023/24,APRIL,06/02/23,11/04/23,4-5 GRAYS INN SQUARE TPA,812094,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 350.00 
2023/24,APRIL,11/04/23,18/04/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,350.00 "
2023/24,APRIL,23/03/23,05/04/23,42 BEDFORD ROW CHAMBERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 450.00 
