1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JANUARY,10/01/24,19/01/24,1 KINGS BENCH WALK CHAMBERS,825430,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 675.00 
2023/24,JANUARY,15/11/23,12/01/24,11 KINGS BENCH WALK,800657,N2001 EXTERNAL LEGAL SERVICES,440030 LEGAL FEES,281000 LEGAL SERVICES / ADVOCACY," £ 1,710.00 "
2023/24,JANUARY,20/12/23,19/01/24,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 650.00 
2023/24,JANUARY,05/07/23,16/01/24,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,300.00 "
2023/24,JANUARY,20/12/23,19/01/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 880.00 
2023/24,JANUARY,22/12/23,18/01/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JANUARY,01/12/23,09/01/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JANUARY,03/01/24,17/01/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 16,560.00 "
2023/24,JANUARY,04/04/22,25/01/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 28,160.00 "
2023/24,JANUARY,08/01/24,16/01/24,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 2,313.36 "
2023/24,JANUARY,01/01/24,11/01/24,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,523.88 "
2023/24,JANUARY,08/01/24,16/01/24,39 ESSEX CHAMBER,802363,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 370.00 
2023/24,JANUARY,09/01/24,26/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 2,265.00 "
2023/24,JANUARY,20/12/23,26/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,JANUARY,12/12/23,24/01/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 3,680.00 "
2023/24,JANUARY,15/12/23,15/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JANUARY,06/12/23,29/01/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,300.00 "
2023/24,JANUARY,06/12/23,24/01/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 6,125.00 "
2023/24,JANUARY,06/12/23,16/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,525.00 "
2023/24,JANUARY,13/12/23,24/01/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JANUARY,07/11/23,24/01/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 250.00 
2023/24,JANUARY,06/09/23,26/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,JANUARY,07/03/23,31/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 3,475.00 "
2023/24,JANUARY,05/05/23,26/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 755.00 
2023/24,JANUARY,30/05/23,26/01/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 600.00 
2023/24,JANUARY,11/01/24,25/01/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 650.00 
2023/24,JANUARY,15/01/24,19/01/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 800.00 
2023/24,JANUARY,09/01/24,15/01/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 2,475.00 "
2023/24,JANUARY,15/12/23,25/01/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 500.00 
2023/24,JANUARY,14/01/24,25/01/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 650.00 
2023/24,JANUARY,01/11/23,12/01/24,42BR BARRISTERS,817288,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 525.00 
2023/24,JANUARY,15/01/24,19/01/24,5 PUMP COURT CHAMBERS,802523,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 800.00 
2023/24,JANUARY,07/12/23,17/01/24,5 PUMP COURT CHAMBERS,802523,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 500.00 
2023/24,JANUARY,15/01/24,23/01/24,A.R.C.S ENVIRONMENTAL LIMITED,815467,T9042 EDUCATION ASBESTOS REMOVAL,Y30003 CONTRACTORS - CONSTRUCTION,181000 ENVIRONMENTAL SERVICES / DEMOLITION & ASBESTOS REMOVAL (SERVICE)," £ 1,200.00 "
2023/24,JANUARY,28/12/23,05/01/24,ABBOTT TOXICOLOGY LTD,818120,F0050 CHILDREN IN NEED,520025 SECTION 17 1989 CHILDREN'S ACT,311300 HEALTHCARE / EQUIPMENT, £ 276.15 
2023/24,JANUARY,16/11/23,23/01/24,ABILITY FACILITIES MANAGEMENT LTD T/A AB,823374,F9110 ANN TAYLOR CHILDREN CENTRE,200000 REPAIRS & MAINTENANCE,"WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS / REPAIR & MAINTENANCE", £ 572.00 
2023/24,JANUARY,27/11/23,23/01/24,ABILITY FACILITIES MANAGEMENT LTD T/A AB,823374,F9110 ANN TAYLOR CHILDREN CENTRE,200000 REPAIRS & MAINTENANCE,"WORKS - CONSTRUCTION, REPAIR & MAINTENANCE / BUILDINGS / REPAIR & MAINTENANCE"," £ 1,854.00 "
2023/24,JANUARY,24/01/24,30/01/24,ABILITY NORTH LONDON,820508,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,100020 LBH  / GRANTS OR STATUTORY PAYMENTS / OTHER," £ 15,542.00 "
2023/24,JANUARY,20/12/23,08/01/24,ABILITY NORTH LONDON,820508,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,100020 LBH  / GRANTS OR STATUTORY PAYMENTS / OTHER," £ 19,729.00 "
2023/24,JANUARY,24/01/23,30/01/24,ABILITY NORTH LONDON,820508,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,100020 LBH  / GRANTS OR STATUTORY PAYMENTS / OTHER," £ 4,240.00 "
2023/24,JANUARY,01/12/23,09/01/24,ABLETRIPLE LTD                          ,S2029Abl10736,H0985 RESIDENT'S SAFETY,500005 EXTERNAL CONTRACTORS,100004 LBH  / SUNDRY," £ 4,675.00 "
2023/24,JANUARY,04/10/23,19/01/24,ABNEY PUBLIC HALL LTD,804361,N2005 ELECTION COSTS,440180 POLLING STATION COSTS,FACILITIES & MANAGEMENT SERVICES / ROOM HIRE," £ 2,500.00 "
2023/24,JANUARY,17/01/24,25/01/24,ACADEMIC DAY NURSERY,816990,F5101 SFF PVI'S SETTINGS,500172 DFE EY SUPPLEMENTARY GRANT EXP,321116 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CRECHES (SERVICE)," £ 2,096.25 "
2023/24,JANUARY,09/01/24,12/01/24,ACADEMIC DAY NURSERY,816990,F5101 SFF PVI'S SETTINGS,500105 DELEGATED EARLY YEARS DSG,321116 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CRECHES (SERVICE)," £ 13,410.00 "
2023/24,JANUARY,09/01/24,18/01/24,ACADEMIC DAY NURSERY,816990,F9108 TWO YEAR OLDS DSG,500172 DFE EY SUPPLEMENTARY GRANT EXP,321116 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CRECHES (SERVICE), £ 475.80 
2023/24,JANUARY,05/01/24,11/01/24,ACADEMY TRANSFORMATION TRUST            ,AcademyTransformationTrust,F9301 PUPIL PREMIUM/LAC,500110 DELEGATED DSG,100004 LBH  / SUNDRY," £ 2,000.00 "
2023/24,JANUARY,11/01/24,19/01/24,ACCESS UK LTD,822705,F7416 CONTINGENCY,440040 CONSULTANCY FEES,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 7,600.00 "
2023/24,JANUARY,07/12/23,05/01/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE," £ 2,927.43 "
2023/24,JANUARY,29/12/23,05/01/24,ACCESS UK LTD,822705,D0512 MGMNT & ADMIN SUPPORT TEAM,430015 COMPUTER SOFTWARE,271440 INFORMATION COMMUNICATION TECHNOLOGY / SOFTWARE, £ 886.59 
2023/24,JANUARY,27/07/23,19/01/24,ACE CATERING ENGINEERS LTD,822803,F7407 PROFESSIONAL DEVELOPMENT CENTR,410005 OTHER CATERING,CATERING / EQUIPMENT & UTENSILS / REPAIRS," £ 1,350.00 "
2023/24,JANUARY,16/01/24,29/01/24,ACOEM UK LIMITED,819959,H0372 POLLUTION - AIR LAND & WATER,400000 EQUIPMENT,221000 HEALTH & SAFETY / PRODUCTS," £ 67,422.00 "
2023/24,JANUARY,21/12/23,19/01/24,ACORN CARE AND EDUCATION LTD,821741,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,171011 EDUCATION / PRESCHOOL SERVICES (SERVICE)," £ 38,144.66 "
2023/24,JANUARY,12/12/23,19/01/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE), £ 437.98 
2023/24,JANUARY,11/12/23,19/01/24,ACORN DAY OPPORTUNITIES LTD,819169,D0825 LEARNING DISABILITY SUPPORT,520055 DAY CARE,321115 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES / CHILDREN / CHILDCARE SERVICES (SERVICE)," £ 79,008.35 "
2023/24,JANUARY,17/01/24,24/01/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 2,824.70 "
2023/24,JANUARY,16/01/24,22/01/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,129.88 "
2023/24,JANUARY,03/01/24,12/01/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 1,694.82 "
2023/24,JANUARY,19/01/24,25/01/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS, £ 282.47 
2023/24,JANUARY,27/12/23,16/01/24,ACTION FIRST ASSESSMENTS LTD,825681,D0853 REVIEW,440105 OTHER PROFESSIONAL FEES,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - CHILDREN / SPECIALIST NEEDS / PARENT & CHILD ASSESSMENTS," £ 2,824.70 "
2023/24,JANUARY,30/12/23,19/01/24,ACTION FOR CHILDREN,412552,F0101 LAC - UNDER 18S,510000 VOLUNTARY SECTOR CONTRACTS,329999 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES  / NOT ELSEWHERE CLASSIFIED," £ 14,870.57 "
2023/24,JANUARY,16/01/24,22/01/24,ACTIVE ASSISTANCE,722469,D0822 PHYSICAL SUPPORT,520065 HOME CARE - BLOCK CONTRACTS,329999 SOCIAL COMMUNITY CARE SUPPLIES & SERVICES  / NOT ELSEWHERE CLASSIFIED," £ 3,980.80 "
