1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8144297100011556773,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 639.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8144297100011555622,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS," £ 1,016.40 "
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8144297100011537622,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 308.58 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100012075665,F0151 UNACC ASYLUM SEEKER CHILDREN,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 540.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100012074665,F0151 UNACC ASYLUM SEEKER CHILDREN,520000 FOSTER CARE ALLOWANCES,100017 LBH  / INDIVIDUAL FOSTER CARERS, £ 350.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011763694,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 604.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011706630,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100012 LBH  / GRANTS OR STATUTORY PAYMENTS / INDIVIDUAL, £ 812.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011660606,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 766.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011651849,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 562.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011650849,F0153 THE ADOPTION SERVICE,520015 ADOPTION ALLOWANCES,100021 LBH  / INDIVIDUAL ADOPTERS, £ 562.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011643569,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 832.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011628544,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 573.80 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011611144,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 569.20 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011604113,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 984.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011594857,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 496.40 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011592259,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 864.40 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011573113,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 864.40 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011572241,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 832.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011570857,F0153 THE ADOPTION SERVICE,520245 SPECIAL GUARDIANSHIP,100021 LBH  / INDIVIDUAL ADOPTERS, £ 532.00 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011569754,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 887.48 
2023/24,JULY,24/07/23,28/07/23,REDACTED - PERSONAL,8134297100011568754,F0153 THE ADOPTION SERVICE,520020 RESI ALLOWC/CHILD ARRANGT ORDR,100021 LBH  / INDIVIDUAL ADOPTERS, £ 887.48 
