1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,JUNE,20/03/23,23/06/23,1 KINGS BENCH WALK CHAMBERS,825430,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,025.00 "
2023/24,JUNE,30/03/23,01/06/23,1 KINGS BENCH WALK CHAMBERS,825430,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,JUNE,14/06/23,30/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,JUNE,31/05/23,22/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,JUNE,21/06/23,30/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 650.00 
2023/24,JUNE,24/05/23,23/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,JUNE,10/05/23,20/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,250.00 "
2023/24,JUNE,17/05/23,30/06/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,JUNE,01/03/23,23/06/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 3,650.00 "
2023/24,JUNE,01/03/23,27/06/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,950.00 "
2023/24,JUNE,26/04/23,05/06/23,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,JUNE,14/06/23,20/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 600.00 
2023/24,JUNE,12/06/23,16/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,JUNE,25/05/23,05/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JUNE,16/06/23,27/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,JUNE,16/06/23,23/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,250.00 "
2023/24,JUNE,15/06/23,20/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,600.00 "
2023/24,JUNE,03/05/23,12/06/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,JUNE,12/06/23,16/06/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 20,700.00 "
2023/24,JUNE,12/06/23,23/06/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 2,587.50 "
2023/24,JUNE,03/03/23,30/06/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 10,350.00 "
2023/24,JUNE,12/07/23,23/06/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 10,350.00 "
2023/24,JUNE,11/05/23,14/06/23,33 BEDFORD ROW,800474,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 592.50 
2023/24,JUNE,31/05/23,09/06/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 2,258.28 "
2023/24,JUNE,23/05/23,15/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,300.00 "
2023/24,JUNE,23/05/23,26/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,JUNE,23/06/23,30/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JUNE,10/05/23,26/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,JUNE,03/05/23,02/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,JUNE,19/04/23,23/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 475.00 
2023/24,JUNE,05/04/23,23/06/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 555.00 
