1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,SEPTEMBER,05/09/23,15/09/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,SEPTEMBER,30/08/23,13/09/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,SEPTEMBER,10/08/23,05/09/23,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 875.00 
2023/24,SEPTEMBER,06/09/23,18/09/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 530.00 
2023/24,SEPTEMBER,11/09/23,21/09/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,750.00 "
2023/24,SEPTEMBER,29/08/23,05/09/23,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 500.00 
2023/24,SEPTEMBER,14/08/23,13/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 7,762.50 "
2023/24,SEPTEMBER,16/08/23,13/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 16,905.00 "
2023/24,SEPTEMBER,12/06/23,19/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 8,252.34 "
2023/24,SEPTEMBER,12/06/23,19/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 1,493.91 "
2023/24,SEPTEMBER,03/05/23,19/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 11,500.00 "
2023/24,SEPTEMBER,03/05/23,13/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 7,762.50 "
2023/24,SEPTEMBER,08/08/23,13/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 12,650.00 "
2023/24,SEPTEMBER,13/07/23,19/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 13,081.25 "
2023/24,SEPTEMBER,13/07/23,13/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 6,181.25 "
2023/24,SEPTEMBER,02/12/22,19/09/23,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 9,750.28 "
2023/24,SEPTEMBER,18/09/23,22/09/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,028.16 "
2023/24,SEPTEMBER,18/09/23,26/09/23,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES, £ 495.72 
2023/24,SEPTEMBER,06/09/23,14/09/23,3D-R ARCHITECTURAL &MEP BIM SERVICES LTD,S20293D-10510,D0720 HN TEMP ACCOM HGF HOSTEL,200000 REPAIRS & MAINTENANCE,100004 LBH  / SUNDRY," £ 1,000.00 "
2023/24,SEPTEMBER,23/08/23,25/09/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 700.00 
2023/24,SEPTEMBER,09/08/23,05/09/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,SEPTEMBER,22/08/23,05/09/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,SEPTEMBER,16/08/23,07/09/23,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,300.00 "
