1. YEAR,2. MONTH,3. DATE INCURRED,4. DATE PAID,5. BENEFICIARY,6. SUPPLIER NO.,7. DEPARTMENT,8. PURPOSE OF EXPENDITURE,9. MERCHANT CATEGORY,Total
2023/24,MARCH,13/02/24,15/03/24,1GC FAMILY LAW,824376,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,000.00 "
2023/24,MARCH,30/08/23,27/03/24,1GC FAMILY LAW,824376,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,150.00 "
2023/24,MARCH,21/02/24,08/03/24,1ST STAFF LTD,826260,F6307 IND & NON MAINT'D SEN,500005 EXTERNAL CONTRACTORS,EDUCATION / EXAMINATIONAL FEES," £ 1,800.00 "
2023/24,MARCH,27/02/24,01/03/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES," £ 1,100.00 "
2023/24,MARCH,23/02/24,12/03/24,2 DOCTOR JOHNSON'S BUILDINGS,823705,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,LEGAL SERVICES, £ 750.00 
2023/24,MARCH,15/03/24,22/03/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,440040 CONSULTANCY FEES,151900 CONSULTANCY / MANAGEMENT," £ 1,840.00 "
2023/24,MARCH,01/03/24,11/03/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 7,762.50 "
2023/24,MARCH,01/03/24,07/03/24,23 CONSULT LTD,818316,J6010 R & M - CIVIC BUILDINGS,200000 REPAIRS & MAINTENANCE,151900 CONSULTANCY / MANAGEMENT," £ 32,717.50 "
2023/24,MARCH,05/03/24,11/03/24,23 CONSULT LTD,818316,S3736 HTH ESSENTIAL WORKS,Y50005 OTHER PROFESSIONAL - EXTERNAL,151900 CONSULTANCY / MANAGEMENT," £ 3,881.25 "
2023/24,MARCH,06/02/24,27/03/24,23 CONSULT LTD,818316,D0200 LIBRARIES SERVICE OVERHEADS,200005 EXTERNAL FABRIC REPAIRS,151900 CONSULTANCY / MANAGEMENT," £ 4,025.00 "
2023/24,MARCH,05/03/24,08/03/24,33 BEDFORD ROW,800474,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 720.00 
2023/24,MARCH,26/02/24,01/03/24,360 CIRCLE OF CARE LTD,824532,D0822 PHYSICAL SUPPORT,520050 HOME CARE - SPOT CONTRACTS,SOCIAL COMMUNITY CARE SUPPLIES & SERVICES - ADULT / NURSING & RESIDENTIAL CARE HOMES," £ 1,523.88 "
2023/24,MARCH,20/02/24,19/03/24,4 BRICK COURT LTD,801389,N2003 LEGAL EXT RECHARGEABLE WORK,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY," £ 1,500.00 "
2023/24,MARCH,09/01/24,01/03/24,4 BRICK COURT LTD,801389,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 825.00 
2023/24,MARCH,19/02/24,19/03/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 400.00 
2023/24,MARCH,26/02/24,05/03/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 300.00 
2023/24,MARCH,01/02/24,05/03/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 750.00 
2023/24,MARCH,08/02/24,04/03/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 650.00 
2023/24,MARCH,14/02/24,18/03/24,42BR BARRISTERS,817288,N2001 EXTERNAL LEGAL SERVICES,500005 EXTERNAL CONTRACTORS,281000 LEGAL SERVICES / ADVOCACY, £ 650.00 
