Organisation Name,Organisation Code,Payment Date,Invoice Amount Paid,Supplier or Party Name,Directorate,Service Area,Subjective Code Description,BVACOP class,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,511.56,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1000.92,Saxon Care Solutions Limited,Corporate Director People,Mental Health Adults of Working Age,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1093.4,Saxon Care Solutions Limited,Corporate Director People,Mental Health Older People,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,606.8,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1695.26,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1327.71,Saxon Care Solutions Limited,Corporate Director People,18+ Care,Ad Dom Care Contr,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,253.14,Saxon Care Solutions Limited,Corporate Director People,18+ Care,Ad Dom Care Contr,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,612.37,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1818.14,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2276.96,Saxon Care Solutions Limited,Corporate Director People,18+ Care,Ad Dom Care Contr,Income,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2117.08,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,2627.42,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
Wiltshire,http://opendatacommunities.org/id/unitary-authority/wiltshire,02/09/2024,1755.52,Saxon Care Solutions Limited,Corporate Director People,18+ Care,3rd Party Payments,Third Party Payments,,,
